PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.94,0.78,0.06,0.2,1.33413279370951
0.88,0.84,0.16,0.18,1.37355631544976
0.94,0.84,0.02,0.24,1.14162496408811
0.94,0.94,0.2,0.22,1.31091818509672
0.9,0.88,0.16,0.26,1.19894322918348
0.84,0.8,0.12,0.22,1.22398791020116
0.92,0.82,0.1,0.26,1.20087365688802
0.9,0.82,0.14,0.2,1.34893794869646
0.9,0.76,0.1,0.32,1.12629617730542
0.96,0.8,0.16,0.26,1.3425706689115
0.88,0.86,0.12,0.3,1.08193557079424
0.92,0.98,0.2,0.24,1.21749290167903
0.9,0.84,0.14,0.32,1.11088159022614
0.84,0.82,0.12,0.32,1.03874439498177
0.92,0.92,0.1,0.24,1.14989099418253
0.86,0.8,0.06,0.34,0.977854738556828
0.8,0.82,0.14,0.22,1.18143299808127
0.96,0.8,0.2,0.22,1.48372103954014
0.94,0.82,0.06,0.26,1.17429719584118
0.9,0.82,0.12,0.24,1.23968274231632
0.88,0.9,0.1,0.28,1.05928028917299
0.92,0.9,0.14,0.14,1.4224402954164
0.88,0.78,0.14,0.18,1.41625010377012
0.9,0.86,0.08,0.28,1.08750653716125
0.9,0.84,0.18,0.36,1.09651915680833
0.84,0.9,0.18,0.26,1.1394636621501
0.88,0.86,0.18,0.28,1.1833077991344
0.9,0.9,0.08,0.22,1.15314007712426
0.92,0.86,0.1,0.26,1.16618770546579
0.84,0.86,0.1,0.2,1.17839138101636
0.9,0.76,0.1,0.28,1.19492189848146
0.92,0.86,0.1,0.3,1.10193706266614
0.92,0.74,0.06,0.2,1.35328823523528
0.92,0.84,0.14,0.3,1.16366699760197
0.94,0.84,0.06,0.16,1.35793251451036
0.92,0.86,0.06,0.36,0.975472009002881
0.88,0.86,0.16,0.28,1.159733286794
0.9,0.78,0.06,0.26,1.16208025750571
0.98,0.88,0.08,0.2,1.30538767194821
0.94,0.82,0.14,0.24,1.31366795657765
0.86,0.8,0.14,0.26,1.19849279741776
0.9,0.9,0.16,0.24,1.21658627926458
0.9,0.78,0.12,0.12,1.58195847763774
0.92,0.82,0.18,0.3,1.22712897373158
0.9,0.84,0.12,0.24,1.22096319999386
0.94,0.92,0.14,0.2,1.2945609780457
0.94,0.88,0.06,0.26,1.12414402800521
