PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.82,0.89,0.54,0.43,1,1,1.24098553567051
0.74,0.9,0.55,0.34,1,1,1.47147761044117
0.73,0.87,0.47,0.48,1,1,0.954158928525004
0.75,0.86,0.45,0.46,1,1,0.963357783519032
0.81,0.83,0.54,0.43,1,1,1.2896352150407
0.77,0.82,0.55,0.41,1,1,1.35669222217293
0.77,0.73,0.42,0.31,1,1,1.44533393467884
0.77,0.86,0.5,0.39,1,1,1.24824749734861
0.77,0.81,0.57,0.44,1,1,1.330389741855
0.84,0.81,0.4,0.39,1,1,1.07992340767849
0.82,0.73,0.58,0.51,1,1,1.27316924519456
0.76,0.77,0.45,0.38,1,1,1.22918112239928
0.78,0.82,0.57,0.43,1,1,1.35374115469917
0.79,0.89,0.53,0.42,1,1,1.22655289735379
0.8,0.81,0.43,0.39,1,1,1.13384961392258
0.78,0.85,0.5,0.42,1,1,1.18559417033145
0.75,0.82,0.47,0.54,1,0.98,0.888166336171702
0.79,0.83,0.43,0.5,1,1,0.890625332061201
0.79,0.87,0.52,0.41,1,0.98,1.23403578773534
0.82,0.88,0.5,0.42,1,1,1.18193381339902
0.77,0.77,0.56,0.42,1,1,1.40492344961373
0.81,0.83,0.46,0.46,1,1,1.03674871207785
0.83,0.84,0.41,0.34,1,1,1.20807369360905
0.75,0.83,0.47,0.47,1,1,1.00817848436772
0.76,0.81,0.47,0.38,1,0.98,1.22861250589488
0.74,0.85,0.48,0.41,1,1,1.13929387151121
0.78,0.87,0.42,0.44,1,1,0.942688077028551
0.81,0.89,0.51,0.38,1,1,1.29519329467666
0.82,0.88,0.55,0.46,1,1,1.20109522644389
0.83,0.85,0.5,0.45,1,1,1.14264800339332
0.84,0.84,0.46,0.5,1,1,0.970646619081809
0.82,0.82,0.51,0.31,1,1,1.64053615295342
0.78,0.81,0.42,0.41,1,1,1.04777954488189
0.78,0.88,0.51,0.45,1,1,1.11570296016347
0.77,0.83,0.46,0.4,1,1,1.14926237922746
0.82,0.86,0.48,0.38,1,1,1.25487565208193
0.78,0.85,0.49,0.36,1,1,1.3262286002236
0.83,0.83,0.53,0.37,1,1,1.45657388655107
0.82,0.8,0.47,0.36,1,0.98,1.33837694970326
0.78,0.83,0.57,0.39,1,1,1.46416634376559
0.75,0.83,0.48,0.43,1,1,1.11462440479693
0.79,0.81,0.45,0.38,1,1,1.20747859129333
0.78,0.84,0.58,0.46,1,1,1.27938011810694
0.83,0.85,0.53,0.45,1,1,1.20979215900139
0.82,0.81,0.52,0.41,1,1,1.32143563511438
0.81,0.88,0.51,0.39,1,1,1.27719704678515
0.83,0.81,0.46,0.37,1,1,1.28935115806342
0.72,0.84,0.49,0.28,1,1,1.60409836065574
0.77,0.82,0.45,0.43,1,1,1.06256242130888
0.75,0.81,0.46,0.41,1,1,1.13024701225443
0.79,0.82,0.44,0.37,1,1,1.19871876926518
0.81,0.86,0.41,0.35,1,1,1.14571041116858
0.82,0.81,0.56,0.44,1,1,1.33444904945819
0.82,0.82,0.48,0.51,1,1,0.996889654036207
0.74,0.83,0.46,0.43,1,1,1.06182947704007
0.75,0.82,0.43,0.39,1,1,1.0943555808448
0.71,0.88,0.5,0.48,1,1,1.00055706802519
0.79,0.8,0.44,0.34,1,1,1.31380599301428
0.81,0.84,0.49,0.37,1,1,1.32514467387419
0.8,0.8,0.5,0.41,1,1,1.26944557831952
0.78,0.85,0.46,0.36,1,0.98,1.23105846526677
0.8,0.79,0.46,0.46,1,1,1.06061315699153
0.83,0.79,0.5,0.38,1,1,1.3893213683148
0.75,0.74,0.46,0.39,1,1,1.25226903293494
0.8,0.76,0.46,0.39,1,0.98,1.24916708865562
0.84,0.84,0.47,0.48,1,1,1.02785090246882
0.77,0.83,0.43,0.37,1,0.98,1.13654966203151
0.76,0.87,0.52,0.41,1,1,1.2293776122727
0.75,0.87,0.44,0.44,1,0.98,0.962927987383029
0.83,0.83,0.46,0.39,1,1,1.21120517831108
0.77,0.86,0.5,0.4,1,0.98,1.20927999577942
0.76,0.8,0.51,0.47,1,1,1.12329590220207
0.81,0.86,0.44,0.36,1,1,1.19963517793817
0.79,0.85,0.41,0.38,1,1,1.06528952171711
0.79,0.85,0.5,0.41,1,0.98,1.2042458955389
0.76,0.81,0.46,0.42,1,1,1.11193460923983
0.78,0.87,0.54,0.41,1,1,1.28842080184795
0.77,0.8,0.5,0.42,1,1,1.22485992844795
0.74,0.88,0.57,0.44,1,1,1.25053137149525
0.8,0.8,0.41,0.37,1,1,1.14270493998782
0.8,0.85,0.43,0.45,1,1,0.970228443313337
0.83,0.78,0.6,0.38,1,1,1.67549735792533
0.8,0.78,0.59,0.52,1,0.98,1.21070921249423
0.82,0.83,0.45,0.38,1,1,1.20641972281192
0.71,0.86,0.46,0.55,1,1,0.82411291860044
0.85,0.86,0.61,0.38,1,1,1.60712516075873
0.72,0.91,0.49,0.44,1,1,1.03973407049788
0.77,0.85,0.44,0.34,1,1,1.24282610740294
0.8,0.9,0.46,0.37,1,1,1.18039469311376
0.78,0.84,0.5,0.46,1,1,1.10255004703691
0.79,0.86,0.47,0.35,1,1,1.29809386417309
0.74,0.77,0.55,0.44,1,1,1.30464584820288
0.76,0.83,0.48,0.43,1,1,1.12016641378799
0.76,0.87,0.51,0.39,1,1,1.25775117871955
0.78,0.74,0.4,0.43,1,1,1.00828376445141
0.78,0.86,0.6,0.42,1,1,1.41293504369602
0.84,0.85,0.54,0.37,1,1,1.46551154973404
0.84,0.86,0.45,0.42,1,0.98,1.08168078795793
0.74,0.74,0.43,0.41,1,1,1.10916018838448
0.81,0.85,0.4,0.47,1,1,0.874315257052736
0.78,0.8,0.47,0.44,1,1,1.1090626809385
0.79,0.85,0.48,0.41,1,1,1.16775873987105
0.77,0.73,0.5,0.42,1,1,1.29368455658981
0.8,0.79,0.51,0.42,1,1,1.27659563011454
0.76,0.85,0.53,0.39,1,1,1.32806462943449
0.79,0.85,0.5,0.41,1,1,1.21629883117941
0.8,0.8,0.45,0.42,1,1,1.11886243463996
0.75,0.81,0.43,0.41,1,1,1.05519235093784
0.73,0.81,0.48,0.41,1,1,1.16854651021022
0.76,0.89,0.48,0.49,1,0.98,0.952010037684809
0.76,0.84,0.54,0.46,1,1,1.18059541791041
0.75,0.84,0.5,0.37,1,1,1.31425668958392
0.76,0.9,0.5,0.42,1,1,1.13296649268222
0.8,0.8,0.52,0.36,1,1,1.48229760145225
0.79,0.82,0.51,0.39,1,1,1.32627482385338
0.81,0.82,0.56,0.47,1,1,1.24376777129908
0.79,0.86,0.48,0.35,1,1,1.32564533670292
0.78,0.85,0.47,0.42,1,1,1.11428832508999
0.8,0.79,0.55,0.36,1,1,1.58103378141149
0.78,0.9,0.52,0.37,1,1,1.32124974661149
0.73,0.8,0.51,0.42,1,1,1.22638288094519
0.74,0.79,0.39,0.4,1,1,0.98588675921666
0.76,0.82,0.51,0.45,1,1,1.15210937490332
0.79,0.81,0.45,0.44,1,1,1.05957593461361
0.74,0.79,0.5,0.35,1,0.98,1.41649454162501
0.76,0.73,0.47,0.44,1,1,1.15698494524377
0.73,0.81,0.41,0.45,1,1,0.913920094118351
0.8,0.8,0.55,0.38,1,1,1.49371505726736
0.83,0.85,0.51,0.39,1,1,1.31899257990868
0.8,0.85,0.58,0.4,1,1,1.44667163387637
0.8,0.87,0.5,0.41,1,1,1.20398904075534
0.75,0.81,0.48,0.38,1,1,1.26265936063001
0.76,0.84,0.42,0.42,1,1,0.991554540244936
0.83,0.84,0.47,0.41,1,1,1.17504558099382
0.76,0.81,0.48,0.36,1,1,1.3308608836677
0.8,0.81,0.5,0.41,1,1,1.25966225131472
0.81,0.88,0.52,0.37,1,1,1.36051768509918
0.76,0.81,0.45,0.42,1,0.98,1.07657796603273
0.83,0.78,0.56,0.48,1,1,1.26416520493446
