PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.98,0.74,0.1,0.26,1.33559573105609
0.94,0.84,0.04,0.2,1.22831878510075
0.9,0.8,0.08,0.2,1.27534684917505
0.92,0.86,0.18,0.28,1.21910782950596
0.84,0.92,0.16,0.34,0.98176955583922
0.86,0.78,0.1,0.24,1.1906883513883
0.92,0.92,0.14,0.24,1.18955972602167
0.82,0.78,0.1,0.44,0.86075848246921
0.88,0.9,0.1,0.12,1.35360949786646
0.9,0.86,0.12,0.26,1.15731695024595
0.96,0.84,0.12,0.42,1.00010250748119
0.9,0.84,0.1,0.18,1.30644801992435
0.82,0.8,0.06,0.36,0.896784780071449
0.86,0.8,0.12,0.32,1.06297404113204
0.88,0.8,0.08,0.16,1.34177417262813
0.78,0.84,0.12,0.14,1.26809472799898
0.96,0.84,0.1,0.18,1.3838270508456
0.96,0.78,0.08,0.28,1.20661981645007
0.9,0.9,0.1,0.18,1.24505151084815
0.92,0.76,0.12,0.2,1.40545019598801
0.96,0.92,0.04,0.2,1.17835406471914
0.92,0.82,0.04,0.28,1.07719649866845
0.88,0.82,0.1,0.22,1.21692661412449
0.86,0.84,0.08,0.22,1.1468028151922
0.9,0.8,0.16,0.12,1.6134727946711
0.86,0.88,0.08,0.1,1.36910492200966
0.9,0.8,0.2,0.28,1.27483117405641
0.86,0.86,0.12,0.26,1.11261692605435
0.86,0.86,0.14,0.34,1.01665018579259
0.94,0.88,0.16,0.28,1.19968815922223
0.88,0.84,0.12,0.3,1.08570015287844
0.92,0.9,0.1,0.28,1.09081445125822
0.88,0.76,0.16,0.36,1.09987842513794
0.9,0.78,0.02,0.22,1.16708751279368
0.86,0.8,0.12,0.2,1.28205560040187
0.9,0.84,0.1,0.24,1.18422564913668
0.9,0.94,0.08,0.26,1.04713609167253
0.86,0.86,0.04,0.12,1.27832639223701
0.96,0.8,0.16,0.3,1.25371231739502
0.92,0.8,0.14,0.28,1.22069862743716
0.84,0.86,0.14,0.34,0.996681310328555
0.96,0.86,0.12,0.24,1.26198759383713
0.94,0.88,0.1,0.24,1.19536449608657
0.98,0.84,0.02,0.32,1.04206068776467
0.88,0.84,0.16,0.22,1.28003848495947
0.88,0.78,0.06,0.2,1.24085048495308
0.88,0.9,0.04,0.22,1.06714787472222
0.94,0.92,0.12,0.24,1.18668579963917
0.94,0.84,0.1,0.32,1.09446475161554
0.92,0.78,0.08,0.18,1.37068007733157
0.88,0.8,0.24,0.28,1.30337202569688
0.88,0.78,0.12,0.28,1.16665639173896
0.88,0.82,0.04,0.22,1.13382117236119
0.88,0.84,0.16,0.24,1.24012126005009
0.92,0.84,0.12,0.28,1.16158424017691
0.88,0.84,0.08,0.22,1.17093536627375
0.9,0.9,0.1,0.14,1.33242139581015
0.84,0.84,0.08,0.14,1.28857811187348
0.9,0.78,0.12,0.26,1.22723657966689
0.86,0.8,0.24,0.26,1.32061302205934
0.92,0.86,0.18,0.24,1.29402585231981
0.9,0.76,0.18,0.14,1.64430922584665
0.9,0.92,0.08,0.18,1.19849460828107
0.88,0.78,0.14,0.14,1.51829877155192
0.9,0.84,0.1,0.26,1.14841308267963
0.86,0.84,0.06,0.22,1.11952703552077
0.86,0.86,0.16,0.22,1.23688354229841
0.86,0.8,0.12,0.2,1.28205560040187
0.84,0.88,0.12,0.22,1.14209267296791
0.9,0.88,0.08,0.2,1.19677880994499
0.92,0.92,0.14,0.32,1.06427200975788
0.9,0.8,0.08,0.24,1.19336190950252
0.9,0.88,0.12,0.24,1.17561814227614
0.96,0.82,0.12,0.22,1.34266638663822
0.82,0.84,0.1,0.24,1.09070568076974
0.9,0.84,0.14,0.22,1.27689525636958
0.92,0.8,0.1,0.3,1.13523040132826
0.88,0.84,0.14,0.16,1.38666533345702
0.92,0.84,0.18,0.22,1.35557936679399
0.9,0.88,0.14,0.22,1.23879177856982
0.82,0.88,0.18,0.18,1.27787591682739
0.9,0.88,0.1,0.3,1.05418875037018
0.88,0.82,0.06,0.16,1.28782340508845
0.94,0.82,0.14,0.14,1.54832318546439
0.92,0.82,0.14,0.24,1.27952051095832
0.84,0.82,0.16,0.24,1.21141093150669
0.86,0.9,0.14,0.3,1.04574011801869
0.96,0.78,0.14,0.24,1.36838143299519
0.84,0.78,0.1,0.24,1.16621439573679
0.86,0.78,0.12,0.16,1.40132705248478
0.94,0.78,0.22,0.2,1.55615058196141
0.9,0.82,0.12,0.26,1.19125167692274
0.88,0.82,0.1,0.28,1.10823857816666
0.92,0.9,0.1,0.3,1.06092969828345
0.92,0.82,0.12,0.14,1.48825746593215
0.9,0.84,0.08,0.26,1.12278701507593
0.86,0.86,0.14,0.28,1.10493909633834
0.88,0.86,0.14,0.28,1.12664212803839
0.96,0.88,0.12,0.14,1.4656412836714
0.94,0.82,0.14,0.38,1.06684856992147
0.86,0.9,0.14,0.2,1.21172691582114
0.88,0.78,0,0.22,1.11319258474069
0.92,0.86,0.08,0.26,1.12914482703008
0.88,0.9,0.18,0.3,1.11271155823583
0.88,0.82,0.12,0.24,1.20522839577862
0.9,0.86,0.08,0.22,1.17696699970309
0.84,0.88,0.08,0.26,1.02514334724195
0.96,0.84,0.08,0.24,1.22794042441018
0.98,0.84,0.16,0.22,1.4007012403672
0.84,0.88,0.1,0.2,1.15159233863804
0.84,0.72,0.2,0.26,1.32324264288909
0.92,0.82,0.14,0.34,1.10467260009777
0.88,0.88,0.06,0.26,1.04430931698685
0.84,0.92,0.08,0.18,1.12588936484192
0.88,0.9,0.12,0.16,1.29056579120048
0.82,0.86,0.12,0.16,1.25497463597516
0.96,0.82,0.12,0.18,1.43659353227182
0.88,0.84,0.08,0.14,1.34397581519108
0.86,0.86,0.12,0.26,1.11261692605435
0.98,0.92,0.2,0.28,1.25660638731784
0.84,0.86,0.16,0.26,1.14078904927022
0.92,0.82,0.04,0.3,1.04605422652517
0.9,0.82,0.12,0.22,1.26913791769374
0.9,0.84,0.16,0.26,1.22529128549071
0.92,0.8,0.26,0.18,1.61867497884568
0.84,0.84,0.18,0.22,1.2590491624678
0.9,0.72,0.08,0.2,1.36495562768276
0.84,0.86,0.1,0.24,1.09772983115421
0.96,0.88,0.12,0.18,1.36800641955148
0.82,0.86,0.14,0.16,1.28466046558459
0.92,0.88,0.08,0.3,1.0514779283425
0.9,0.86,0.04,0.24,1.08872832414984
0.9,0.82,0.1,0.14,1.42819174639992
0.9,0.86,0.1,0.18,1.28532059483945
0.9,0.8,0.08,0.24,1.19336190950252
0.88,0.82,0.06,0.26,1.09024100998216
0.94,0.82,0.14,0.18,1.44000917777323
0.92,0.86,0.02,0.26,1.05336162406258
0.88,0.86,0.16,0.2,1.30192233077417
0.92,0.82,0.12,0.26,1.21425703373766
0.9,0.8,0.06,0.26,1.1298104589031
0.88,0.78,0.12,0.16,1.4294766121758
0.9,0.88,0.12,0.3,1.0777122652025
0.94,0.78,0.16,0.28,1.28751130026188
0.88,0.88,0.06,0.22,1.10953195753391
0.96,0.9,0.16,0.16,1.44967067578944
0.92,0.84,0.08,0.28,1.11183654185905
0.92,0.8,0.12,0.2,1.35931658081339
0.98,0.86,0.14,0.18,1.44418630733982
0.92,0.84,0.08,0.22,1.21920046843684
0.96,0.82,0.12,0.32,1.1540341601408
0.92,0.7,0.12,0.22,1.42742109583394
0.8,0.8,0.1,0.2,1.17568658423978
0.8,0.82,0.1,0.3,0.989498205222451
0.9,0.84,0.14,0.4,0.990076550396592
0.94,0.8,0.16,0.28,1.26893286073302
0.92,0.86,0.12,0.34,1.05398702063622
0.88,0.92,0.14,0.24,1.14542983012189
0.98,0.84,0.14,0.28,1.25248033793736
0.86,0.84,0.06,0.16,1.23918865358274
0.9,0.82,0.2,0.24,1.3362615460942
