PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.88,0.8,0.45,0.36,0.98,0.96,1.32527012225486
0.86,0.86,0.33,0.3,0.96,0.94,1.15090779848104
0.82,0.82,0.44,0.3,0.94,0.96,1.39574643265609
0.91,0.91,0.38,0.34,0.98,0.94,1.15702146999004
0.9,0.82,0.4,0.39,0.96,0.96,1.17265288250762
0.86,0.81,0.37,0.41,0.96,0.98,1.06297267688398
0.86,0.79,0.3,0.33,0.96,0.94,1.08914610126622
0.83,0.87,0.45,0.35,0.92,0.98,1.26249307236746
0.87,0.88,0.36,0.38,0.98,0.98,1.04862905821503
0.89,0.87,0.41,0.32,0.96,1,1.30297709471857
0.9,0.86,0.48,0.26,0.96,1,1.64653043556196
0.82,0.85,0.37,0.33,1,1,1.14376683055781
0.84,0.85,0.42,0.29,0.92,0.98,1.38123827425847
0.84,0.78,0.36,0.4,0.98,0.94,1.0524013739662
0.85,0.91,0.47,0.36,0.98,0.94,1.22746130130143
0.81,0.86,0.44,0.3,0.96,0.94,1.32649509457308
0.83,0.88,0.37,0.37,0.96,0.96,1.05167444644498
0.9,0.79,0.38,0.35,0.98,1,1.25519727745085
0.87,0.85,0.38,0.38,0.98,0.94,1.09567914159552
0.89,0.86,0.39,0.34,0.96,0.94,1.20802602485577
0.88,0.82,0.41,0.31,1,1,1.35921899422674
0.85,0.94,0.44,0.32,0.96,0.98,1.24984483269111
0.89,0.82,0.34,0.41,0.98,0.98,1.02195475646283
0.94,0.86,0.41,0.34,0.96,0.96,1.29621014643991
0.9,0.75,0.43,0.34,0.98,0.96,1.4093664150177
0.87,0.87,0.43,0.41,0.98,0.96,1.11778823665729
0.85,0.85,0.48,0.28,0.94,0.94,1.52249936158797
0.9,0.86,0.36,0.39,0.98,0.98,1.07022648258023
0.84,0.85,0.42,0.38,0.98,0.94,1.14172479451057
0.88,0.84,0.42,0.37,0.98,0.96,1.20938346525114
0.87,0.85,0.47,0.32,0.98,0.98,1.4103638785917
0.86,0.86,0.39,0.41,0.96,0.92,1.04599238866694
0.94,0.83,0.41,0.29,0.94,0.9,1.440910801656
0.89,0.87,0.36,0.33,1,0.98,1.1633329553512
0.88,0.78,0.44,0.45,0.98,1,1.14930727727675
0.86,0.85,0.35,0.45,0.98,0.96,0.93018148979175
0.85,0.87,0.51,0.39,0.96,0.96,1.28183637197696
0.91,0.87,0.34,0.3,0.96,0.94,1.2084422679972
0.93,0.9,0.35,0.42,0.94,0.98,1.01068731296108
0.93,0.83,0.45,0.33,0.98,0.94,1.40611078853084
0.86,0.87,0.37,0.4,1,0.98,1.02533988950311
0.87,0.87,0.41,0.36,1,0.98,1.17730882738376
0.92,0.88,0.49,0.47,1,0.92,1.12627150933102
0.9,0.83,0.46,0.34,0.96,0.94,1.37938688108281
0.83,0.81,0.44,0.42,0.96,0.86,1.10967555326166
0.93,0.8,0.36,0.37,1,0.98,1.1765931133504
0.85,0.8,0.4,0.34,0.92,0.96,1.26827856049285
0.88,0.83,0.46,0.3,0.96,0.98,1.4858137594579
0.91,0.85,0.41,0.34,0.96,0.94,1.27264655592185
0.86,0.82,0.38,0.36,0.98,0.88,1.13232033224187
0.82,0.89,0.41,0.3,0.96,0.96,1.25202735768128
0.87,0.81,0.37,0.37,0.94,0.96,1.14713175565224
0.9,0.9,0.35,0.34,1,1,1.11329456452229
0.87,0.89,0.38,0.4,0.98,0.94,1.03205829288803
0.86,0.79,0.42,0.34,0.94,0.98,1.32833916913841
0.87,0.87,0.4,0.39,0.96,0.92,1.09764977836917
0.86,0.89,0.37,0.31,0.96,0.88,1.16156600224546
0.89,0.88,0.41,0.34,0.98,0.96,1.227426174983
0.88,0.78,0.31,0.34,0.98,0.96,1.11540131474254
0.93,0.85,0.34,0.45,0.9,0.98,0.99181217424651
