id,var_id,variable.x,sample_250.x,sample_500.x,variable.y,sample_250.y,sample_500.y
0.05_0.01_0.5_0.7,bias,bias_mis,0.00824373099743026,-0.00453754816258201,bias_single,-0.00530966636646196,-0.0123575608601003
0.05_0.01_0.5_0.7,rmse,rmse_mis,0.130238341853368,0.0711372725292489,rmse_single,0.0866357820234075,0.0409632162945592
0.05_0.01_0.5_0.7,sd,sd_mis,0.130042214551746,0.0710279322994808,sd_single,0.0865161905142925,0.0390743212527758
0.05_0.01_0.5_0.8,bias,bias_mis,0.00607123387769293,-0.00269442481085935,bias_single,0.0647039100190284,0.0612145929349046
0.05_0.01_0.5_0.8,rmse,rmse_mis,0.134036876708916,0.0670692108282107,rmse_single,0.114718443567372,0.0758979320857961
0.05_0.01_0.5_0.8,sd,sd_mis,0.133966306989825,0.0670485990210705,sd_single,0.0947771493072067,0.0448919256849798
0.05_0.01_0.5_0.9,bias,bias_mis,0.00504456226424632,-0.00240434634387254,bias_single,0.13599736862696,0.132319504594964
0.05_0.01_0.5_0.9,rmse,rmse_mis,0.127370408012738,0.0687281233218342,rmse_single,0.168725392017819,0.141939083643252
0.05_0.01_0.5_0.9,sd,sd_mis,0.127334155732504,0.0687204230964166,sd_single,0.0999147466328371,0.0513896201804573
0.05_0.01_1.2_0.7,bias,bias_mis,0.0685834803234982,0.0305363962108127,bias_single,0.0185339030781844,0.0118484690248921
0.05_0.01_1.2_0.7,rmse,rmse_mis,0.388854587950189,0.234933365413772,rmse_single,0.270948931908462,0.173802374239294
0.05_0.01_1.2_0.7,sd,sd_mis,0.382950189508077,0.233056924851674,sd_single,0.270449553706647,0.173484800628271
0.05_0.01_1.2_0.8,bias,bias_mis,0.0643037967587128,0.0169372360994773,bias_single,0.209438685489374,0.173223499066764
0.05_0.01_1.2_0.8,rmse,rmse_mis,0.378451248029848,0.243631056705887,rmse_single,0.372869477487285,0.267860864406309
0.05_0.01_1.2_0.8,sd,sd_mis,0.373134826110107,0.24316321715077,sd_single,0.308645989134369,0.204413421522317
0.05_0.01_1.2_0.9,bias,bias_mis,0.0696639031834421,0.0240800840997752,bias_single,0.38660820855764,0.351066715868207
0.05_0.01_1.2_0.9,rmse,rmse_mis,0.401229716501316,0.230801170952712,rmse_single,0.528039642374526,0.41094624124062
0.05_0.01_1.2_0.9,sd,sd_mis,0.395333421950998,0.229656421932907,sd_single,0.359846420631511,0.21371628119578
0.05_0.01_2_0.7,bias,bias_mis,0.105499044661652,0.0586126654624941,bias_single,0.0542217964035547,0.0137741715745343
0.05_0.01_2_0.7,rmse,rmse_mis,0.618016087236723,0.374675539794646,rmse_single,0.441032995502558,0.269617054543694
0.05_0.01_2_0.7,sd,sd_mis,0.609249555337997,0.370247753493195,sd_single,0.437906224868418,0.269399711400654
0.05_0.01_2_0.8,bias,bias_mis,0.142508427662437,0.0726649337060175,bias_single,0.363891445678688,0.295537794206443
0.05_0.01_2_0.8,rmse,rmse_mis,0.642685796505742,0.392647382628926,rmse_single,0.615007022292529,0.430879920530873
0.05_0.01_2_0.8,sd,sd_mis,0.627000407165726,0.38605804655538,sd_single,0.496047090453058,0.313708991652655
0.05_0.01_2_0.9,bias,bias_mis,0.144901698914436,0.0603636083256136,bias_single,0.660721432801798,0.606848872398734
0.05_0.01_2_0.9,rmse,rmse_mis,0.586872328202007,0.360564803095091,rmse_single,0.857418238033309,0.708555976998615
0.05_0.01_2_0.9,sd,sd_mis,0.568987147161155,0.355653907222508,sd_single,0.546728575514183,0.365950732404506
0.05_0.1_0.5_0.7,bias,bias_mis,-0.0139822844488574,-0.0245138063434413,bias_single,-0.00209283715974506,-0.00030291788264458
0.05_0.1_0.5_0.7,rmse,rmse_mis,0.143298545007769,0.095404760593204,rmse_single,0.100163694495557,0.0691631004503836
0.05_0.1_0.5_0.7,sd,sd_mis,0.142686117232847,0.0922477712126235,sd_single,0.100191936560652,0.0691970442692593
0.05_0.1_0.5_0.8,bias,bias_mis,-0.0177341606102726,-0.017158956746157,bias_single,0.0829618816572344,0.0756581174318649
0.05_0.1_0.5_0.8,rmse,rmse_mis,0.143841318866881,0.0942847489896165,rmse_single,0.143523697422912,0.106764277392197
0.05_0.1_0.5_0.8,sd,sd_mis,0.142815338047405,0.0927566056046781,sd_single,0.117175543616646,0.0753667057398575
0.05_0.1_0.5_0.9,bias,bias_mis,-0.00880382565766219,-0.0124743766020582,bias_single,0.146907925929608,0.143566839626959
0.05_0.1_0.5_0.9,rmse,rmse_mis,0.148878338822342,0.10093220498494,rmse_single,0.18865097556591,0.164799731018905
0.05_0.1_0.5_0.9,sd,sd_mis,0.148692171233309,0.100208491023391,sd_single,0.118411457022471,0.0809571983915068
0.05_0.1_1.2_0.7,bias,bias_mis,0.0956114733834619,0.0601559816864361,bias_single,0.0318053947004326,0.0165403191979978
0.05_0.1_1.2_0.7,rmse,rmse_mis,0.434852846289598,0.257330602101182,rmse_single,0.285734236320195,0.190792808407434
0.05_0.1_1.2_0.7,sd,sd_mis,0.424423820800944,0.250325707039254,sd_single,0.284100657967017,0.190169603404128
0.05_0.1_1.2_0.8,bias,bias_mis,0.0880266443210913,0.0654735763713896,bias_single,0.199986595227345,0.194140255055525
0.05_0.1_1.2_0.8,rmse,rmse_mis,0.379885320635336,0.269141053396437,rmse_single,0.360390061574153,0.294679297248741
0.05_0.1_1.2_0.8,sd,sd_mis,0.36973080422298,0.261186400404462,sd_single,0.299960554982385,0.221798656980213
