Power,combination
0.93,0.05_0.1_2_0.4_0.5_100_100_50_0.4
1,0.05_0.1_2_0.4_0.5_300_300_150_0
1,0.05_0.1_2_0.4_0.5_300_300_150_0.2
1,0.05_0.1_2_0.4_0.5_300_300_150_0.4
0.0580000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0
0.0570000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0.2
0.0629999999999999,0.05_0.1_2_0.5_0.5_100_100_50_0.4
0.045,0.05_0.1_2_0.5_0.5_300_300_150_0
0.0610000000000001,0.05_0.1_2_0.5_0.5_300_300_150_0.2
0.044,0.05_0.1_2_0.5_0.5_300_300_150_0.4
0.989,0.05_0.1_2_0.6_0.5_100_100_50_0
0.919,0.05_0.1_2_0.6_0.5_100_100_50_0.2
0.837,0.05_0.1_2_0.6_0.5_100_100_50_0.4
1,0.05_0.1_2_0.6_0.5_300_300_150_0
1,0.05_0.1_2_0.6_0.5_300_300_150_0.2
0.999,0.05_0.1_2_0.6_0.5_300_300_150_0.4
1,0.05_0.1_2_0.7_0.5_100_100_50_0
1,0.05_0.1_2_0.7_0.5_100_100_50_0.2
0.999,0.05_0.1_2_0.7_0.5_100_100_50_0.4
1,0.05_0.1_2_0.7_0.5_300_300_150_0
1,0.05_0.1_2_0.7_0.5_300_300_150_0.2
1,0.05_0.1_2_0.7_0.5_300_300_150_0.4
0.637,0.2_0.01_1.2_0.3_0.5_100_100_50_0
0.527,0.2_0.01_1.2_0.3_0.5_100_100_50_0.2
0.496,0.2_0.01_1.2_0.3_0.5_100_100_50_0.4
0.988,0.2_0.01_1.2_0.3_0.5_300_300_150_0
0.948,0.2_0.01_1.2_0.3_0.5_300_300_150_0.2
0.938,0.2_0.01_1.2_0.3_0.5_300_300_150_0.4
0.208,0.2_0.01_1.2_0.4_0.5_100_100_50_0
0.193,0.2_0.01_1.2_0.4_0.5_100_100_50_0.2
0.171,0.2_0.01_1.2_0.4_0.5_100_100_50_0.4
0.506,0.2_0.01_1.2_0.4_0.5_300_300_150_0
0.43,0.2_0.01_1.2_0.4_0.5_300_300_150_0.2
0.386,0.2_0.01_1.2_0.4_0.5_300_300_150_0.4
0.05,0.2_0.01_1.2_0.5_0.5_100_100_50_0
0.0600000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50_0.2
0.0520000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50_0.4
0.046,0.2_0.01_1.2_0.5_0.5_300_300_150_0
0.048,0.2_0.01_1.2_0.5_0.5_300_300_150_0.2
0.0560000000000001,0.2_0.01_1.2_0.5_0.5_300_300_150_0.4
0.251,0.2_0.01_1.2_0.6_0.5_100_100_50_0
0.179,0.2_0.01_1.2_0.6_0.5_100_100_50_0.2
0.13,0.2_0.01_1.2_0.6_0.5_100_100_50_0.4
0.596,0.2_0.01_1.2_0.6_0.5_300_300_150_0
0.435,0.2_0.01_1.2_0.6_0.5_300_300_150_0.2
0.333,0.2_0.01_1.2_0.6_0.5_300_300_150_0.4
0.791,0.2_0.01_1.2_0.7_0.5_100_100_50_0
0.516,0.2_0.01_1.2_0.7_0.5_100_100_50_0.2
0.375,0.2_0.01_1.2_0.7_0.5_100_100_50_0.4
1,0.2_0.01_1.2_0.7_0.5_300_300_150_0
0.932,0.2_0.01_1.2_0.7_0.5_300_300_150_0.2
0.81,0.2_0.01_1.2_0.7_0.5_300_300_150_0.4
0.737,0.2_0.01_2_0.3_0.5_100_100_50_0
0.658,0.2_0.01_2_0.3_0.5_100_100_50_0.2
0.578,0.2_0.01_2_0.3_0.5_100_100_50_0.4
0.999,0.2_0.01_2_0.3_0.5_300_300_150_0
0.985,0.2_0.01_2_0.3_0.5_300_300_150_0.2
0.969,0.2_0.01_2_0.3_0.5_300_300_150_0.4
0.29,0.2_0.01_2_0.4_0.5_100_100_50_0
0.222,0.2_0.01_2_0.4_0.5_100_100_50_0.2
0.175,0.2_0.01_2_0.4_0.5_100_100_50_0.4
0.656,0.2_0.01_2_0.4_0.5_300_300_150_0
0.514,0.2_0.01_2_0.4_0.5_300_300_150_0.2
0.451,0.2_0.01_2_0.4_0.5_300_300_150_0.4
0.049,0.2_0.01_2_0.5_0.5_100_100_50_0
0.0560000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0.2
0.0540000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0.4
0.043,0.2_0.01_2_0.5_0.5_300_300_150_0
0.046,0.2_0.01_2_0.5_0.5_300_300_150_0.2
0.053,0.2_0.01_2_0.5_0.5_300_300_150_0.4
0.275,0.2_0.01_2_0.6_0.5_100_100_50_0
0.207,0.2_0.01_2_0.6_0.5_100_100_50_0.2
0.16,0.2_0.01_2_0.6_0.5_100_100_50_0.4
0.673,0.2_0.01_2_0.6_0.5_300_300_150_0
0.476,0.2_0.01_2_0.6_0.5_300_300_150_0.2
0.377,0.2_0.01_2_0.6_0.5_300_300_150_0.4
0.844,0.2_0.01_2_0.7_0.5_100_100_50_0
0.557,0.2_0.01_2_0.7_0.5_100_100_50_0.2
0.395,0.2_0.01_2_0.7_0.5_100_100_50_0.4
1,0.2_0.01_2_0.7_0.5_300_300_150_0
0.973,0.2_0.01_2_0.7_0.5_300_300_150_0.2
0.849,0.2_0.01_2_0.7_0.5_300_300_150_0.4
1,0.2_0.1_1.2_0.3_0.5_100_100_50_0
1,0.2_0.1_1.2_0.3_0.5_100_100_50_0.2
1,0.2_0.1_1.2_0.3_0.5_100_100_50_0.4
1,0.2_0.1_1.2_0.3_0.5_300_300_150_0
1,0.2_0.1_1.2_0.3_0.5_300_300_150_0.2
1,0.2_0.1_1.2_0.3_0.5_300_300_150_0.4
0.971,0.2_0.1_1.2_0.4_0.5_100_100_50_0
0.934,0.2_0.1_1.2_0.4_0.5_100_100_50_0.2
0.846,0.2_0.1_1.2_0.4_0.5_100_100_50_0.4
1,0.2_0.1_1.2_0.4_0.5_300_300_150_0
1,0.2_0.1_1.2_0.4_0.5_300_300_150_0.2
1,0.2_0.1_1.2_0.4_0.5_300_300_150_0.4
0.069,0.2_0.1_1.2_0.5_0.5_100_100_50_0
0.064,0.2_0.1_1.2_0.5_0.5_100_100_50_0.2
0.0560000000000001,0.2_0.1_1.2_0.5_0.5_100_100_50_0.4
0.05,0.2_0.1_1.2_0.5_0.5_300_300_150_0
0.041,0.2_0.1_1.2_0.5_0.5_300_300_150_0.2
0.0550000000000001,0.2_0.1_1.2_0.5_0.5_300_300_150_0.4
0.982,0.2_0.1_1.2_0.6_0.5_100_100_50_0
0.9,0.2_0.1_1.2_0.6_0.5_100_100_50_0.2
0.765,0.2_0.1_1.2_0.6_0.5_100_100_50_0.4
1,0.2_0.1_1.2_0.6_0.5_300_300_150_0
1,0.2_0.1_1.2_0.6_0.5_300_300_150_0.2
0.997,0.2_0.1_1.2_0.6_0.5_300_300_150_0.4
1,0.2_0.1_1.2_0.7_0.5_100_100_50_0
1,0.2_0.1_1.2_0.7_0.5_100_100_50_0.2
0.998,0.2_0.1_1.2_0.7_0.5_100_100_50_0.4
1,0.2_0.1_1.2_0.7_0.5_300_300_150_0
1,0.2_0.1_1.2_0.7_0.5_300_300_150_0.2
1,0.2_0.1_1.2_0.7_0.5_300_300_150_0.4
1,0.2_0.1_2_0.3_0.5_100_100_50_0
1,0.2_0.1_2_0.3_0.5_100_100_50_0.2
1,0.2_0.1_2_0.3_0.5_100_100_50_0.4
1,0.2_0.1_2_0.3_0.5_300_300_150_0
1,0.2_0.1_2_0.3_0.5_300_300_150_0.2
1,0.2_0.1_2_0.3_0.5_300_300_150_0.4
0.99,0.2_0.1_2_0.4_0.5_100_100_50_0
0.957,0.2_0.1_2_0.4_0.5_100_100_50_0.2
0.924,0.2_0.1_2_0.4_0.5_100_100_50_0.4
1,0.2_0.1_2_0.4_0.5_300_300_150_0
1,0.2_0.1_2_0.4_0.5_300_300_150_0.2
1,0.2_0.1_2_0.4_0.5_300_300_150_0.4
0.064,0.2_0.1_2_0.5_0.5_100_100_50_0
0.042,0.2_0.1_2_0.5_0.5_100_100_50_0.2
0.064,0.2_0.1_2_0.5_0.5_100_100_50_0.4
0.0659999999999999,0.2_0.1_2_0.5_0.5_300_300_150_0
0.0550000000000001,0.2_0.1_2_0.5_0.5_300_300_150_0.2
0.049,0.2_0.1_2_0.5_0.5_300_300_150_0.4
0.995,0.2_0.1_2_0.6_0.5_100_100_50_0
0.927,0.2_0.1_2_0.6_0.5_100_100_50_0.2
0.821,0.2_0.1_2_0.6_0.5_100_100_50_0.4
1,0.2_0.1_2_0.6_0.5_300_300_150_0
1,0.2_0.1_2_0.6_0.5_300_300_150_0.2
1,0.2_0.1_2_0.6_0.5_300_300_150_0.4
1,0.2_0.1_2_0.7_0.5_100_100_50_0
1,0.2_0.1_2_0.7_0.5_100_100_50_0.2
0.998,0.2_0.1_2_0.7_0.5_100_100_50_0.4
1,0.2_0.1_2_0.7_0.5_300_300_150_0
1,0.2_0.1_2_0.7_0.5_300_300_150_0.2
1,0.2_0.1_2_0.7_0.5_300_300_150_0.4
