Power,combination
0.473,0.2_0.01_1.2_0.4445_200_200_100
0.351,0.2_0.01_1.2_0.5555_200_200_100
0.321,0.2_0.01_1.2_0.4445_200_200_100
0.046,0.2_0.01_1.2_0.5555_200_200_100
0.043,0.2_0.01_1.2_0.4445_200_200_100
0.038,0.2_0.01_1.2_0.5555_200_200_100
0.235,0.2_0.01_1.2_0.5_200_200_100
0.242,0.2_0.01_1.2_0.5_200_200_100
0.236,0.2_0.01_1.2_0.5_200_200_100
0.44,0.2_0.01_1.2_0.5_200_200_100
0.419,0.2_0.01_1.2_0.5_200_200_100
0.399,0.2_0.01_1.2_0.5_200_200_100
0.0570000000000001,0.2_0.01_1.2_0.545_200_200_100
0.04,0.2_0.01_1.2_0.454_200_200_100
0.0510000000000001,0.2_0.01_1.2_0.545_200_200_100
0.31,0.2_0.01_1.2_0.454_200_200_100
0.279,0.2_0.01_1.2_0.545_200_200_100
0.271,0.2_0.01_1.2_0.454_200_200_100
1,0.2_0.01_2_0.4445_200_200_100
0.999,0.2_0.01_2_0.5555_200_200_100
0.998,0.2_0.01_2_0.4445_200_200_100
0.048,0.2_0.01_2_0.5555_200_200_100
0.045,0.2_0.01_2_0.4445_200_200_100
0.0610000000000001,0.2_0.01_2_0.5555_200_200_100
0.991,0.2_0.01_2_0.5_200_200_100
0.994,0.2_0.01_2_0.5_200_200_100
0.978,0.2_0.01_2_0.5_200_200_100
1,0.2_0.01_2_0.5_200_200_100
1,0.2_0.01_2_0.5_200_200_100
1,0.2_0.01_2_0.5_200_200_100
0.0520000000000001,0.2_0.01_2_0.545_200_200_100
0.0540000000000001,0.2_0.01_2_0.454_200_200_100
0.053,0.2_0.01_2_0.545_200_200_100
1,0.2_0.01_2_0.454_200_200_100
0.994,0.2_0.01_2_0.545_200_200_100
0.992,0.2_0.01_2_0.454_200_200_100
0.473,0.2_0.1_1.2_0.4445_200_200_100
0.351,0.2_0.1_1.2_0.5555_200_200_100
0.321,0.2_0.1_1.2_0.4445_200_200_100
0.046,0.2_0.1_1.2_0.5555_200_200_100
0.043,0.2_0.1_1.2_0.4445_200_200_100
0.038,0.2_0.1_1.2_0.5555_200_200_100
0.235,0.2_0.1_1.2_0.5_200_200_100
0.242,0.2_0.1_1.2_0.5_200_200_100
0.236,0.2_0.1_1.2_0.5_200_200_100
0.44,0.2_0.1_1.2_0.5_200_200_100
0.419,0.2_0.1_1.2_0.5_200_200_100
0.399,0.2_0.1_1.2_0.5_200_200_100
0.0570000000000001,0.2_0.1_1.2_0.545_200_200_100
0.04,0.2_0.1_1.2_0.454_200_200_100
0.0510000000000001,0.2_0.1_1.2_0.545_200_200_100
0.31,0.2_0.1_1.2_0.454_200_200_100
0.279,0.2_0.1_1.2_0.545_200_200_100
0.271,0.2_0.1_1.2_0.454_200_200_100
1,0.2_0.1_2_0.4445_200_200_100
0.999,0.2_0.1_2_0.5555_200_200_100
0.998,0.2_0.1_2_0.4445_200_200_100
0.048,0.2_0.1_2_0.5555_200_200_100
0.045,0.2_0.1_2_0.4445_200_200_100
0.0610000000000001,0.2_0.1_2_0.5555_200_200_100
0.991,0.2_0.1_2_0.5_200_200_100
0.994,0.2_0.1_2_0.5_200_200_100
0.978,0.2_0.1_2_0.5_200_200_100
1,0.2_0.1_2_0.5_200_200_100
1,0.2_0.1_2_0.5_200_200_100
1,0.2_0.1_2_0.5_200_200_100
0.0520000000000001,0.2_0.1_2_0.545_200_200_100
0.0540000000000001,0.2_0.1_2_0.454_200_200_100
0.053,0.2_0.1_2_0.545_200_200_100
1,0.2_0.1_2_0.454_200_200_100
0.994,0.2_0.1_2_0.545_200_200_100
0.992,0.2_0.1_2_0.454_200_200_100
