PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.88,0.8,0.95,0.86,1,1,2.04184373180576
0.83,0.81,0.96,0.78,1,1,2.11391222206001
0.88,0.78,0.94,0.85,1,1,2.0725227669779
0.93,0.89,0.97,0.85,1,1,2.00941454170342
0.94,0.83,0.95,0.84,1,1,2.09379530282466
0.93,0.88,0.94,0.83,1,1,2.00590879014915
0.9,0.88,0.93,0.85,1,1,1.92922188844808
0.93,0.84,0.97,0.9,1,1,2.00941454170342
0.91,0.85,0.95,0.86,1,0.98,1.99007307647961
0.91,0.9,0.9,0.89,1,1,1.81475376601197
0.96,0.86,0.97,0.85,1,1,2.08610397793664
0.94,0.85,0.88,0.85,1,1,1.93588821720721
0.94,0.83,0.95,0.79,1,1,2.17561579152521
0.94,0.85,0.93,0.8,1,1,2.09263979122224
0.9,0.82,0.96,0.89,1,1,2.00491929908265
0.93,0.89,0.94,0.8,1,0.98,2.02541616855469
0.91,0.85,0.91,0.88,1,1,1.90872946713392
0.95,0.81,0.92,0.85,1,1,2.07164237771306
0.9,0.82,0.91,0.91,1,1,1.89799563211776
0.91,0.91,0.92,0.91,1,1,1.80728264938384
0.89,0.9,0.95,0.88,1,1,1.88199264032526
0.98,0.87,0.95,0.81,1,1,2.12270219279848
0.9,0.83,0.95,0.88,1,1,1.98907815973845
0.88,0.87,0.96,0.85,1,1,1.96876240184496
0.95,0.84,0.93,0.9,1,1,1.96872255139106
0.89,0.85,0.95,0.82,1,0.98,2.02731988061405
0.9,0.89,0.98,0.84,1,1,2.00728752927385
0.87,0.89,0.93,0.85,1,0.96,1.86531250515382
0.93,0.86,0.96,0.85,1,0.98,2.02750924366436
0.89,0.83,0.91,0.85,1,1,1.95770801027216
0.95,0.82,0.98,0.85,1,1,2.15396677648107
0.9,0.82,0.97,0.83,1,0.98,2.10241599825652
0.95,0.87,0.95,0.86,1,0.98,2.00429438329806
0.94,0.85,0.9,0.86,1,1,1.95343482269066
0.92,0.85,0.94,0.84,1,0.98,2.01441966810863
0.89,0.79,0.93,0.87,1,1,2.02026418391717
0.87,0.85,0.92,0.86,1,0.98,1.89943798335948
0.92,0.83,0.94,0.87,1,1,2.00969278744781
0.87,0.86,0.93,0.94,1,1,1.80603653508925
0.94,0.88,0.94,0.83,1,1,2.01679938006745
0.93,0.85,0.94,0.83,1,1,2.0508337746262
0.94,0.9,0.98,0.87,1,0.98,1.98340557567819
0.88,0.87,0.92,0.9,1,1,1.83919575795491
0.84,0.82,0.96,0.89,1,1,1.93957575957285
0.91,0.84,0.93,0.8,1,1,2.07431145753445
0.92,0.86,0.97,0.86,1,1,2.02773528642042
0.89,0.82,0.93,0.75,1,1,2.16814784677889
0.88,0.88,0.9,0.84,1,1,1.87440455785848
0.94,0.84,0.95,0.88,1,1,2.01790596038044
0.94,0.82,0.94,0.83,1,1,2.10920675291854
0.92,0.87,0.95,0.88,1,0.96,1.93509521872012
0.87,0.84,0.91,0.89,1,1,1.8657941270693
0.9,0.94,0.93,0.83,1,1,1.87523897222564
0.9,0.89,0.98,0.76,1,1,2.1299162640042
0.93,0.87,0.95,0.87,1,1,1.97841140887191
0.87,0.83,0.92,0.85,1,1,1.95163493470447
0.92,0.81,0.94,0.9,1,1,1.99501820023085
0.9,0.85,0.92,0.86,1,1,1.94155474170586
0.89,0.9,0.97,0.76,1,1,2.08602981341806
0.89,0.88,0.96,0.87,1,1,1.93744067280701
0.85,0.89,0.95,0.84,1,1,1.90677896969761
0.94,0.84,0.91,0.87,1,1,1.96927596203486
0.93,0.83,0.91,0.8,1,1,2.07988220172495
0.94,0.86,0.96,0.82,1,1,2.09436011901937
0.92,0.88,0.93,0.83,1,0.98,1.9693842631954
0.96,0.83,0.95,0.82,1,1,2.14855288246463
0.93,0.85,0.92,0.88,1,1,1.94581026533139
0.92,0.88,0.94,0.89,1,1,1.91128218649638
0.88,0.89,0.92,0.89,1,1,1.82641917766041
0.9,0.83,0.91,0.85,1,1,1.96884250937787
0.93,0.86,0.95,0.86,1,1,2.00709431606935
0.92,0.84,0.95,0.87,1,1,2.01085933957505
0.93,0.88,0.92,0.84,1,0.98,1.95028785301539
0.93,0.83,0.97,0.9,1,1,2.02387590615716
0.92,0.86,0.9,0.89,1,1,1.87683573272606
0.91,0.85,0.95,0.82,1,1,2.06014055797702
0.91,0.81,0.92,0.88,1,1,1.98138104673641
0.89,0.86,0.94,0.89,1,1,1.90665749749163
0.9,0.89,0.88,0.82,1,0.98,1.86889706100811
0.84,0.87,0.91,0.85,1,1,1.84688428794519
0.91,0.83,0.95,0.88,1,1,1.99996874965675
0.93,0.81,0.93,0.78,0.98,0.98,2.18017995228413
0.93,0.88,0.92,0.92,1,0.94,1.82691385405545
0.94,0.89,0.93,0.89,1,1,1.90365602336775
0.89,0.88,0.92,0.86,1,1,1.8892781589233
0.92,0.8,0.92,0.85,1,1,2.05329366167616
0.87,0.85,0.94,0.87,0.98,1,1.93634589889801
0.91,0.85,0.96,0.85,1,1,2.03063741189048
0.9,0.87,0.93,0.89,0.98,1,1.89801973873136
0.95,0.78,0.9,0.85,1,1,2.08619075808651
0.9,0.86,0.96,0.84,1,1,2.01966671497788
0.9,0.88,0.94,0.8,1,1,2.01743027730907
0.92,0.86,0.94,0.82,1,1,2.03969927552049
0.89,0.83,0.93,0.88,1,1,1.94650529113176
0.87,0.85,0.94,0.92,1,1,1.85911476639747
0.95,0.84,0.9,0.79,1,1,2.08619075808651
0.85,0.81,0.96,0.86,1,1,2.00914881007303
0.87,0.83,0.97,0.76,1,0.98,2.1672092757741
0.88,0.84,0.96,0.89,1,1,1.95459360291123
0.93,0.91,0.91,0.85,1,1,1.88940411861388
0.92,0.79,0.87,0.88,1,1,1.94081687192925
0.91,0.87,0.93,0.88,0.98,1,1.9220671228707
0.97,0.85,0.93,0.77,1,1,2.17667488307106
0.92,0.81,0.91,0.85,0.98,1,2.03158671880595
0.92,0.85,0.95,0.87,1,0.98,1.98647648652738
0.91,0.82,0.95,0.79,1,1,2.15750794525779
0.93,0.85,0.92,0.82,0.98,1,2.04384193928639
0.89,0.84,0.92,0.85,1,1,1.95927706451229
0.92,0.81,0.95,0.84,1,1,2.10299454676507
0.92,0.93,0.96,0.87,1,1,1.90172455840853
0.9,0.84,0.91,0.88,1,1,1.91175415381175
