PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.88,0.86,0.87,0.8,1.21315537379717
0.84,0.88,0.85,0.81,1.14951939210892
0.87,0.84,0.88,0.78,1.24287327733196
0.86,0.84,0.85,0.79,1.20859026736083
0.84,0.85,0.84,0.77,1.19017140727918
0.82,0.79,0.82,0.81,1.19133151543922
0.81,0.84,0.87,0.77,1.19896968862413
0.86,0.8,0.86,0.77,1.2650943432906
0.87,0.85,0.81,0.78,1.18445025302415
0.87,0.83,0.88,0.74,1.27717891801448
0.86,0.85,0.84,0.79,1.19276399248527
0.84,0.85,0.85,0.77,1.19725045566459
0.9,0.87,0.86,0.7,1.2713668920984
0.94,0.85,0.87,0.83,1.24599369361625
0.82,0.8,0.78,0.84,1.13672803110534
0.89,0.88,0.85,0.7,1.24755135119429
0.89,0.84,0.82,0.82,1.19130388884081
0.9,0.84,0.85,0.81,1.22501034522525
0.93,0.83,0.89,0.83,1.27105380424759
0.88,0.82,0.82,0.84,1.19020211038586
0.84,0.87,0.87,0.82,1.16592021185771
0.88,0.84,0.81,0.81,1.18302137314287
0.82,0.84,0.92,0.73,1.26655956492322
0.78,0.82,0.82,0.81,1.13650514121
0.87,0.85,0.87,0.73,1.25710095653282
0.87,0.93,0.76,0.77,1.09055469034002
0.89,0.91,0.84,0.8,1.15759941014088
0.83,0.84,0.84,0.77,1.19185949636348
0.78,0.84,0.86,0.8,1.15347897026719
0.89,0.79,0.89,0.77,1.3193134295757
0.93,0.85,0.94,0.75,1.33776411148481
0.85,0.87,0.84,0.75,1.19128639060953
0.86,0.85,0.88,0.78,1.22670867974793
0.81,0.87,0.84,0.71,1.18599626591155
0.88,0.83,0.84,0.79,1.22467215828301
0.88,0.82,0.87,0.71,1.30671932104534
0.82,0.84,0.87,0.82,1.17730833368625
0.82,0.92,0.85,0.74,1.14087917445356
0.87,0.84,0.89,0.81,1.2319735606261
0.85,0.8,0.81,0.78,1.21485890174961
0.83,0.92,0.78,0.81,1.06501122721993
0.84,0.84,0.79,0.81,1.14101143309276
0.84,0.85,0.81,0.72,1.1980289554145
0.92,0.9,0.85,0.83,1.17636712340157
0.87,0.79,0.87,0.78,1.28314544874247
0.88,0.84,0.84,0.76,1.23360699502278
0.9,0.85,0.88,0.78,1.25493024036557
0.85,0.82,0.83,0.75,1.22928361019437
0.83,0.9,0.84,0.71,1.17406354105405
0.83,0.87,0.83,0.76,1.16450621990806
0.88,0.87,0.9,0.76,1.24867688569958
0.81,0.83,0.84,0.84,1.14680335424031
0.84,0.84,0.79,0.77,1.16334390304786
0.82,0.88,0.85,0.78,1.15202257966882
0.84,0.81,0.84,0.83,1.19054814591439
0.87,0.91,0.82,0.68,1.19671425227155
0.74,0.89,0.82,0.72,1.09942878893226
0.86,0.9,0.8,0.77,1.13426657913913
0.87,0.89,0.77,0.85,1.08758767684531
0.78,0.84,0.83,0.82,1.12157652689524
0.96,0.82,0.82,0.8,1.27064826702311
0.84,0.87,0.86,0.75,1.19831955500719
0.79,0.85,0.87,0.75,1.18749581463212
0.78,0.83,0.84,0.87,1.11006718884916
0.82,0.82,0.89,0.78,1.23263444655401
0.78,0.9,0.81,0.69,1.12869093218582
0.84,0.87,0.82,0.73,1.18156533577523
0.85,0.84,0.86,0.81,1.19697925589616
0.92,0.78,0.83,0.83,1.26823157832236
0.79,0.87,0.87,0.8,1.14248456731872
0.81,0.83,0.8,0.87,1.1032506531809
0.86,0.85,0.83,0.8,1.18007645157644
0.82,0.86,0.81,0.78,1.14081211660437
0.82,0.87,0.88,0.78,1.181173123903
0.91,0.85,0.87,0.81,1.23700320344305
0.86,0.87,0.86,0.79,1.18943465198369
0.84,0.9,0.78,0.79,1.09666078328057
0.91,0.81,0.84,0.84,1.23419496911324
0.89,0.87,0.83,0.78,1.19513208536435
0.9,0.9,0.8,0.8,1.14551917069225
0.87,0.84,0.83,0.79,1.20153839735435
0.84,0.8,0.82,0.74,1.2397292360815
0.88,0.78,0.89,0.76,1.32888833767415
0.88,0.86,0.84,0.76,1.21548203053087
0.86,0.78,0.88,0.78,1.29304726110425
0.84,0.79,0.84,0.71,1.2843544892587
0.86,0.85,0.86,0.72,1.24883742240487
0.85,0.87,0.78,0.8,1.12191382378039
0.87,0.92,0.88,0.8,1.16286281486789
0.87,0.77,0.83,0.85,1.22901696012056
0.83,0.87,0.92,0.74,1.23951801815506
0.87,0.91,0.83,0.73,1.17526170343358
0.83,0.82,0.85,0.73,1.24172028348622
0.84,0.86,0.82,0.76,1.17307164907713
0.8,0.87,0.86,0.74,1.17578483521678
0.87,0.8,0.87,0.69,1.33360545816233
0.82,0.84,0.84,0.77,1.18471723655725
0.8,0.81,0.81,0.72,1.20535689403702
0.89,0.87,0.87,0.73,1.2527433282586
0.88,0.87,0.83,0.76,1.1996079752894
0.86,0.81,0.84,0.73,1.26625458968416
0.89,0.87,0.86,0.79,1.21019614114852
0.84,0.87,0.86,0.78,1.18119393715958
0.88,0.87,0.82,0.77,1.1868896533367
0.86,0.85,0.87,0.76,1.23156971940888
