PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.35,0.29,0.42,0.44,0.98,1,1.11311155109909
0.31,0.29,0.48,0.43,0.98,0.98,1.20263306922291
0.28,0.26,0.36,0.51,0.98,0.94,0.732555918863393
0.33,0.39,0.57,0.44,0.98,0.98,1.20808950295847
0.34,0.37,0.52,0.37,0.98,1,1.34653039198264
0.33,0.34,0.46,0.43,0.98,0.94,1.06244214225488
0.38,0.36,0.44,0.43,0.96,1,1.10777399136777
0.33,0.36,0.49,0.38,0.98,0.96,1.22192077442364
0.29,0.42,0.5,0.47,0.98,0.98,0.903493310421014
0.37,0.35,0.49,0.46,1,1,1.13416189416937
0.37,0.42,0.56,0.44,0.98,0.98,1.19283442658103
0.36,0.36,0.58,0.35,0.98,1,1.64138060701863
0.34,0.33,0.47,0.42,1,1,1.16889921251636
0.31,0.27,0.54,0.36,0.98,1,1.70982043477628
0.29,0.33,0.5,0.45,0.98,1,1.09236506751633
0.37,0.28,0.48,0.41,0.96,0.98,1.4233827281614
0.26,0.37,0.53,0.31,1,0.98,1.37292624397523
0.36,0.39,0.52,0.39,1,0.98,1.2545993658309
0.38,0.37,0.58,0.42,1,0.98,1.3941455822782
0.31,0.27,0.52,0.44,1,0.96,1.30065108644547
0.31,0.4,0.44,0.36,1,0.98,1.02513999539059
0.33,0.29,0.5,0.41,0.94,1,1.39605550884565
0.36,0.28,0.52,0.43,1,0.96,1.40189699459287
0.31,0.34,0.52,0.42,0.96,0.96,1.2129713176387
0.36,0.4,0.48,0.38,0.98,1,1.18783539879634
0.32,0.34,0.54,0.42,1,0.98,1.2669855989493
0.22,0.32,0.5,0.42,0.96,1,1.06493456331554
0.34,0.26,0.53,0.38,0.98,0.96,1.65358328911946
0.26,0.24,0.56,0.34,1,1,1.88210631108388
0.28,0.37,0.43,0.51,1,0.98,0.750782585268736
0.39,0.28,0.44,0.49,0.98,0.96,1.11537276241294
0.23,0.32,0.5,0.38,1,1,1.1595791937838
0.32,0.47,0.51,0.4,0.98,1,1.01779170703377
0.25,0.34,0.54,0.48,1,0.98,1.0146302325391
0.35,0.27,0.49,0.37,0.94,0.98,1.61078414730346
0.3,0.38,0.47,0.39,0.98,0.98,1.06407843613405
0.23,0.28,0.47,0.5,0.94,0.98,0.921794104487585
0.33,0.39,0.52,0.35,0.96,1,1.34715678064018
0.3,0.35,0.51,0.43,0.96,0.96,1.12790182390958
0.33,0.37,0.5,0.52,0.98,0.98,0.951793799646285
0.32,0.36,0.48,0.5,1,1,0.942294231481863
0.29,0.38,0.49,0.45,0.96,0.98,0.984232176738001
0.38,0.31,0.64,0.51,0.96,1,1.46019666068031
0.32,0.32,0.48,0.4,1,0.94,1.19273741197011
0.3,0.39,0.4,0.53,0.98,0.96,0.683234730391054
0.29,0.33,0.47,0.31,0.98,1,1.42257808227659
0.32,0.32,0.55,0.43,0.98,1,1.33750208700199
0.3,0.3,0.42,0.48,0.98,1,0.91837426359422
0.27,0.4,0.58,0.45,1,1,1.09519193946677
0.34,0.3,0.5,0.45,0.98,0.96,1.22049410926424
0.37,0.42,0.49,0.43,0.98,0.96,1.06157584099773
0.29,0.3,0.49,0.4,1,0.98,1.23506271597065
0.36,0.3,0.52,0.5,0.98,0.88,1.14012504597278
0.35,0.3,0.52,0.41,1,0.92,1.35988279867329
0.32,0.28,0.48,0.4,0.98,0.96,1.32225723697844
0.26,0.34,0.47,0.35,0.98,1,1.18810118857342
0.32,0.36,0.51,0.39,1,1,1.23956937783817
0.37,0.33,0.56,0.42,1,1,1.44581806238285
0.32,0.32,0.52,0.32,0.98,0.94,1.58631378347817
0.3,0.31,0.49,0.39,0.94,0.98,1.29964358142453
0.22,0.39,0.47,0.33,0.98,1,1.04123401956665
0.29,0.36,0.54,0.44,1,0.96,1.11472275334608
0.24,0.34,0.51,0.41,0.98,0.96,1.07467788261714
0.31,0.39,0.44,0.39,1,0.98,0.98137892274735
0.33,0.4,0.54,0.46,0.98,0.92,1.06061640226245
0.31,0.29,0.56,0.35,0.98,0.96,1.69212427071989
0.38,0.32,0.45,0.38,0.94,0.92,1.31337318623255
