PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.39,0.2,0.23,0.37,0.96,0.98,1.21731125534568
0.39,0.29,0.23,0.36,0.96,0.96,1.02148755481893
0.5,0.33,0.3,0.31,0.94,0.92,1.42508082556307
0.4,0.38,0.26,0.38,0.92,0.98,0.91953998181725
0.51,0.32,0.19,0.36,0.96,0.96,1.1690320434638
0.49,0.3,0.25,0.42,0.98,0.92,1.12335914742451
0.5,0.34,0.26,0.4,0.92,0.96,1.14847727354698
0.44,0.27,0.3,0.29,0.96,0.96,1.53121870969908
0.43,0.35,0.27,0.41,0.94,0.98,0.987866876911186
0.46,0.34,0.31,0.36,0.98,1,1.21735529502141
0.5,0.32,0.19,0.42,0.9,0.96,1.04936771372608
0.51,0.41,0.29,0.35,0.94,0.96,1.16939900983053
0.45,0.45,0.29,0.38,1,0.94,0.92747745960046
0.54,0.41,0.34,0.31,1,0.98,1.37908844402351
0.54,0.41,0.24,0.27,0.96,0.96,1.31952933349965
0.38,0.26,0.31,0.32,0.94,0.96,1.32476772127307
0.52,0.32,0.22,0.29,0.94,0.98,1.43989363403995
0.48,0.34,0.23,0.31,0.98,0.94,1.22273296032883
0.48,0.35,0.29,0.37,0.88,0.92,1.19213078415073
0.52,0.37,0.22,0.42,0.98,0.94,1.02330743901397
0.5,0.36,0.25,0.29,0.94,0.94,1.31796801810125
0.48,0.28,0.25,0.36,0.88,0.94,1.31537332575267
0.48,0.38,0.25,0.34,1,0.94,1.10216704121347
0.42,0.29,0.18,0.35,0.92,0.94,1.03255108263959
0.45,0.27,0.28,0.39,0.96,0.9,1.20893965496897
0.43,0.38,0.23,0.39,1,0.94,0.891204117938083
0.5,0.34,0.26,0.35,0.96,0.94,1.23365892116682
0.41,0.37,0.24,0.36,0.98,0.94,0.930521297340096
0.4,0.35,0.25,0.37,0.98,0.96,0.945399351259535
0.44,0.28,0.31,0.38,0.96,0.98,1.26348340973236
0.46,0.39,0.24,0.31,0.98,0.92,1.08236962126594
0.37,0.28,0.25,0.32,0.96,0.92,1.10410677471591
