PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.8,0.81,0.89,0.78,1.24122606842344
0.72,0.86,0.93,0.83,1.15798876908889
0.81,0.83,0.86,0.77,1.20834863572361
0.82,0.81,0.85,0.82,1.19374083911905
0.76,0.84,0.86,0.79,1.15986667139905
0.78,0.79,0.9,0.81,1.23875484013108
0.83,0.85,0.81,0.76,1.16450481784572
0.79,0.83,0.9,0.76,1.23792148802092
0.74,0.9,0.9,0.79,1.1329892760155
0.88,0.85,0.93,0.8,1.27120808408904
0.78,0.91,0.83,0.77,1.0994606218054
0.81,0.89,0.89,0.77,1.181476141129
0.83,0.84,0.9,0.7,1.28937593714252
0.8,0.86,0.9,0.77,1.21035258837944
0.86,0.78,0.88,0.68,1.36577635987283
0.78,0.82,0.89,0.71,1.26428399682521
0.77,0.86,0.9,0.68,1.24784959660404
0.78,0.85,0.87,0.79,1.17097703347552
0.86,0.8,0.88,0.75,1.29597481065441
0.78,0.88,0.9,0.79,1.17084050144088
0.83,0.84,0.84,0.83,1.15933198337289
0.8,0.82,0.9,0.81,1.22252563721059
0.8,0.83,0.84,0.78,1.1794485573322
0.79,0.87,0.88,0.86,1.13045335758104
0.84,0.81,0.79,0.75,1.19406163223752
0.83,0.79,0.88,0.76,1.28175196806143
0.75,0.87,0.85,0.7,1.17098811777945
0.84,0.87,0.86,0.87,1.13545086330531
0.79,0.87,0.92,0.74,1.23063410083178
0.87,0.86,0.87,0.81,1.20051205975489
0.81,0.89,0.87,0.76,1.1703347887645
0.81,0.9,0.87,0.72,1.18427843749682
0.79,0.85,0.83,0.74,1.17069436916534
0.73,0.88,0.83,0.81,1.07543086916918
0.8,0.87,0.88,0.74,1.20192237337134
0.75,0.82,0.86,0.77,1.18314059893662
0.87,0.86,0.9,0.77,1.24920840710226
0.83,0.81,0.87,0.75,1.25965540161868
0.78,0.8,0.86,0.79,1.20648234042744
0.82,0.89,0.85,0.77,1.15358161576836
0.79,0.81,0.89,0.77,1.24167637329732
0.8,0.88,0.86,0.77,1.1593437193147
0.81,0.79,0.85,0.77,1.23661754639604
0.77,0.9,0.87,0.72,1.16218855975366
0.82,0.84,0.88,0.78,1.21634614482144
0.86,0.87,0.92,0.67,1.31445379592561
0.82,0.82,0.85,0.78,1.20839426245359
0.85,0.91,0.86,0.72,1.18924747468952
0.75,0.83,0.87,0.82,1.15454420261598
0.88,0.91,0.83,0.77,1.15301140995208
0.82,0.79,0.86,0.82,1.2204322824701
0.78,0.79,0.9,0.75,1.27691210806751
0.82,0.81,0.89,0.71,1.29793391806381
0.82,0.85,0.87,0.8,1.18741678720363
0.83,0.87,0.83,0.75,1.17013410986921
0.8,0.83,0.88,0.89,1.15193911878885
0.82,0.9,0.9,0.81,1.16492069021246
0.77,0.88,0.88,0.81,1.13808128385829
0.83,0.89,0.89,0.82,1.16485989545412
0.81,0.78,0.83,0.79,1.21568228948346
0.78,0.86,0.89,0.82,1.16270620922892
0.76,0.87,0.85,0.83,1.10551354967917
0.8,0.83,0.86,0.8,1.18514606593228
0.87,0.86,0.86,0.78,1.2093204079852
0.79,0.86,0.83,0.7,1.18520363817422
0.78,0.89,0.89,0.78,1.15970941489992
0.8,0.85,0.9,0.77,1.21926653331817
0.88,0.86,0.85,0.75,1.22399093860001
0.84,0.86,0.88,0.78,1.20969468936649
0.83,0.85,0.93,0.78,1.25567373028676
0.86,0.89,0.89,0.79,1.19733632560505
0.87,0.81,0.89,0.68,1.34850550260504
0.83,0.89,0.89,0.83,1.1595152656819
0.74,0.84,0.88,0.77,1.17723229415622
0.78,0.83,0.89,0.76,1.22346971986609
0.77,0.81,0.85,0.83,1.1599734841869
0.72,0.87,0.83,0.76,1.10359869475487
0.77,0.84,0.92,0.8,1.21091886606198
0.86,0.84,0.84,0.84,1.17018701208061
0.81,0.83,0.92,0.78,1.25439614618294
0.81,0.89,0.91,0.73,1.22118597787289
0.76,0.85,0.91,0.67,1.26701687628567
0.78,0.89,0.85,0.84,1.09566848209725
0.79,0.84,0.85,0.71,1.21515176838002
0.75,0.94,0.92,0.84,1.09831980847082
0.81,0.83,0.94,0.79,1.26551317318288
0.81,0.86,0.82,0.73,1.1703610763903
0.87,0.81,0.84,0.78,1.23738866564829
0.79,0.85,0.85,0.74,1.1881020118007
0.72,0.85,0.88,0.83,1.12460497921398
0.75,0.9,0.87,0.74,1.14020461636949
0.83,0.84,0.91,0.77,1.25385297847765
0.77,0.87,0.9,0.84,1.14661768633394
0.79,0.79,0.85,0.83,1.18867457339547
0.82,0.87,0.85,0.79,1.15922914358172
0.82,0.86,0.92,0.79,1.22665400064373
0.74,0.91,0.9,0.78,1.13028095848146
0.77,0.83,0.87,0.78,1.18849370601313
