PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.46,0.39,0.19,0.18,1.25228762748318
0.44,0.39,0.22,0.19,1.23577669766527
0.41,0.34,0.18,0.3,1.03159321825549
0.46,0.32,0.19,0.29,1.19837307340907
0.42,0.34,0.17,0.18,1.25322232315788
0.35,0.28,0.23,0.26,1.16969930046374
0.36,0.42,0.18,0.27,0.857976046502555
0.44,0.27,0.27,0.2,1.63990066489915
0.37,0.28,0.22,0.27,1.1788342220603
0.36,0.33,0.21,0.26,1.05515664379592
0.42,0.3,0.25,0.1,1.77578448244297
0.41,0.3,0.13,0.3,1.03228952902131
0.35,0.3,0.18,0.23,1.10112594065029
0.42,0.37,0.23,0.34,1.01033892553711
0.38,0.42,0.2,0.18,1.04172629673891
0.42,0.34,0.22,0.3,1.10545650539693
0.4,0.32,0.19,0.22,1.20498495380652
0.28,0.38,0.16,0.29,0.717504480669113
0.36,0.35,0.25,0.24,1.1086048549979
0.43,0.31,0.17,0.18,1.35878136527718
0.49,0.37,0.21,0.25,1.2530343192807
0.37,0.36,0.16,0.25,0.96466202196808
0.42,0.27,0.15,0.16,1.48124213220326
0.44,0.24,0.25,0.23,1.61837559091731
0.43,0.37,0.24,0.29,1.11213367444981
0.49,0.38,0.17,0.29,1.11269949645814
0.44,0.28,0.17,0.27,1.25555454354762
0.49,0.37,0.21,0.26,1.23489208890074
0.5,0.33,0.2,0.22,1.41814206876649
0.46,0.26,0.19,0.26,1.41102279570395
0.47,0.37,0.22,0.28,1.17602044949073
0.52,0.33,0.16,0.21,1.4228131808505
0.42,0.35,0.17,0.22,1.15007143699781
0.4,0.36,0.19,0.23,1.09997795302728
0.49,0.29,0.14,0.14,1.64650787145302
0.42,0.33,0.18,0.21,1.23050985407825
0.42,0.39,0.2,0.19,1.16482811993165
0.49,0.26,0.15,0.22,1.52269308476155
0.38,0.34,0.18,0.2,1.13763534666968
0.43,0.26,0.19,0.28,1.2939600612011
0.35,0.42,0.15,0.23,0.847465188961137
0.42,0.36,0.19,0.26,1.09063659616521
