PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.78,0.74,0.68,0.72,1,1,1.14270189062716
0.8,0.62,0.7,0.83,1,1,1.19201834206947
0.83,0.74,0.7,0.71,1,1,1.22611005470494
0.78,0.66,0.76,0.69,1,1,1.33473437327317
0.79,0.72,0.69,0.77,1,1,1.13313494798755
0.79,0.77,0.7,0.75,1,1,1.11331669265685
0.82,0.76,0.69,0.71,1,1,1.18589761032361
0.77,0.65,0.68,0.75,1,1,1.19273733704195
0.75,0.7,0.74,0.77,1,1,1.14875916120059
0.81,0.75,0.71,0.7,1,1,1.21173423387798
0.79,0.76,0.71,0.69,0.98,1,1.19504431675015
0.78,0.72,0.69,0.72,1,0.98,1.16510576871689
0.77,0.69,0.69,0.77,1,1,1.13971882582115
0.72,0.71,0.69,0.74,1,1,1.09273932473843
0.8,0.74,0.75,0.69,1,1,1.25548291942003
0.81,0.73,0.66,0.72,1,0.98,1.16407541005279
0.82,0.67,0.68,0.69,1,0.98,1.29196670450633
0.79,0.72,0.72,0.68,1,1,1.25141979703488
0.79,0.75,0.64,0.76,1,0.98,1.06966218649883
0.76,0.67,0.67,0.76,0.98,0.96,1.13567275313046
0.79,0.7,0.76,0.69,1,1,1.29807010309966
0.73,0.8,0.74,0.68,0.98,1,1.12281400067428
0.77,0.69,0.79,0.7,1,1,1.30053222251138
0.82,0.76,0.72,0.73,1,1,1.19031748672966
0.81,0.68,0.72,0.73,0.98,0.98,1.26340687450952
0.77,0.72,0.74,0.76,1,1,1.16124033039571
0.75,0.71,0.71,0.76,1,0.98,1.11856095183575
0.76,0.73,0.76,0.71,1,0.98,1.20098749544602
0.84,0.78,0.73,0.76,1,0.98,1.16597904561477
0.77,0.77,0.68,0.77,1,1,1.05887257996697
0.78,0.74,0.77,0.72,0.98,1,1.22324016108595
0.85,0.64,0.73,0.71,0.98,0.98,1.39328182622478
0.77,0.82,0.79,0.75,1,0.98,1.11217910080103
0.74,0.72,0.74,0.73,1,1,1.15724349813366
0.82,0.75,0.73,0.63,0.98,1,1.32604720345896
0.82,0.7,0.69,0.77,1,1,1.18589945426053
0.73,0.76,0.69,0.78,1,0.98,1.01966087516276
0.74,0.76,0.68,0.7,1,1,1.09763007856177
0.8,0.8,0.75,0.7,1,0.98,1.17699131958591
