Power,combination
0.65,0.05_0.01_1.2_0.3_0.5_100_100_50_0
0.56,0.05_0.01_1.2_0.3_0.5_100_100_50_0.2
0.465,0.05_0.01_1.2_0.3_0.5_100_100_50_0.4
0.926,0.05_0.01_1.2_0.3_0.5_200_200_100_0
0.86,0.05_0.01_1.2_0.3_0.5_200_200_100_0.2
0.794,0.05_0.01_1.2_0.3_0.5_200_200_100_0.4
0.982,0.05_0.01_1.2_0.3_0.5_300_300_150_0
0.958,0.05_0.01_1.2_0.3_0.5_300_300_150_0.2
0.936,0.05_0.01_1.2_0.3_0.5_300_300_150_0.4
0.215,0.05_0.01_1.2_0.4_0.5_100_100_50_0
0.185,0.05_0.01_1.2_0.4_0.5_100_100_50_0.2
0.156,0.05_0.01_1.2_0.4_0.5_100_100_50_0.4
0.423,0.05_0.01_1.2_0.4_0.5_200_200_100_0
0.318,0.05_0.01_1.2_0.4_0.5_200_200_100_0.2
0.273,0.05_0.01_1.2_0.4_0.5_200_200_100_0.4
0.556,0.05_0.01_1.2_0.4_0.5_300_300_150_0
0.446,0.05_0.01_1.2_0.4_0.5_300_300_150_0.2
0.351,0.05_0.01_1.2_0.4_0.5_300_300_150_0.4
0.0610000000000001,0.05_0.01_1.2_0.5_0.5_100_100_50_0
0.044,0.05_0.01_1.2_0.5_0.5_100_100_50_0.2
0.042,0.05_0.01_1.2_0.5_0.5_100_100_50_0.4
0.0510000000000001,0.05_0.01_1.2_0.5_0.5_200_200_100_0
0.05,0.05_0.01_1.2_0.5_0.5_200_200_100_0.2
0.037,0.05_0.01_1.2_0.5_0.5_200_200_100_0.4
0.036,0.05_0.01_1.2_0.5_0.5_300_300_150_0
0.035,0.05_0.01_1.2_0.5_0.5_300_300_150_0.2
0.041,0.05_0.01_1.2_0.5_0.5_300_300_150_0.4
0.219,0.05_0.01_1.2_0.6_0.5_100_100_50_0
0.158,0.05_0.01_1.2_0.6_0.5_100_100_50_0.2
0.135,0.05_0.01_1.2_0.6_0.5_100_100_50_0.4
0.433,0.05_0.01_1.2_0.6_0.5_200_200_100_0
0.272,0.05_0.01_1.2_0.6_0.5_200_200_100_0.2
0.222,0.05_0.01_1.2_0.6_0.5_200_200_100_0.4
0.563,0.05_0.01_1.2_0.6_0.5_300_300_150_0
0.43,0.05_0.01_1.2_0.6_0.5_300_300_150_0.2
0.291,0.05_0.01_1.2_0.6_0.5_300_300_150_0.4
0.79,0.05_0.01_1.2_0.7_0.5_100_100_50_0
0.496,0.05_0.01_1.2_0.7_0.5_100_100_50_0.2
0.365,0.05_0.01_1.2_0.7_0.5_100_100_50_0.4
0.977,0.05_0.01_1.2_0.7_0.5_200_200_100_0
0.811,0.05_0.01_1.2_0.7_0.5_200_200_100_0.2
0.658,0.05_0.01_1.2_0.7_0.5_200_200_100_0.4
0.997,0.05_0.01_1.2_0.7_0.5_300_300_150_0
0.943,0.05_0.01_1.2_0.7_0.5_300_300_150_0.2
0.825,0.05_0.01_1.2_0.7_0.5_300_300_150_0.4
0.752,0.05_0.01_2_0.3_0.5_100_100_50_0
0.649,0.05_0.01_2_0.3_0.5_100_100_50_0.2
0.582,0.05_0.01_2_0.3_0.5_100_100_50_0.4
0.964,0.05_0.01_2_0.3_0.5_200_200_100_0
0.916,0.05_0.01_2_0.3_0.5_200_200_100_0.2
0.875,0.05_0.01_2_0.3_0.5_200_200_100_0.4
0.997,0.05_0.01_2_0.3_0.5_300_300_150_0
0.987,0.05_0.01_2_0.3_0.5_300_300_150_0.2
0.971,0.05_0.01_2_0.3_0.5_300_300_150_0.4
0.235,0.05_0.01_2_0.4_0.5_100_100_50_0
0.179,0.05_0.01_2_0.4_0.5_100_100_50_0.2
0.179,0.05_0.01_2_0.4_0.5_100_100_50_0.4
0.473,0.05_0.01_2_0.4_0.5_200_200_100_0
0.363,0.05_0.01_2_0.4_0.5_200_200_100_0.2
0.337,0.05_0.01_2_0.4_0.5_200_200_100_0.4
0.626,0.05_0.01_2_0.4_0.5_300_300_150_0
0.49,0.05_0.01_2_0.4_0.5_300_300_150_0.2
0.432,0.05_0.01_2_0.4_0.5_300_300_150_0.4
0.05,0.05_0.01_2_0.5_0.5_100_100_50_0
0.048,0.05_0.01_2_0.5_0.5_100_100_50_0.2
0.0470000000000001,0.05_0.01_2_0.5_0.5_100_100_50_0.4
0.04,0.05_0.01_2_0.5_0.5_200_200_100_0
0.0600000000000001,0.05_0.01_2_0.5_0.5_200_200_100_0.2
0.044,0.05_0.01_2_0.5_0.5_200_200_100_0.4
0.053,0.05_0.01_2_0.5_0.5_300_300_150_0
0.042,0.05_0.01_2_0.5_0.5_300_300_150_0.2
0.0510000000000001,0.05_0.01_2_0.5_0.5_300_300_150_0.4
0.258,0.05_0.01_2_0.6_0.5_100_100_50_0
0.196,0.05_0.01_2_0.6_0.5_100_100_50_0.2
0.147,0.05_0.01_2_0.6_0.5_100_100_50_0.4
0.5,0.05_0.01_2_0.6_0.5_200_200_100_0
0.339,0.05_0.01_2_0.6_0.5_200_200_100_0.2
0.271,0.05_0.01_2_0.6_0.5_200_200_100_0.4
0.66,0.05_0.01_2_0.6_0.5_300_300_150_0
0.521,0.05_0.01_2_0.6_0.5_300_300_150_0.2
0.382,0.05_0.01_2_0.6_0.5_300_300_150_0.4
0.856,0.05_0.01_2_0.7_0.5_100_100_50_0
0.559,0.05_0.01_2_0.7_0.5_100_100_50_0.2
0.402,0.05_0.01_2_0.7_0.5_100_100_50_0.4
0.983,0.05_0.01_2_0.7_0.5_200_200_100_0
0.866,0.05_0.01_2_0.7_0.5_200_200_100_0.2
0.703,0.05_0.01_2_0.7_0.5_200_200_100_0.4
1,0.05_0.01_2_0.7_0.5_300_300_150_0
0.96,0.05_0.01_2_0.7_0.5_300_300_150_0.2
0.866,0.05_0.01_2_0.7_0.5_300_300_150_0.4
1,0.05_0.05_1.2_0.3_0.5_100_100_50_0
0.999,0.05_0.05_1.2_0.3_0.5_100_100_50_0.2
0.995,0.05_0.05_1.2_0.3_0.5_100_100_50_0.4
1,0.05_0.05_1.2_0.3_0.5_200_200_100_0
1,0.05_0.05_1.2_0.3_0.5_200_200_100_0.2
1,0.05_0.05_1.2_0.3_0.5_200_200_100_0.4
1,0.05_0.05_1.2_0.3_0.5_300_300_150_0
1,0.05_0.05_1.2_0.3_0.5_300_300_150_0.2
1,0.05_0.05_1.2_0.3_0.5_300_300_150_0.4
0.776,0.05_0.05_1.2_0.4_0.5_100_100_50_0
0.627,0.05_0.05_1.2_0.4_0.5_100_100_50_0.2
0.566,0.05_0.05_1.2_0.4_0.5_100_100_50_0.4
0.966,0.05_0.05_1.2_0.4_0.5_200_200_100_0
0.907,0.05_0.05_1.2_0.4_0.5_200_200_100_0.2
0.829,0.05_0.05_1.2_0.4_0.5_200_200_100_0.4
0.999,0.05_0.05_1.2_0.4_0.5_300_300_150_0
0.988,0.05_0.05_1.2_0.4_0.5_300_300_150_0.2
0.953,0.05_0.05_1.2_0.4_0.5_300_300_150_0.4
0.0550000000000001,0.05_0.05_1.2_0.5_0.5_100_100_50_0
0.043,0.05_0.05_1.2_0.5_0.5_100_100_50_0.2
0.05,0.05_0.05_1.2_0.5_0.5_100_100_50_0.4
0.043,0.05_0.05_1.2_0.5_0.5_200_200_100_0
0.05,0.05_0.05_1.2_0.5_0.5_200_200_100_0.2
0.045,0.05_0.05_1.2_0.5_0.5_200_200_100_0.4
0.0520000000000001,0.05_0.05_1.2_0.5_0.5_300_300_150_0
0.05,0.05_0.05_1.2_0.5_0.5_300_300_150_0.2
0.0470000000000001,0.05_0.05_1.2_0.5_0.5_300_300_150_0.4
0.831,0.05_0.05_1.2_0.6_0.5_100_100_50_0
