PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.96,0.87,0.92,0.96,1,1,1.83198484715675
0.93,0.82,0.96,0.88,1,1,2.06755692391467
0.96,0.91,0.93,0.93,1,1,1.85445989131901
0.92,0.77,0.93,0.91,1,1,2.00159500427103
0.93,0.82,0.98,0.92,1,1,2.02137736023079
0.97,0.81,0.94,0.93,1,1,2.0094131103991
0.96,0.88,0.96,0.91,1,1,1.97703780154473
0.95,0.88,0.96,0.91,1,1,1.96110228986855
0.94,0.82,0.98,0.82,1,1,2.26093495181976
0.95,0.85,0.94,0.87,1,1,2.04403965680822
0.94,0.85,0.95,0.91,1,1,1.9654282333204
0.95,0.89,0.96,0.92,1,1,1.93032407368645
0.93,0.85,0.96,0.88,1,1,2.02614961028999
0.91,0.86,0.94,0.91,1,1,1.88691282376471
0.95,0.83,0.95,0.88,1,0.98,2.05031392746981
0.94,0.8,0.94,0.89,1,0.98,2.03570280648927
0.94,0.87,1,0.87,1,1,2.10829768149787
0.99,0.84,0.96,0.88,1,1,2.14085774585397
0.92,0.87,0.96,0.85,1,1,2.04386941069069
0.98,0.94,0.96,0.89,1,1,1.97152473929493
0.95,0.85,0.95,0.92,1,1,1.96249100447071
0.91,0.89,0.96,0.9,1,0.98,1.88715831722556
0.96,0.84,0.94,0.9,1,1,2.01308827297323
0.92,0.85,0.99,0.91,1,1,2.00314719738142
0.94,0.77,0.96,0.91,1,1,2.09139813464982
0.96,0.78,0.93,0.88,1,1,2.12123533211796
1,0.84,0.96,0.87,1,1,2.1798041372493
0.95,0.75,0.96,0.88,1,1,2.20695172047615
0.91,0.85,0.89,0.93,1,1,1.77664607064264
0.93,0.82,0.99,0.89,1,1,2.10132102144554
0.92,0.87,0.98,0.95,1,1,1.88734302904152
0.92,0.79,0.92,0.91,1,1,1.95634267827702
0.92,0.85,0.93,0.89,1,1,1.9356736559517
0.9,0.91,0.95,0.88,1,0.98,1.8661807323643
0.93,0.87,0.93,0.91,1,1,1.88958921043185
0.96,0.81,0.95,0.88,1,1,2.11474495986802
0.92,0.85,0.93,0.88,1,0.98,1.93758842141981
0.92,0.89,0.92,0.9,1,1,1.85040515531191
0.93,0.82,0.94,0.91,1,1,1.96992570302671
0.99,0.83,0.96,0.89,1,1,2.13356744518717
0.91,0.82,0.93,0.93,1,1,1.88138200281853
0.92,0.77,0.98,0.89,1,1,2.13824149212011
0.97,0.87,0.96,0.92,1,1,1.98655319399091
0.91,0.83,0.96,0.89,1,1,1.99923815055221
0.92,0.84,0.94,0.92,1,1,1.90909551873475
0.94,0.87,0.91,0.9,1,1,1.88920090612418
0.96,0.87,0.98,0.89,1,1,2.06417732826271
0.96,0.96,0.94,0.9,1,0.98,1.85027244012151
0.96,0.81,0.89,0.92,1,1,1.92366257018036
0.97,0.82,0.93,0.92,1,1,1.99837426754478
0.94,0.88,0.97,0.92,1,1,1.94374744429116
0.96,0.79,0.96,0.86,1,1,2.20934740769798
0.96,0.78,0.96,0.88,1,1,2.17814252851732
0.95,0.86,0.96,0.85,1,1,2.10926081117182
0.96,0.82,0.94,0.91,1,1,2.01962779586432
0.96,0.84,0.95,0.89,1,1,2.05131270299531
0.98,0.83,0.93,0.9,1,1,2.04172219865871
0.96,0.84,0.95,0.9,1,1,2.03093068245659
0.95,0.78,0.93,0.93,1,1,1.99814200075246
