Power,combination
0.982,0.05_0.01_1.2_0.15_100_100_50
1,0.05_0.01_1.2_0.15_200_200_100
1,0.05_0.01_1.2_0.15_300_300_150
0.526,0.05_0.01_1.2_0.3_100_100_50
0.856,0.05_0.01_1.2_0.3_200_200_100
0.988,0.05_0.01_1.2_0.3_300_300_150
0.152,0.05_0.01_1.2_0.4_100_100_50
0.273,0.05_0.01_1.2_0.4_200_200_100
0.402,0.05_0.01_1.2_0.4_300_300_150
0.032,0.05_0.01_1.2_0.5_100_100_50
0.028,0.05_0.01_1.2_0.5_200_200_100
0.00700000000000001,0.05_0.01_1.2_0.5_300_300_150
0.112,0.05_0.01_1.2_0.6_100_100_50
0.175,0.05_0.01_1.2_0.6_200_200_100
0.205,0.05_0.01_1.2_0.6_300_300_150
0.32,0.05_0.01_1.2_0.7_100_100_50
0.592,0.05_0.01_1.2_0.7_200_200_100
0.811,0.05_0.01_1.2_0.7_300_300_150
0.74,0.05_0.01_1.2_0.85_100_100_50
0.967,0.05_0.01_1.2_0.85_200_200_100
1,0.05_0.01_1.2_0.85_300_300_150
0.993,0.05_0.01_2_0.15_100_100_50
1,0.05_0.01_2_0.15_200_200_100
1,0.05_0.01_2_0.15_300_300_150
0.575,0.05_0.01_2_0.3_100_100_50
0.904,0.05_0.01_2_0.3_200_200_100
0.995,0.05_0.01_2_0.3_300_300_150
0.184,0.05_0.01_2_0.4_100_100_50
0.338,0.05_0.01_2_0.4_200_200_100
0.491,0.05_0.01_2_0.4_300_300_150
0.038,0.05_0.01_2_0.5_100_100_50
0.034,0.05_0.01_2_0.5_200_200_100
0.021,0.05_0.01_2_0.5_300_300_150
0.125,0.05_0.01_2_0.6_100_100_50
0.202,0.05_0.01_2_0.6_200_200_100
0.3,0.05_0.01_2_0.6_300_300_150
0.389,0.05_0.01_2_0.7_100_100_50
0.666,0.05_0.01_2_0.7_200_200_100
0.853,0.05_0.01_2_0.7_300_300_150
0.766,0.05_0.01_2_0.85_100_100_50
0.973,0.05_0.01_2_0.85_200_200_100
0.998,0.05_0.01_2_0.85_300_300_150
1,0.05_0.1_1.2_0.15_100_100_50
1,0.05_0.1_1.2_0.15_200_200_100
1,0.05_0.1_1.2_0.15_300_300_150
1,0.05_0.1_1.2_0.3_100_100_50
1,0.05_0.1_1.2_0.3_200_200_100
1,0.05_0.1_1.2_0.3_300_300_150
0.871,0.05_0.1_1.2_0.4_100_100_50
0.993,0.05_0.1_1.2_0.4_200_200_100
0.999,0.05_0.1_1.2_0.4_300_300_150
0.05,0.05_0.1_1.2_0.5_100_100_50
0.0470000000000001,0.05_0.1_1.2_0.5_200_200_100
0.037,0.05_0.1_1.2_0.5_300_300_150
0.786,0.05_0.1_1.2_0.6_100_100_50
0.969,0.05_0.1_1.2_0.6_200_200_100
0.999,0.05_0.1_1.2_0.6_300_300_150
1,0.05_0.1_1.2_0.7_100_100_50
1,0.05_0.1_1.2_0.7_200_200_100
1,0.05_0.1_1.2_0.7_300_300_150
1,0.05_0.1_1.2_0.85_100_100_50
1,0.05_0.1_1.2_0.85_200_200_100
1,0.05_0.1_1.2_0.85_300_300_150
1,0.05_0.1_2_0.15_100_100_50
1,0.05_0.1_2_0.15_200_200_100
1,0.05_0.1_2_0.15_300_300_150
1,0.05_0.1_2_0.3_100_100_50
1,0.05_0.1_2_0.3_200_200_100
1,0.05_0.1_2_0.3_300_300_150
0.92,0.05_0.1_2_0.4_100_100_50
0.999,0.05_0.1_2_0.4_200_200_100
1,0.05_0.1_2_0.4_300_300_150
0.0570000000000001,0.05_0.1_2_0.5_100_100_50
0.042,0.05_0.1_2_0.5_200_200_100
0.0560000000000001,0.05_0.1_2_0.5_300_300_150
0.86,0.05_0.1_2_0.6_100_100_50
0.984,0.05_0.1_2_0.6_200_200_100
0.999,0.05_0.1_2_0.6_300_300_150
0.999,0.05_0.1_2_0.7_100_100_50
1,0.05_0.1_2_0.7_200_200_100
1,0.05_0.1_2_0.7_300_300_150
1,0.05_0.1_2_0.85_100_100_50
1,0.05_0.1_2_0.85_200_200_100
1,0.05_0.1_2_0.85_300_300_150
0.96,0.2_0.01_1.2_0.15_100_100_50
1,0.2_0.01_1.2_0.15_200_200_100
1,0.2_0.01_1.2_0.15_300_300_150
0.499,0.2_0.01_1.2_0.3_100_100_50
0.8,0.2_0.01_1.2_0.3_200_200_100
0.945,0.2_0.01_1.2_0.3_300_300_150
0.165,0.2_0.01_1.2_0.4_100_100_50
0.27,0.2_0.01_1.2_0.4_200_200_100
0.368,0.2_0.01_1.2_0.4_300_300_150
0.048,0.2_0.01_1.2_0.5_100_100_50
0.045,0.2_0.01_1.2_0.5_200_200_100
0.037,0.2_0.01_1.2_0.5_300_300_150
0.113,0.2_0.01_1.2_0.6_100_100_50
0.206,0.2_0.01_1.2_0.6_200_200_100
0.318,0.2_0.01_1.2_0.6_300_300_150
0.349,0.2_0.01_1.2_0.7_100_100_50
0.616,0.2_0.01_1.2_0.7_200_200_100
0.808,0.2_0.01_1.2_0.7_300_300_150
0.722,0.2_0.01_1.2_0.85_100_100_50
0.954,0.2_0.01_1.2_0.85_200_200_100
0.994,0.2_0.01_1.2_0.85_300_300_150
0.987,0.2_0.01_2_0.15_100_100_50
1,0.2_0.01_2_0.15_200_200_100
1,0.2_0.01_2_0.15_300_300_150
0.595,0.2_0.01_2_0.3_100_100_50
0.878,0.2_0.01_2_0.3_200_200_100
0.979,0.2_0.01_2_0.3_300_300_150
0.162,0.2_0.01_2_0.4_100_100_50
0.313,0.2_0.01_2_0.4_200_200_100
0.466,0.2_0.01_2_0.4_300_300_150
0.0510000000000001,0.2_0.01_2_0.5_100_100_50
0.053,0.2_0.01_2_0.5_200_200_100
0.035,0.2_0.01_2_0.5_300_300_150
0.141,0.2_0.01_2_0.6_100_100_50
0.265,0.2_0.01_2_0.6_200_200_100
0.345,0.2_0.01_2_0.6_300_300_150
0.404,0.2_0.01_2_0.7_100_100_50
0.655,0.2_0.01_2_0.7_200_200_100
0.86,0.2_0.01_2_0.7_300_300_150
0.761,0.2_0.01_2_0.85_100_100_50
0.986,0.2_0.01_2_0.85_200_200_100
0.997,0.2_0.01_2_0.85_300_300_150
1,0.2_0.1_1.2_0.15_100_100_50
1,0.2_0.1_1.2_0.15_200_200_100
1,0.2_0.1_1.2_0.15_300_300_150
1,0.2_0.1_1.2_0.3_100_100_50
1,0.2_0.1_1.2_0.3_200_200_100
1,0.2_0.1_1.2_0.3_300_300_150
0.856,0.2_0.1_1.2_0.4_100_100_50
0.992,0.2_0.1_1.2_0.4_200_200_100
0.999,0.2_0.1_1.2_0.4_300_300_150
0.065,0.2_0.1_1.2_0.5_100_100_50
0.0580000000000001,0.2_0.1_1.2_0.5_200_200_100
0.0600000000000001,0.2_0.1_1.2_0.5_300_300_150
0.768,0.2_0.1_1.2_0.6_100_100_50
0.977,0.2_0.1_1.2_0.6_200_200_100
0.999,0.2_0.1_1.2_0.6_300_300_150
0.998,0.2_0.1_1.2_0.7_100_100_50
1,0.2_0.1_1.2_0.7_200_200_100
1,0.2_0.1_1.2_0.7_300_300_150
1,0.2_0.1_1.2_0.85_100_100_50
1,0.2_0.1_1.2_0.85_200_200_100
1,0.2_0.1_1.2_0.85_300_300_150
1,0.2_0.1_2_0.15_100_100_50
1,0.2_0.1_2_0.15_200_200_100
1,0.2_0.1_2_0.15_300_300_150
1,0.2_0.1_2_0.3_100_100_50
1,0.2_0.1_2_0.3_200_200_100
1,0.2_0.1_2_0.3_300_300_150
0.921,0.2_0.1_2_0.4_100_100_50
0.999,0.2_0.1_2_0.4_200_200_100
1,0.2_0.1_2_0.4_300_300_150
0.0590000000000001,0.2_0.1_2_0.5_100_100_50
0.0520000000000001,0.2_0.1_2_0.5_200_200_100
0.0560000000000001,0.2_0.1_2_0.5_300_300_150
0.827,0.2_0.1_2_0.6_100_100_50
0.985,0.2_0.1_2_0.6_200_200_100
1,0.2_0.1_2_0.6_300_300_150
0.997,0.2_0.1_2_0.7_100_100_50
1,0.2_0.1_2_0.7_200_200_100
1,0.2_0.1_2_0.7_300_300_150
1,0.2_0.1_2_0.85_100_100_50
1,0.2_0.1_2_0.85_200_200_100
1,0.2_0.1_2_0.85_300_300_150
