Power,combination
0.571,0.1_0.01_1.2_0.3_0.5_100_100_500.2
0.498,0.1_0.01_1.2_0.3_0.5_100_100_500.4
0.969,0.1_0.01_1.2_0.3_0.5_300_300_1500.2
0.928,0.1_0.01_1.2_0.3_0.5_300_300_1500.4
0.197,0.1_0.01_1.2_0.4_0.5_100_100_500.2
0.154,0.1_0.01_1.2_0.4_0.5_100_100_500.4
0.456,0.1_0.01_1.2_0.4_0.5_300_300_1500.2
0.345,0.1_0.01_1.2_0.4_0.5_300_300_1500.4
0.0570000000000001,0.1_0.01_1.2_0.5_0.5_100_100_500.2
0.0659999999999999,0.1_0.01_1.2_0.5_0.5_100_100_500.4
0.037,0.1_0.01_1.2_0.5_0.5_300_300_1500.2
0.04,0.1_0.01_1.2_0.5_0.5_300_300_1500.4
0.155,0.1_0.01_1.2_0.6_0.5_100_100_500.2
0.129,0.1_0.01_1.2_0.6_0.5_100_100_500.4
0.407,0.1_0.01_1.2_0.6_0.5_300_300_1500.2
0.307,0.1_0.01_1.2_0.6_0.5_300_300_1500.4
0.535,0.1_0.01_1.2_0.7_0.5_100_100_500.2
0.362,0.1_0.01_1.2_0.7_0.5_100_100_500.4
0.949,0.1_0.01_1.2_0.7_0.5_300_300_1500.2
0.781,0.1_0.01_1.2_0.7_0.5_300_300_1500.4
0.656,0.1_0.01_2_0.3_0.5_100_100_500.2
0.59,0.1_0.01_2_0.3_0.5_100_100_500.4
0.992,0.1_0.01_2_0.3_0.5_300_300_1500.2
0.971,0.1_0.01_2_0.3_0.5_300_300_1500.4
0.207,0.1_0.01_2_0.4_0.5_100_100_500.2
0.185,0.1_0.01_2_0.4_0.5_100_100_500.4
0.53,0.1_0.01_2_0.4_0.5_300_300_1500.2
0.428,0.1_0.01_2_0.4_0.5_300_300_1500.4
0.0629999999999999,0.1_0.01_2_0.5_0.5_100_100_500.2
0.0540000000000001,0.1_0.01_2_0.5_0.5_100_100_500.4
0.045,0.1_0.01_2_0.5_0.5_300_300_1500.2
0.048,0.1_0.01_2_0.5_0.5_300_300_1500.4
0.208,0.1_0.01_2_0.6_0.5_100_100_500.2
0.146,0.1_0.01_2_0.6_0.5_100_100_500.4
0.512,0.1_0.01_2_0.6_0.5_300_300_1500.2
0.347,0.1_0.01_2_0.6_0.5_300_300_1500.4
0.602,0.1_0.01_2_0.7_0.5_100_100_500.2
0.431,0.1_0.01_2_0.7_0.5_100_100_500.4
0.967,0.1_0.01_2_0.7_0.5_300_300_1500.2
0.867,0.1_0.01_2_0.7_0.5_300_300_1500.4
1,0.1_0.1_1.2_0.3_0.5_100_100_500.2
1,0.1_0.1_1.2_0.3_0.5_100_100_500.4
1,0.1_0.1_1.2_0.3_0.5_300_300_1500.2
1,0.1_0.1_1.2_0.3_0.5_300_300_1500.4
0.937,0.1_0.1_1.2_0.4_0.5_100_100_500.2
0.835,0.1_0.1_1.2_0.4_0.5_100_100_500.4
1,0.1_0.1_1.2_0.4_0.5_300_300_1500.2
0.999,0.1_0.1_1.2_0.4_0.5_300_300_1500.4
0.0570000000000001,0.1_0.1_1.2_0.5_0.5_100_100_500.2
0.07,0.1_0.1_1.2_0.5_0.5_100_100_500.4
0.044,0.1_0.1_1.2_0.5_0.5_300_300_1500.2
0.045,0.1_0.1_1.2_0.5_0.5_300_300_1500.4
0.926,0.1_0.1_1.2_0.6_0.5_100_100_500.2
0.782,0.1_0.1_1.2_0.6_0.5_100_100_500.4
1,0.1_0.1_1.2_0.6_0.5_300_300_1500.2
0.994,0.1_0.1_1.2_0.6_0.5_300_300_1500.4
