prop_exp,prev_ne,risk,SE_ratio,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.2,0.01,1.2,1,0.064,300_300_150,0.7,0.5,0.4,0.2,0.4,0.5,0.4,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1,0.043,300_300_150,0.7,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.2,0.166,100_100_50,0.7,0.6,0.333333333333333,0.2,0.3,0.666666666666667,0.25,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.2,0.141,100_100_50,0.7,0.6,0.666666666666667,0.4,0.5,0.8,0.25,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.2,0.45,300_300_150,0.7,0.6,0.333333333333333,0.2,0.3,0.666666666666667,0.25,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.2,0.296,300_300_150,0.7,0.6,0.666666666666667,0.4,0.5,0.8,0.25,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.4,0.549,100_100_50,0.7,0.7,0.285714285714286,0.2,0.2,1,0,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.4,0.354,100_100_50,0.7,0.7,0.571428571428572,0.4,0.4,1,0,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.4,0.963,300_300_150,0.7,0.7,0.285714285714286,0.2,0.2,1,0,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,1.2,1.4,0.808,300_300_150,0.7,0.7,0.571428571428572,0.4,0.4,1,0,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.6,0.679,100_100_50,0.7,0.3,0.666666666666667,0.2,0.6,0.333333333333333,0.571428571428571,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.6,0.606,100_100_50,0.7,0.3,1.33333333333333,0.4,0.8,0.5,0.571428571428572,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.6,0.989,300_300_150,0.7,0.3,0.666666666666667,0.2,0.6,0.333333333333333,0.571428571428571,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.6,0.978,300_300_150,0.7,0.3,1.33333333333333,0.4,0.8,0.5,0.571428571428572,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.8,0.213,100_100_50,0.7,0.4,0.5,0.2,0.5,0.4,0.5,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.8,0.189,100_100_50,0.7,0.4,1,0.4,0.7,0.571428571428572,0.5,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.8,0.539,300_300_150,0.7,0.4,0.5,0.2,0.5,0.4,0.5,0.5,0.4,0.2,0.4,0.5,0.4,0.99,0.99,0.99,0.99
0.2,0.01,2,0.8,0.445,300_300_150,0.7,0.4,1,0.4,0.7,0.571428571428572,0.5,0.5,0.8,0.4,0.6,0.666666666666667,0.4,0.99,0.99,0.99,0.99
