PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.98,0.84,0.56,0.62,2.18036213171533
0.98,0.84,0.62,0.78,2.03145834683562
0.92,0.86,0.78,0.78,1.94749231703483
0.94,0.76,0.8,0.74,2.192480693518
0.96,0.92,0.66,0.82,1.86213810323862
0.96,0.78,0.64,0.72,2.16021827808845
0.94,0.88,0.74,0.78,1.94195921337895
0.94,0.9,0.72,0.88,1.82281558137029
0.94,0.78,0.82,0.82,2.07886697996858
0.96,0.86,0.56,0.82,1.9081161729159
0.92,0.88,0.82,0.84,1.87979079510402
0.96,0.92,0.68,0.74,1.93863538103389
0.92,0.84,0.74,0.74,2.00125264460629
0.96,0.82,0.8,0.72,2.15196076405051
0.96,0.84,0.76,0.68,2.14792482844684
0.92,0.84,0.64,0.82,1.89051272204595
0.92,0.9,0.68,0.74,1.89428857960144
0.98,0.88,0.72,0.76,2.02628844566016
0.84,0.76,0.76,0.82,1.89618163892658
0.98,0.88,0.74,0.74,2.05274342275493
1,0.74,0.76,0.76,2.31050426268059
0.94,0.92,0.78,0.78,1.90100202743883
0.94,0.82,0.72,0.8,2.00239185355808
0.92,0.84,0.78,0.74,2.0155062462954
0.92,0.94,0.8,0.84,1.79796077712023
0.94,0.82,0.8,0.8,2.03048507785771
0.96,0.86,0.74,0.84,1.95055916640484
0.92,0.88,0.8,0.66,2.0422548432325
0.94,0.74,0.74,0.8,2.1362325971963
0.94,0.82,0.8,0.68,2.15716759241417
0.94,0.74,0.78,0.8,2.15116571373558
0.94,0.78,0.72,0.76,2.10613575718213
0.94,0.76,0.64,0.86,2.00469091880922
0.86,0.82,0.6,0.76,1.84751991889033
0.9,0.82,0.72,0.78,1.94699948256567
0.94,0.84,0.74,0.88,1.90648023325865
0.98,0.86,0.8,0.8,2.04425552509382
0.94,0.78,0.7,0.76,2.0987485736837
0.94,0.9,0.66,0.86,1.81985000207945
0.98,0.8,0.66,0.76,2.12904569526835
0.94,0.92,0.74,0.76,1.90532568594733
0.98,0.88,0.76,0.76,2.03999314868187
0.92,0.84,0.76,0.8,1.95026950246542
0.94,0.86,0.7,0.72,2.01444205547941
0.92,0.88,0.64,0.76,1.88992370545739
0.94,0.92,0.7,0.82,1.84075614261447
0.88,0.82,0.78,0.88,1.83975996483561
0.94,0.94,0.64,0.9,1.73490576201176
0.92,0.86,0.66,0.74,1.94347678196822
0.96,0.9,0.6,0.7,1.9768649705381
0.94,0.9,0.6,0.74,1.90315390759544
0.96,0.92,0.6,0.76,1.89400550254263
0.96,0.84,0.72,0.62,2.20082275649139
1,0.9,0.68,0.84,1.94637141988366
0.96,0.92,0.64,0.8,1.87256699469091
0.94,0.92,0.76,0.76,1.91198517858658
0.96,0.92,0.74,0.74,1.95880101025819
0.9,0.86,0.66,0.74,1.90626413695892
0.96,0.8,0.7,0.9,1.96557226771549
0.98,0.88,0.62,0.84,1.91873502604361
0.94,0.82,0.62,0.88,1.89315657707817
0.96,0.78,0.76,0.76,2.16006325505641
0.96,0.9,0.66,0.72,1.97855179034854
0.94,0.92,0.6,0.8,1.82483766818001
0.98,0.78,0.66,0.74,2.18477230983186
0.94,0.86,0.7,0.78,1.95644549956214
0.94,0.86,0.68,0.88,1.86029486268256
0.96,0.86,0.72,0.74,2.03896526394505
0.98,0.76,0.66,0.94,2.00760788897307
0.9,0.92,0.74,0.76,1.83473315580712
0.96,0.8,0.68,0.86,1.99657567497309
0.96,0.78,0.7,0.7,2.20603388098404
0.92,0.82,0.7,0.8,1.95814401908187
0.98,0.82,0.72,0.76,2.11830771603296
0.98,0.82,0.64,0.82,2.02888948384608
0.96,0.86,0.48,0.74,1.95471249611213
0.92,0.88,0.66,0.8,1.86122853964645
1,0.9,0.6,0.74,2.01157467094684
0.98,0.94,0.74,0.64,2.06170963632301
0.96,0.92,0.76,0.7,2.00305062456192
0.92,0.8,0.64,0.78,1.98598691047455
0.94,0.88,0.74,0.8,1.92376206550738
0.88,0.84,0.8,0.8,1.89075039568253
0.96,0.82,0.64,0.72,2.09348493529249
0.96,0.82,0.82,0.64,2.25098933969422
0.96,0.92,0.78,0.84,1.88400146995382
0.94,0.84,0.68,0.82,1.94055146008018
0.94,0.9,0.76,0.78,1.92119104869291
0.94,0.8,0.78,0.68,2.18414393083674
0.9,0.88,0.72,0.78,1.86322187283123
1,0.8,0.72,0.68,2.2819423929099
0.92,0.88,0.64,0.7,1.94566392261914
0.92,0.86,0.74,0.8,1.91533859803372
0.98,0.92,0.7,0.82,1.90943646675516
0.94,0.84,0.76,0.78,2.00629957314339
0.92,0.8,0.7,0.66,2.13620827714824
0.9,0.84,0.72,0.86,1.8463270031013
0.9,0.82,0.56,0.8,1.87175634815622
0.96,0.9,0.76,0.74,1.99384401495884
0.96,0.84,0.78,0.84,1.99212398881262
0.92,0.9,0.8,0.7,1.97269247853415
0.94,0.84,0.62,0.78,1.95738362875014
0.98,0.82,0.68,0.78,2.08318391915724
0.94,0.8,0.64,0.78,2.02415139066706
0.94,0.78,0.82,0.76,2.14307167467428
0.98,0.84,0.6,0.76,2.04437955777146
0.92,0.82,0.68,0.7,2.05151919023295
1,0.86,0.66,0.78,2.0521680929189
0.94,0.92,0.72,0.78,1.88120725897732
0.92,0.98,0.78,0.62,1.92718724348294
0.94,0.84,0.7,0.74,2.02477210842496
0.86,0.84,0.58,0.76,1.81291327563593
0.94,0.8,0.74,0.66,2.19214177016857
0.86,0.78,0.86,0.76,2.00123351816146
0.98,0.84,0.76,0.76,2.10083326903788
0.92,0.84,0.66,0.72,1.99253520308774
0.94,0.8,0.64,0.8,2.00404110178147
0.98,0.84,0.72,0.84,2.00774110940969
0.94,0.86,0.78,0.7,2.06319078514852
0.92,0.88,0.58,0.84,1.80058795952067
0.98,0.82,0.66,0.78,2.07609119144936
0.98,0.8,0.7,0.76,2.14359297667521
0.96,0.88,0.78,0.76,2.01052705547294
0.94,0.86,0.66,0.84,1.88830778820445
0.9,0.78,0.84,0.74,2.0937069360214
0.94,0.8,0.66,0.72,2.09440322403674
0.96,0.88,0.66,0.74,1.9884011368284
1,0.94,0.82,0.86,1.9216393943304
0.94,0.9,0.74,0.74,1.95088502889426
0.94,0.8,0.76,0.78,2.06735529472064
0.92,0.92,0.66,0.74,1.86065968866085
0.94,0.88,0.78,0.72,2.01264808288955
0.98,0.88,0.7,0.76,2.01943609414931
0.96,0.82,0.58,0.84,1.95223733455707
0.94,0.82,0.64,0.82,1.95516205051851
0.96,0.82,0.62,0.78,2.02431326303179
0.94,0.88,0.74,0.76,1.96050390773145
0.98,0.72,0.68,0.82,2.20482592984212
0.96,0.84,0.62,0.84,1.93780695274035
1,0.8,0.74,0.86,2.0907273871878
0.92,0.92,0.66,0.6,1.99123176720166
0.94,0.9,0.66,0.82,1.85317018551765
0.94,0.84,0.68,0.84,1.92218983214328
0.94,0.94,0.84,0.82,1.86063539516226
0.96,0.9,0.72,0.8,1.92531978259158
0.92,0.88,0.74,0.82,1.87059582889635
0.94,0.88,0.8,0.76,1.98106096226401
0.92,0.78,0.74,0.72,2.11797822622039
0.9,0.82,0.7,0.72,1.99918951981047
0.96,0.88,0.78,0.74,2.02991164956973
0.98,0.86,0.68,0.84,1.96595539034395
0.96,0.78,0.62,0.7,2.17554346685918
0.94,0.72,0.74,0.78,2.19367021645622
0.92,0.78,0.74,0.86,1.97282062678476
0.9,0.82,0.68,0.74,1.97179429611501
0.94,0.78,0.66,0.78,2.06273867975996
0.94,0.84,0.8,0.84,1.96292760919749
0.96,0.84,0.8,0.68,2.16261617122249
0.96,0.88,0.58,0.78,1.92363384370349
0.94,0.9,0.7,0.78,1.90111637794127
0.92,0.76,0.68,0.8,2.04203998312836
0.96,0.84,0.76,0.74,2.0839255764664
0.92,0.86,0.76,0.8,1.92215944435458
0.98,0.84,0.78,0.84,2.0281099979368
0.88,0.88,0.72,0.68,1.9179582114312
0.94,0.86,0.74,0.94,1.82974093501615
0.92,0.9,0.72,0.74,1.90792604282968
0.94,0.94,0.7,0.82,1.81589425294115
0.98,0.76,0.78,0.84,2.15158933833014
0.94,0.8,0.86,0.8,2.08246132261082
0.94,0.84,0.7,0.78,1.98533559697486
0.86,0.88,0.88,0.72,1.89947456582545
0.96,0.74,0.68,0.86,2.08822020792927
0.94,0.74,0.76,0.74,2.21277380290636
0.94,0.86,0.72,0.86,1.89075120532039
0.94,0.82,0.62,0.76,2.00655451068575
0.92,0.78,0.62,0.78,2.0093606986837
0.94,0.8,0.8,0.64,2.23903558973233
0.92,0.8,0.72,0.74,2.05605397564514
0.96,0.88,0.72,0.7,2.04866092040844
0.92,0.86,0.74,0.76,1.95245703572381
0.94,0.86,0.58,0.74,1.95260517103321
0.98,0.86,0.78,0.72,2.11796452694349
0.86,0.9,0.68,0.78,1.75255997967607
