PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.36,0.36,0.24,0.2,1.12654050267872
0.38,0.36,0.44,0.34,1.22686826787984
0.32,0.32,0.22,0.2,1.09498335061958
0.36,0.4,0.22,0.3,0.883575692637379
0.32,0.34,0.18,0.28,0.865753519681603
0.44,0.28,0.16,0.24,1.25983447571321
0.36,0.26,0.3,0.2,1.51219948163375
0.38,0.36,0.34,0.24,1.25441731718738
0.46,0.36,0.3,0.26,1.30201172403081
0.36,0.26,0.2,0.24,1.20808992646503
0.44,0.28,0.28,0.3,1.33947439041895
0.32,0.36,0.26,0.24,1.01461078412196
0.28,0.36,0.28,0.18,1.06832038917255
0.22,0.36,0.28,0.36,0.725955342950695
0.36,0.3,0.22,0.18,1.27828157006034
0.38,0.3,0.14,0.1,1.37499402134922
0.56,0.4,0.4,0.2,1.67169434825987
0.4,0.32,0.24,0.22,1.26077324753415
0.36,0.42,0.38,0.24,1.15755709726432
0.42,0.34,0.32,0.3,1.22946581214576
0.36,0.42,0.3,0.24,1.04282395311633
0.38,0.4,0.28,0.22,1.11434106318728
0.48,0.28,0.2,0.24,1.42138286637262
0.38,0.3,0.32,0.2,1.46723331614418
0.28,0.28,0.32,0.2,1.29635379141815
0.32,0.38,0.3,0.2,1.10612082308331
0.38,0.34,0.16,0.26,0.97375671272372
0.38,0.2,0.34,0.24,1.74853554756889
0.44,0.26,0.3,0.16,1.85741365407592
0.32,0.4,0.38,0.32,1.01082989408781
0.46,0.34,0.18,0.22,1.23210145180373
0.34,0.36,0.24,0.22,1.0524662114664
0.32,0.38,0.18,0.38,0.711451447790015
0.48,0.34,0.28,0.18,1.54234131547613
0.36,0.42,0.26,0.28,0.934189234845386
0.28,0.42,0.34,0.18,1.05054327671342
0.44,0.32,0.16,0.22,1.20335988185031
0.34,0.32,0.22,0.22,1.09988659739438
0.48,0.2,0.3,0.24,1.92241913496096
0.42,0.28,0.32,0.18,1.69081096106182
0.42,0.48,0.22,0.3,0.874420001091763
0.36,0.34,0.2,0.18,1.13860025849523
0.4,0.24,0.2,0.22,1.41214387408671
0.36,0.4,0.24,0.26,0.961098250336473
0.32,0.3,0.3,0.28,1.12918095888497
0.36,0.38,0.26,0.36,0.895250754051429
0.42,0.34,0.26,0.14,1.47957550591864
0.48,0.36,0.32,0.28,1.3301518292717
0.38,0.3,0.22,0.3,1.08020518374776
0.44,0.38,0.3,0.26,1.22353517010076
0.44,0.5,0.24,0.18,1.04540223256052
0.32,0.26,0.14,0.18,1.12553671081758
0.3,0.46,0.28,0.22,0.879979936759425
0.3,0.28,0.3,0.24,1.21161292994554
0.4,0.28,0.22,0.12,1.62827082950076
0.32,0.28,0.28,0.42,0.924457850884773
0.34,0.3,0.26,0.22,1.21833061679677
0.26,0.38,0.32,0.22,0.991928658423301
0.42,0.26,0.32,0.24,1.57639106350355
0.28,0.3,0.26,0.28,0.983879929845256
0.36,0.42,0.28,0.26,0.987055936195129
0.42,0.46,0.24,0.32,0.902211759978263
0.5,0.46,0.36,0.22,1.31903396530817
0.36,0.4,0.26,0.14,1.18606721279752
0.34,0.28,0.3,0.26,1.25492522984406
0.38,0.32,0.28,0.22,1.28947993037607
0.46,0.32,0.24,0.24,1.34110158681565
0.32,0.38,0.22,0.1,1.15588433377392
0.48,0.38,0.3,0.24,1.33210816938178
0.34,0.28,0.36,0.22,1.46176468483682
0.36,0.34,0.28,0.24,1.16268052829006
0.44,0.34,0.26,0.34,1.11109282378956
0.36,0.24,0.3,0.14,1.81250815060454
0.32,0.48,0.34,0.28,0.896957728636101
0.38,0.24,0.22,0.24,1.3502564796847
0.34,0.3,0.32,0.32,1.12999343305363
0.38,0.2,0.22,0.24,1.48322386086669
0.32,0.26,0.18,0.22,1.11939668220056
0.42,0.28,0.16,0.16,1.41620509192639
0.4,0.22,0.28,0.24,1.59005311253637
0.4,0.32,0.32,0.22,1.40191993248589
0.38,0.38,0.32,0.14,1.38378820759305
0.42,0.28,0.34,0.2,1.66626310042857
0.4,0.36,0.3,0.24,1.22860987131841
0.26,0.34,0.24,0.34,0.77925580629833
0.38,0.2,0.24,0.16,1.83853612450897
0.36,0.36,0.18,0.16,1.09604603625422
0.4,0.34,0.34,0.24,1.33936707188567
0.3,0.2,0.36,0.26,1.51865562205224
0.3,0.32,0.24,0.32,0.899600613746108
0.48,0.4,0.34,0.28,1.2751296694085
0.38,0.32,0.26,0.18,1.34499971717857
0.4,0.24,0.38,0.22,1.78894503809628
0.26,0.36,0.32,0.38,0.822200820333315
0.24,0.3,0.26,0.26,0.934746156682323
0.38,0.32,0.24,0.3,1.0738998094707
0.4,0.34,0.24,0.24,1.17494462416629
0.3,0.36,0.3,0.26,1.00977386081884
0.26,0.36,0.3,0.26,0.936714395015849
0.32,0.34,0.28,0.14,1.2871022190789
0.44,0.16,0.32,0.26,1.97251304317378
0.52,0.2,0.16,0.32,1.46921527753242
0.44,0.38,0.28,0.28,1.16071288542295
0.5,0.42,0.3,0.26,1.24683440309427
0.5,0.26,0.34,0.28,1.67434220450744
0.5,0.22,0.14,0.28,1.42977166820297
0.38,0.24,0.34,0.24,1.59178362441145
0.38,0.34,0.22,0.28,1.03775040970221
0.36,0.46,0.28,0.2,1.0050964447053
0.36,0.36,0.28,0.22,1.15671400015893
0.42,0.44,0.4,0.2,1.31858547850079
0.26,0.3,0.32,0.18,1.24144752625072
0.44,0.36,0.3,0.32,1.1627402994857
0.26,0.3,0.3,0.14,1.30022158784661
0.4,0.34,0.18,0.22,1.1112499722454
0.26,0.48,0.16,0.28,0.583890679434395
0.36,0.28,0.18,0.22,1.16253676128598
0.36,0.34,0.18,0.32,0.886681602235423
0.46,0.22,0.3,0.22,1.85707428543297
0.38,0.3,0.28,0.28,1.21422340871347
0.32,0.28,0.22,0.14,1.345417655295
0.44,0.36,0.22,0.24,1.17699497958047
0.44,0.36,0.2,0.1,1.45419241218927
0.28,0.42,0.34,0.26,0.938315524269794
0.38,0.28,0.32,0.22,1.47604702582413
0.4,0.38,0.32,0.18,1.33470173026888
0.38,0.34,0.2,0.16,1.22420864333335
0.36,0.38,0.1,0.22,0.831964517945981
0.32,0.34,0.32,0.28,1.08231907348049
