PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.58,0.36,0.44,0.32,1,1,2.07371860703949
0.46,0.32,0.36,0.44,0.96,0.92,1.35249339919939
0.6,0.36,0.38,0.28,0.96,0.96,2.1739471497424
0.62,0.46,0.36,0.34,1,0.8,1.59632637815748
0.54,0.38,0.28,0.34,1,1,1.5274345461762
0.58,0.46,0.36,0.26,0.96,0.92,1.76866742638888
0.54,0.2,0.36,0.38,0.92,0.92,2.20096556451252
0.46,0.3,0.48,0.34,0.92,0.92,1.94108539363517
0.44,0.38,0.46,0.4,1,1,1.43265401487448
0.6,0.4,0.32,0.3,0.92,0.96,1.84987789878968
0.54,0.34,0.48,0.36,1,0.96,1.94157508994275
0.54,0.46,0.42,0.3,1,1,1.66838027462894
0.56,0.26,0.44,0.26,1,0.96,2.82253626758875
0.64,0.38,0.44,0.22,1,0.96,2.61161308954389
0.5,0.32,0.38,0.36,0.96,0.96,1.72121816905052
0.58,0.34,0.38,0.26,0.92,0.88,2.26113313948365
0.6,0.38,0.44,0.32,0.96,0.88,2.01542015105573
0.56,0.3,0.28,0.26,1,0.96,2.15762219808433
0.7,0.32,0.28,0.4,1,1,1.96865258254047
0.64,0.32,0.48,0.4,0.96,1,2.18813085953344
0.56,0.3,0.3,0.26,0.96,1,2.26336667747449
0.56,0.22,0.38,0.4,1,0.92,2.08503460710754
0.64,0.2,0.28,0.42,0.96,0.92,2.15185438620501
0.56,0.34,0.44,0.26,0.96,0.96,2.36038019876324
0.48,0.4,0.38,0.56,0.96,1,1.10576340068499
0.74,0.36,0.36,0.36,0.92,1,2.26324724914968
0.56,0.32,0.44,0.24,0.96,0.96,2.58261446582614
0.46,0.34,0.4,0.32,0.92,1,1.74510925597345
0.64,0.28,0.36,0.4,0.96,1,2.11458767731214
0.6,0.32,0.38,0.3,0.92,0.96,2.28628387498702
0.64,0.24,0.44,0.34,1,0.84,2.629238473895
