PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.95,0.88,0.81,0.82,1,1,1.257661292741
0.91,0.89,0.82,0.83,1,1,1.19117650311702
0.9,0.85,0.81,0.87,1,1,1.17194551786124
0.92,0.86,0.86,0.86,1,1,1.22915778809699
0.89,0.86,0.8,0.85,1,0.98,1.15251981959268
0.92,0.85,0.79,0.85,1,1,1.20534394925947
0.88,0.82,0.8,0.82,1,1,1.22041001299548
0.93,0.81,0.78,0.84,1,1,1.26536213385339
0.84,0.9,0.82,0.81,1,1,1.10943914686207
0.91,0.82,0.81,0.86,1,1,1.22544238104171
0.88,0.88,0.82,0.86,1,1,1.13348420228044
0.92,0.82,0.8,0.89,1,1,1.2016029143898
0.85,0.83,0.79,0.87,1,1,1.11291283906727
0.88,0.86,0.84,0.89,1,1,1.13653925573752
0.93,0.84,0.84,0.81,1,1,1.305149303023
0.93,0.84,0.8,0.87,1,1,1.214695788713
0.92,0.86,0.83,0.81,1,1,1.26258285123617
0.94,0.81,0.76,0.8,1,1,1.31191132948193
0.88,0.87,0.84,0.83,1,1,1.184288752758
0.93,0.85,0.79,0.85,1,1,1.21854863196248
0.92,0.9,0.77,0.85,1,0.98,1.1352094664895
0.94,0.87,0.79,0.85,1,1,1.21139336544608
0.93,0.84,0.76,0.89,1,1,1.16999666536987
0.92,0.84,0.8,0.83,1,1,1.24303271754011
0.85,0.87,0.75,0.83,1,1,1.08749729166838
0.91,0.82,0.78,0.86,1,1,1.20605737571163
0.87,0.87,0.83,0.83,1,1,1.16473103736785
0.93,0.88,0.79,0.8,1,1,1.23937421078638
0.92,0.86,0.73,0.81,1,0.98,1.18697308893961
0.83,0.8,0.8,0.77,1,0.98,1.21518663385485
0.91,0.84,0.87,0.85,1,1,1.25349756093135
0.89,0.87,0.85,0.89,1,1,1.1460657557125
0.93,0.81,0.83,0.86,1,1,1.27613390687862
0.89,0.87,0.79,0.92,1,0.98,1.0752009990658
0.88,0.8,0.86,0.85,1,1,1.24949757395524
0.94,0.84,0.83,0.86,1,1,1.2571665052285
0.89,0.85,0.74,0.86,1,1,1.12451553953636
0.9,0.86,0.83,0.83,1,1,1.21455152505825
0.92,0.88,0.78,0.89,1,1,1.13238226330875
0.89,0.9,0.79,0.82,1,1,1.1464587330214
0.92,0.8,0.8,0.82,1,1,1.29902521829709
0.86,0.88,0.82,0.82,1,1,1.14517246342912
0.9,0.85,0.85,0.83,1,1,1.23785580462229
0.9,0.86,0.8,0.89,1,1,1.13749616875053
0.94,0.81,0.84,0.85,1,1,1.30746798509553
0.92,0.84,0.73,0.82,1,1,1.2078227355525
0.9,0.89,0.82,0.84,1,0.98,1.15884560575239
0.93,0.84,0.8,0.84,1,1,1.24583964960333
0.96,0.86,0.77,0.85,1,1,1.23507755078978
0.88,0.8,0.8,0.87,1,1,1.18885169848702
0.9,0.83,0.73,0.87,1,1,1.14081792234918
0.9,0.85,0.79,0.82,1,1,1.2094220905523
0.88,0.9,0.84,0.88,1,1,1.10969052640157
0.92,0.89,0.75,0.87,1,0.98,1.1142043809366
0.94,0.79,0.81,0.83,1,1,1.33414993871441
0.93,0.91,0.79,0.88,1,1,1.13287024742755
0.94,0.75,0.82,0.86,1,1,1.35315496085446
0.9,0.86,0.84,0.86,1,1,1.19068881971183
0.88,0.82,0.86,0.87,1,0.98,1.19679835930156
0.89,0.82,0.78,0.9,1,1,1.14021742175899
0.9,0.8,0.82,0.89,1,1,1.20815011280538
0.9,0.8,0.78,0.84,1,1,1.23484279073293
0.88,0.89,0.9,0.85,1,1,1.18265501591739
0.88,0.88,0.86,0.9,1,1,1.12159785094892
0.92,0.87,0.71,0.84,1,1,1.14489742055158
0.91,0.87,0.85,0.82,1,1,1.24068094166284
0.89,0.87,0.79,0.88,1,1,1.11872619860463
0.93,0.8,0.81,0.82,1,1,1.31999250909839
0.93,0.92,0.84,0.83,1,1,1.19989538755529
0.92,0.88,0.82,0.8,1,0.98,1.23456681866012
0.85,0.87,0.79,0.81,1,0.98,1.12215021510164
0.9,0.81,0.81,0.83,1,1,1.25491298309718
0.92,0.89,0.85,0.81,1,1,1.24345859238939
0.88,0.85,0.86,0.93,1,1,1.12160021468076
0.91,0.79,0.84,0.81,1,1,1.3361874150303
0.88,0.76,0.83,0.84,1,1,1.28600637115758
0.9,0.84,0.82,0.87,1,1,1.18801206198719
0.92,0.84,0.8,0.86,1,1,1.21169791969676
0.87,0.92,0.84,0.89,1,1,1.07199514116694
0.85,0.86,0.82,0.85,1,1,1.12253708773031
0.94,0.85,0.73,0.85,1,1,1.19363494259078
0.91,0.85,0.77,0.88,1,1,1.1504326606307
0.89,0.87,0.82,0.85,1,0.98,1.15546594818289
0.96,0.82,0.81,0.87,1,0.98,1.27065827327883
0.9,0.85,0.86,0.86,1,1,1.21321167269989
0.9,0.83,0.78,0.8,1,0.98,1.23462152051714
0.91,0.89,0.83,0.79,1,1,1.23835910793765
0.88,0.88,0.79,0.86,1,1,1.11504482548525
0.91,0.9,0.83,0.87,1,1,1.14991014695116
0.86,0.91,0.79,0.88,1,1,1.04693658636545
0.92,0.82,0.83,0.83,1,1,1.28473581979055
0.94,0.81,0.85,0.84,1,1,1.32556790924408
0.91,0.81,0.83,0.89,1,1,1.21755516587059
0.92,0.85,0.8,0.88,1,1,1.18190320950603
0.91,0.8,0.82,0.8,1,1,1.32231452985856
0.91,0.89,0.81,0.94,1,1,1.0861908968452
0.92,0.84,0.83,0.82,1,1,1.27356300794717
0.92,0.83,0.83,0.81,1,1,1.29610333216221
0.89,0.87,0.85,0.83,1,1,1.20384646814815
0.87,0.9,0.81,0.85,1,1,1.10557310290742
0.9,0.86,0.83,0.89,1,1,1.15578687748492
0.89,0.83,0.79,0.8,1,1,1.23858459582583
0.92,0.83,0.82,0.92,1,1,1.17503703549148
0.94,0.87,0.8,0.9,1,1,1.16932556257404
0.9,0.79,0.83,0.81,1,1,1.31483541353082
0.87,0.89,0.75,0.8,1,1,1.1233441273936
0.91,0.83,0.84,0.79,1,1,1.31210943119921
0.91,0.88,0.84,0.85,1,1,1.19380799021845
0.91,0.84,0.83,0.82,1,1,1.25989905446963
0.9,0.73,0.8,0.9,1,0.98,1.24800976311346
0.93,0.88,0.76,0.77,1,1,1.25209186356636
0.97,0.8,0.87,0.92,1,1,1.30034374041479
0.89,0.86,0.8,0.88,1,1,1.13396819271795
0.91,0.81,0.81,0.83,1,0.98,1.25746914183995
0.89,0.92,0.76,0.82,1,1,1.10937749331972
0.88,0.82,0.72,0.86,1,1,1.12699610957843
0.92,0.91,0.81,0.8,1,1,1.20789496966304
0.93,0.81,0.81,0.89,1,1,1.23125844834579
0.84,0.81,0.83,0.82,1,1,1.19543725629986
0.91,0.85,0.78,0.94,1,1,1.10241601653845
0.93,0.86,0.8,0.87,1,1,1.19478233526147
0.89,0.81,0.78,0.84,1,0.98,1.19949535886841
0.93,0.77,0.82,0.88,1,1,1.29189300021834
0.85,0.82,0.76,0.9,1,1,1.07577540556443
0.9,0.85,0.83,0.91,1,1,1.14654202112208
0.87,0.81,0.79,0.8,1,1,1.23253463793494
0.87,0.79,0.89,0.86,1,1,1.25560984161046
0.89,0.83,0.84,0.85,1,1,1.21796562065597
0.93,0.91,0.83,0.79,1,1,1.24395528436085
0.93,0.84,0.81,0.87,1,1,1.22099591688648
0.92,0.86,0.82,0.8,1,1,1.26698701488114
0.87,0.8,0.83,0.86,1,1,1.20524698062386
0.93,0.8,0.8,0.94,1,1,1.18507447746817
0.87,0.9,0.82,0.86,1,1,1.1027772504136
0.91,0.84,0.81,0.85,1,1,1.21505614545499
0.95,0.88,0.8,0.85,1,1,1.22054053026314
0.94,0.89,0.84,0.88,1,1,1.19332438814562
0.92,0.87,0.86,0.88,1,0.98,1.18963633548107
0.94,0.89,0.82,0.87,1,1,1.19077408630523
0.9,0.87,0.8,0.83,1,1,1.18528586861911
0.87,0.85,0.83,0.85,1,1,1.16473278379422
0.92,0.84,0.79,0.84,1,1,1.22594759300549
0.93,0.87,0.79,0.86,1,0.98,1.17873048358006
0.94,0.85,0.83,0.85,1,1,1.25716556271531
0.9,0.87,0.8,0.88,1,1,1.13749535034143
0.89,0.85,0.8,0.88,1,1,1.14326321108559
0.9,0.82,0.81,0.88,1,1,1.19164338804746
0.88,0.86,0.81,0.89,1,1,1.11824854700314
0.89,0.8,0.82,0.86,1,1,1.22600092474213
0.93,0.88,0.85,0.84,1,0.98,1.22556401422538
0.92,0.84,0.81,0.78,1,1,1.30583195357585
0.85,0.8,0.8,0.84,1,1,1.17869448093782
0.9,0.87,0.82,0.88,1,1,1.14968914739112
0.86,0.84,0.83,0.81,1,1,1.20203098440762
0.94,0.89,0.77,0.88,1,1,1.15132354555142
0.88,0.85,0.85,0.82,1,0.98,1.21078821914028
0.91,0.86,0.85,0.85,1,1,1.22000529346777
0.93,0.83,0.78,0.8,1,1,1.28795423243988
0.93,0.84,0.8,0.92,1,0.98,1.15667344413263
0.89,0.84,0.82,0.85,1,1,1.19482987004739
0.88,0.83,0.83,0.86,1,1,1.18792108177993
0.92,0.85,0.78,0.85,1,1,1.19899088724702
0.95,0.91,0.8,0.84,1,1,1.20085316042769
0.95,0.79,0.84,0.84,1,1,1.35651908620716
0.86,0.87,0.79,0.88,1,1,1.08070943896878
0.92,0.83,0.81,0.83,1,1,1.26041593128375
0.92,0.8,0.75,0.86,1,1,1.22097457890098
0.88,0.87,0.82,0.85,1,1,1.15221900177178
0.94,0.84,0.79,0.85,1,1,1.24219210727668
0.94,0.85,0.83,0.83,1,1,1.27865404837014
0.88,0.77,0.82,0.88,1,0.98,1.21212910972372
0.92,0.88,0.81,0.85,1,1,1.18809745281805
0.9,0.83,0.8,0.84,1,1,1.21594131450163
0.94,0.87,0.82,0.85,1,1,1.23013751757587
0.92,0.79,0.81,0.86,1,1,1.27147540419111
0.86,0.84,0.81,0.87,1,1,1.12933328971668
0.87,0.85,0.79,0.86,1,1,1.12982685440648
0.89,0.9,0.72,0.86,1,1,1.06743782376393
0.92,0.89,0.8,0.79,1,1,1.23240455288223
0.88,0.9,0.82,0.86,1,1,1.11534810555721
0.89,0.85,0.74,0.81,1,0.98,1.16308878883767
0.89,0.82,0.81,0.84,1,1,1.21942498506606
0.92,0.89,0.8,0.85,1,1,1.17229148729837
0.91,0.81,0.79,0.76,1,0.98,1.32558360544496
0.92,0.82,0.85,0.9,1,1,1.22291333949735
0.88,0.83,0.84,0.86,1,1,1.19432798920337
0.89,0.81,0.82,0.82,1,1,1.25883693050339
0.92,0.85,0.84,0.86,1,1,1.22680072829844
0.92,0.87,0.77,0.81,1,1,1.21302150094058
0.85,0.82,0.81,0.86,1,1,1.14485987009561
0.92,0.84,0.81,0.85,1,1,1.22837273444848
0.91,0.87,0.78,0.88,1,1,1.13797380650369
0.91,0.85,0.7,0.87,1,1,1.11620329715298
0.93,0.85,0.87,0.88,1,1,1.23816115758383
0.88,0.86,0.8,0.89,1,1,1.11215164409167
0.85,0.9,0.74,0.85,1,0.98,1.02908610583435
0.91,0.84,0.8,0.81,1,1,1.25105493487264
0.92,0.91,0.86,0.82,1,0.98,1.20897203364694
0.92,0.85,0.84,0.83,1,1,1.25825492649621
0.94,0.88,0.83,0.8,1,1,1.27865112335218
0.84,0.85,0.76,0.86,1,1,1.07164253007131
0.9,0.85,0.79,0.85,1,1,1.17893458385345
0.83,0.87,0.85,0.83,1,0.98,1.11506163405509
0.92,0.82,0.81,0.87,1,1,1.2283745919128
0.87,0.79,0.78,0.85,1,1,1.19312627359582
0.93,0.85,0.85,0.83,1,1,1.27814696792583
0.91,0.89,0.81,0.85,1,1,1.16566268774285
0.93,0.78,0.83,0.86,1,1,1.31001429033863
0.93,0.85,0.79,0.86,1,0.98,1.19821081692757
0.89,0.84,0.81,0.82,1,1,1.2194230930356
0.89,0.82,0.8,0.84,1,1,1.21285094762647
0.94,0.79,0.78,0.88,1,1,1.25709517272143
0.94,0.75,0.8,0.81,1,1,1.40318610478341
0.91,0.86,0.81,0.82,1,1,1.22543864331303
0.93,0.83,0.82,0.87,1,1,1.23760967370223
0.92,0.81,0.75,0.77,1,1,1.31225460563891
0.89,0.92,0.79,0.77,1,0.98,1.16552805087566
0.93,0.85,0.79,0.85,1,1,1.21854863196248
0.91,0.85,0.89,0.83,1,1,1.27713280703721
0.88,0.85,0.82,0.88,1,1,1.14277691121334
0.89,0.86,0.85,0.86,1,1,1.18395044615273
0.91,0.88,0.77,0.81,1,0.98,1.17923245521981
0.9,0.82,0.81,0.82,1,0.98,1.24368674815692
0.93,0.76,0.89,0.78,1,1,1.48123269825761
0.96,0.87,0.81,0.84,1,1,1.26027708904097
0.92,0.91,0.79,0.88,1,1,1.12059401013297
0.89,0.83,0.81,0.86,1,1,1.18842386599478
0.88,0.89,0.8,0.81,1,0.98,1.14902685758589
0.86,0.88,0.84,0.82,1,1,1.15787855887627
0.89,0.86,0.76,0.82,1,1,1.16626964458644
0.91,0.81,0.78,0.83,1,1,1.2487476245329
0.88,0.86,0.84,0.81,1,0.98,1.20432675080471
0.88,0.84,0.78,0.84,1,0.96,1.1457881782998
0.91,0.84,0.83,0.83,1,1,1.24903862423282
0.94,0.82,0.8,0.87,1,1,1.24860089790524
0.88,0.83,0.79,0.79,1,1,1.23558587630879
0.92,0.79,0.73,0.91,1,1,1.16723082770859
0.89,0.84,0.83,0.84,1,1,1.21150303333466
0.86,0.82,0.87,0.9,1,1,1.15749068392592
0.92,0.86,0.82,0.83,1,1,1.2347777698811
0.88,0.86,0.85,0.79,1,1,1.24286002726548
0.95,0.9,0.8,0.89,1,1,1.1633298994509
0.9,0.87,0.78,0.81,1,1,1.19262241017636
0.95,0.85,0.81,0.8,1,1,1.31282081381745
0.93,0.79,0.79,0.88,1,1,1.25006633518303
0.86,0.86,0.83,0.85,1,0.98,1.13230803708995
0.91,0.83,0.76,0.84,1,1,1.20341803957641
0.88,0.88,0.81,0.86,1,1,1.12733774334871
0.93,0.82,0.77,0.85,1,1,1.23702871364648
0.92,0.83,0.82,0.92,1,1,1.17503703549148
0.89,0.83,0.77,0.83,1,1,1.193127909692
0.9,0.89,0.83,0.86,1,1,1.15578438278165
0.85,0.89,0.78,0.82,1,1,1.09733416502052
0.91,0.82,0.83,0.89,1,1,1.20740864651872
0.93,0.88,0.84,0.87,1,1,1.1998988407699
0.91,0.87,0.77,0.83,1,1,1.17943137406314
0.94,0.83,0.71,0.83,1,0.98,1.21126108564543
0.88,0.85,0.78,0.84,1,1,1.15588479681122
0.93,0.87,0.84,0.81,1,1,1.27168337487828
0.9,0.84,0.81,0.83,1,0.98,1.21180313070845
0.88,0.81,0.85,0.87,1,0.98,1.20053339098633
0.95,0.83,0.82,0.87,1,1,1.26401907870716
0.91,0.89,0.82,0.85,1,1,1.17180914221637
0.9,0.83,0.8,0.84,1,1,1.21594131450163
0.88,0.82,0.86,0.9,1,1,1.17721554453504
0.9,0.82,0.84,0.88,1,1,1.21070261695163
0.88,0.84,0.83,0.88,1,1,1.15846961497058
0.93,0.88,0.77,0.81,1,1,1.21605803544426
0.94,0.84,0.85,0.81,1,1,1.32556479710503
0.94,0.88,0.76,0.82,1,1,1.21269140111917
0.89,0.83,0.83,0.8,1,1,1.26558503473431
0.87,0.86,0.77,0.83,1,1,1.13616046113903
0.92,0.78,0.79,0.83,1,1,1.30396296410444
0.92,0.83,0.83,0.88,1,1,1.22050241961086
0.91,0.81,0.8,0.84,1,0.98,1.23996438192321
0.98,0.77,0.86,0.88,1,1,1.38733930350439
0.9,0.87,0.8,0.83,1,1,1.18528586861911
0.88,0.79,0.75,0.86,1,1,1.17654967643581
0.96,0.88,0.84,0.76,1,0.98,1.34626050051955
0.93,0.85,0.77,0.82,1,1,1.23702585945005
0.96,0.85,0.77,0.77,1,1,1.33521248114221
0.89,0.86,0.8,0.86,1,1,1.15271016956901
0.96,0.84,0.82,0.86,1,1,1.27722282365854
0.95,0.86,0.78,0.89,1,1,1.18866367457475
0.92,0.84,0.79,0.9,1,1,1.16614926204562
0.91,0.91,0.83,0.82,1,1,1.18760854860235
0.92,0.88,0.78,0.83,1,1,1.18899733542693
0.91,0.89,0.82,0.83,1,1,1.19117650311702
0.92,0.74,0.84,0.82,1,1,1.4020572306406
0.89,0.83,0.8,0.86,1,1,1.18201695857134
0.86,0.84,0.81,0.85,1,1,1.14847320048751
0.91,0.87,0.81,0.83,1,1,1.20484358400926
0.86,0.86,0.78,0.76,1,1,1.20045941831661
0.85,0.79,0.84,0.86,1,1,1.1948835458472
0.9,0.83,0.79,0.87,1,1,1.17893635157961
0.88,0.84,0.84,0.85,1,1,1.19432708621268
0.92,0.88,0.82,0.89,1,1,1.156382761785
0.89,0.74,0.88,0.89,1,1,1.29934489850866
0.94,0.79,0.85,0.9,1,0.98,1.26966417627953
0.95,0.85,0.81,0.83,1,1,1.27916112881445
0.92,0.86,0.87,0.84,1,0.98,1.24549275317072
0.89,0.93,0.74,0.85,1,1,1.06253244604736
0.9,0.85,0.83,0.88,1,1,1.17473375996092
0.85,0.89,0.75,0.84,1,0.98,1.05196152019175
0.92,0.87,0.84,0.85,1,1,1.21666078039436
0.88,0.88,0.82,0.8,1,1,1.19160734220303
0.89,0.88,0.85,0.82,1,1,1.20384556561167
0.92,0.85,0.81,0.86,1,0.98,1.19772057929133
0.95,0.88,0.78,0.84,1,1,1.21813083588446
0.91,0.85,0.74,0.85,1,1,1.1603739564942
0.91,0.83,0.81,0.85,1,1,1.2254414466074
0.91,0.79,0.82,0.83,1,0.98,1.28666931611563
0.88,0.91,0.74,0.9,1,0.98,1.01794193130601
0.91,0.86,0.74,0.89,1,1,1.11358701361119
0.85,0.87,0.82,0.85,1,1,1.11325974386974
0.87,0.87,0.85,0.89,1,1,1.12092399159229
0.86,0.81,0.79,0.83,1,1,1.18590896996904
0.9,0.85,0.73,0.88,1,1,1.11276526195475
0.89,0.9,0.85,0.85,1,1,1.15530509608674
0.9,0.83,0.79,0.88,1,1,1.1691125466618
0.91,0.9,0.77,0.83,1,1,1.15042845421558
0.88,0.88,0.71,0.82,1,1,1.10169824447763
0.87,0.8,0.81,0.86,1,1,1.19209888534439
0.87,0.9,0.69,0.87,1,1,1.01602414774135
0.9,0.9,0.81,0.84,1,1,1.15288659748949
0.91,0.84,0.79,0.88,1,1,1.17243670092755
0.88,0.82,0.76,0.81,1,1,1.20430528936917
0.92,0.87,0.77,0.89,1,1,1.13539338874238
0.92,0.8,0.83,0.88,1,0.98,1.24098012179708
0.85,0.83,0.75,0.81,1,1,1.14523979646217
0.91,0.84,0.82,0.87,1,0.98,1.19098419148328
0.92,0.86,0.79,0.87,1,1,1.17570549993784
0.92,0.81,0.83,0.78,1,1,1.3561058458407
0.92,0.78,0.79,0.86,1,1,1.26934682888701
0.95,0.85,0.8,0.85,1,1,1.25131105938096
0.95,0.87,0.82,0.87,1,1,1.22291193236424
0.93,0.84,0.72,0.81,1,1,1.22556902310527
0.93,0.83,0.79,0.83,1,1,1.26093183068259
0.86,0.83,0.82,0.85,1,1,1.16475106887383
0.9,0.84,0.83,0.85,1,1,1.21455336162028
0.9,0.8,0.8,0.76,1,1,1.34331921748824
0.92,0.86,0.75,0.82,1,1,1.20009912843232
0.9,0.81,0.82,0.8,1,1,1.29600825324887
0.86,0.8,0.78,0.89,1,1,1.12925590791694
0.88,0.79,0.89,0.85,1,1,1.28062650058306
0.87,0.81,0.76,0.87,1,1,1.13941323369617
0.87,0.85,0.84,0.86,1,1,1.16132747185427
0.86,0.88,0.77,0.84,1,1,1.09500510225148
0.87,0.88,0.76,0.84,1,1,1.1017434658739
0.94,0.89,0.83,0.8,1,0.98,1.25695070659552
0.91,0.89,0.79,0.84,1,0.98,1.15318241648264
0.86,0.82,0.72,0.86,1,0.98,1.09062801903152
0.9,0.89,0.81,0.86,1,1,1.14359060327839
0.95,0.84,0.79,0.76,1,1,1.35916674578724
0.94,0.78,0.82,0.84,1,1,1.34096195548211
0.9,0.89,0.79,0.9,1,1,1.09604306342488
0.84,0.78,0.8,0.83,1,0.98,1.18556281832661
0.91,0.83,0.83,0.88,1,0.98,1.1972321068528
0.83,0.87,0.79,0.83,1,1,1.08650017580727
0.9,0.88,0.85,0.81,1,1,1.22736345490837
0.9,0.87,0.81,0.83,1,1,1.19163892110564
0.89,0.86,0.81,0.84,1,1,1.17843514168802
0.89,0.84,0.77,0.79,1,0.98,1.2140280387111
0.91,0.9,0.79,0.82,1,1,1.172431514172
0.94,0.78,0.81,0.86,1,1,1.31053932211687
0.93,0.86,0.85,0.83,1,1,1.26731501741217
0.94,0.9,0.83,0.85,1,1,1.20647245465468
0.87,0.81,0.79,0.84,1,1,1.18929082071465
0.9,0.84,0.77,0.9,1,1,1.12830570779502
0.84,0.85,0.77,0.83,1,1,1.10558024872105
0.87,0.85,0.84,0.85,1,1,1.17108584580667
0.9,0.89,0.79,0.84,1,1,1.14994299704638
0.91,0.86,0.82,0.79,1,1,1.26431633596962
0.9,0.81,0.84,0.87,1,1,1.23139790685704
0.93,0.84,0.75,0.85,1,1,1.20324790796561
0.89,0.88,0.78,0.85,1,1,1.1308670305498
0.91,0.84,0.83,0.87,1,1,1.20740685118494
