prop_exp,prev_ne,risk,SE_ratio,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,1.2,0.6,0.826,100_100_50,0.7,0.3,0.333333333333333,0.1,0.5,0.2,0.571428571428572,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.547,100_100_50,0.7,0.3,1,0.3,0.7,0.428571428571429,0.571428571428571,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.999,200_200_100,0.7,0.3,0.333333333333333,0.1,0.5,0.2,0.571428571428572,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,0.994,200_200_100,0.7,0.3,1,0.3,0.7,0.428571428571429,0.571428571428571,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,1,300_300_150,0.7,0.3,0.333333333333333,0.1,0.5,0.2,0.571428571428572,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.6,1,300_300_150,0.7,0.3,1,0.3,0.7,0.428571428571429,0.571428571428571,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.4,100_100_50,0.7,0.4,0.25,0.1,0.4,0.25,0.5,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.182,100_100_50,0.7,0.4,0.75,0.3,0.6,0.5,0.5,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.749,200_200_100,0.7,0.4,0.25,0.1,0.4,0.25,0.5,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.773,200_200_100,0.7,0.4,0.75,0.3,0.6,0.5,0.5,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.948,300_300_150,0.7,0.4,0.25,0.1,0.4,0.25,0.5,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,0.8,0.993,300_300_150,0.7,0.4,0.75,0.3,0.6,0.5,0.5,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.074,100_100_50,0.7,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.037,100_100_50,0.7,0.5,0.6,0.3,0.5,0.6,0.4,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.136,200_200_100,0.7,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.223,200_200_100,0.7,0.5,0.6,0.3,0.5,0.6,0.4,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.193,300_300_150,0.7,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1,0.65,300_300_150,0.7,0.5,0.6,0.3,0.5,0.6,0.4,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.073,100_100_50,0.7,0.6,0.166666666666667,0.1,0.2,0.5,0.25,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.12,100_100_50,0.7,0.6,0.5,0.3,0.4,0.75,0.25,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.053,200_200_100,0.7,0.6,0.166666666666667,0.1,0.2,0.5,0.25,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.026,200_200_100,0.7,0.6,0.5,0.3,0.4,0.75,0.25,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.0580000000000001,300_300_150,0.7,0.6,0.166666666666667,0.1,0.2,0.5,0.25,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.2,0.068,300_300_150,0.7,0.6,0.5,0.3,0.4,0.75,0.25,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.443,100_100_50,0.7,0.7,0.142857142857143,0.1,0.1,1,0,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.417,100_100_50,0.7,0.7,0.428571428571429,0.3,0.3,1,0,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.701,200_200_100,0.7,0.7,0.142857142857143,0.1,0.1,1,0,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.191,200_200_100,0.7,0.7,0.428571428571429,0.3,0.3,1,0,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.932,300_300_150,0.7,0.7,0.142857142857143,0.1,0.1,1,0,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.01,1.2,1.4,0.075,300_300_150,0.7,0.7,0.428571428571429,0.3,0.3,1,0,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,100_100_50,0.7,0.3,0.333333333333333,0.1,0.5,0.2,0.571428571428572,0.5,0.2,0.1,0.3,0.333333333333333,0.4,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.6,1,100_100_50,0.7,0.3,1,0.3,0.7,0.428571428571429,0.571428571428571,0.5,0.6,0.3,0.5,0.6,0.4,0.99,0.99,0.99,0.99
