Power,combination
0.826,0.05_0.01_1.2_0.3_0.5_100_100_50
0.547,0.05_0.01_1.2_0.3_0.5_100_100_50
0.999,0.05_0.01_1.2_0.3_0.5_200_200_100
0.994,0.05_0.01_1.2_0.3_0.5_200_200_100
1,0.05_0.01_1.2_0.3_0.5_300_300_150
1,0.05_0.01_1.2_0.3_0.5_300_300_150
0.4,0.05_0.01_1.2_0.4_0.5_100_100_50
0.182,0.05_0.01_1.2_0.4_0.5_100_100_50
0.749,0.05_0.01_1.2_0.4_0.5_200_200_100
0.773,0.05_0.01_1.2_0.4_0.5_200_200_100
0.948,0.05_0.01_1.2_0.4_0.5_300_300_150
0.993,0.05_0.01_1.2_0.4_0.5_300_300_150
0.074,0.05_0.01_1.2_0.5_0.5_100_100_50
0.037,0.05_0.01_1.2_0.5_0.5_100_100_50
0.136,0.05_0.01_1.2_0.5_0.5_200_200_100
0.223,0.05_0.01_1.2_0.5_0.5_200_200_100
0.193,0.05_0.01_1.2_0.5_0.5_300_300_150
0.65,0.05_0.01_1.2_0.5_0.5_300_300_150
0.073,0.05_0.01_1.2_0.6_0.5_100_100_50
0.12,0.05_0.01_1.2_0.6_0.5_100_100_50
0.053,0.05_0.01_1.2_0.6_0.5_200_200_100
0.026,0.05_0.01_1.2_0.6_0.5_200_200_100
0.0580000000000001,0.05_0.01_1.2_0.6_0.5_300_300_150
0.068,0.05_0.01_1.2_0.6_0.5_300_300_150
0.443,0.05_0.01_1.2_0.7_0.5_100_100_50
0.417,0.05_0.01_1.2_0.7_0.5_100_100_50
0.701,0.05_0.01_1.2_0.7_0.5_200_200_100
0.191,0.05_0.01_1.2_0.7_0.5_200_200_100
0.932,0.05_0.01_1.2_0.7_0.5_300_300_150
0.075,0.05_0.01_1.2_0.7_0.5_300_300_150
1,0.05_0.1_1.2_0.3_0.5_100_100_50
1,0.05_0.1_1.2_0.3_0.5_100_100_50
1,0.05_0.1_1.2_0.3_0.5_200_200_100
1,0.05_0.1_1.2_0.3_0.5_200_200_100
1,0.05_0.1_1.2_0.3_0.5_300_300_150
1,0.05_0.1_1.2_0.3_0.5_300_300_150
0.966,0.05_0.1_1.2_0.4_0.5_100_100_50
0.885,0.05_0.1_1.2_0.4_0.5_100_100_50
1,0.05_0.1_1.2_0.4_0.5_200_200_100
0.995,0.05_0.1_1.2_0.4_0.5_200_200_100
1,0.05_0.1_1.2_0.4_0.5_300_300_150
1,0.05_0.1_1.2_0.4_0.5_300_300_150
0.0600000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50
0.0580000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50
0.045,0.05_0.1_1.2_0.5_0.5_200_200_100
0.0540000000000001,0.05_0.1_1.2_0.5_0.5_200_200_100
0.0470000000000001,0.05_0.1_1.2_0.5_0.5_300_300_150
0.036,0.05_0.1_1.2_0.5_0.5_300_300_150
0.976,0.05_0.1_1.2_0.6_0.5_100_100_50
0.854,0.05_0.1_1.2_0.6_0.5_100_100_50
1,0.05_0.1_1.2_0.6_0.5_200_200_100
0.991,0.05_0.1_1.2_0.6_0.5_200_200_100
1,0.05_0.1_1.2_0.6_0.5_300_300_150
1,0.05_0.1_1.2_0.6_0.5_300_300_150
1,0.05_0.1_1.2_0.7_0.5_100_100_50
0.998,0.05_0.1_1.2_0.7_0.5_100_100_50
1,0.05_0.1_1.2_0.7_0.5_200_200_100
1,0.05_0.1_1.2_0.7_0.5_200_200_100
1,0.05_0.1_1.2_0.7_0.5_300_300_150
1,0.05_0.1_1.2_0.7_0.5_300_300_150
0.628,0.2_0.01_1.2_0.3_0.5_100_100_50
0.51,0.2_0.01_1.2_0.3_0.5_100_100_50
0.926,0.2_0.01_1.2_0.3_0.5_200_200_100
0.833,0.2_0.01_1.2_0.3_0.5_200_200_100
0.999,0.2_0.01_1.2_0.3_0.5_300_300_150
0.948,0.2_0.01_1.2_0.3_0.5_300_300_150
0.191,0.2_0.01_1.2_0.4_0.5_100_100_50
0.171,0.2_0.01_1.2_0.4_0.5_100_100_50
0.368,0.2_0.01_1.2_0.4_0.5_200_200_100
0.297,0.2_0.01_1.2_0.4_0.5_200_200_100
0.807,0.2_0.01_1.2_0.4_0.5_300_300_150
0.371,0.2_0.01_1.2_0.4_0.5_300_300_150
0.0560000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50
0.038,0.2_0.01_1.2_0.5_0.5_100_100_50
