Power,combination
,0.05_0.01_0.5_0.15_250
0.54,0.05_0.01_0.5_0.15_500
0.117,0.05_0.01_0.5_0.3_250
0.18,0.05_0.01_0.5_0.3_500
0.045,0.05_0.01_0.5_0.4_250
0.065,0.05_0.01_0.5_0.4_500
0.021,0.05_0.01_0.5_0.5_250
0.031,0.05_0.01_0.5_0.5_500
0.036,0.05_0.01_0.5_0.6_250
0.04,0.05_0.01_0.5_0.6_500
0.036,0.05_0.01_0.5_0.7_250
0.089,0.05_0.01_0.5_0.7_500
0.088,0.05_0.01_0.5_0.85_250
0.215,0.05_0.01_0.5_0.85_500
0.682,0.05_0.01_1.1_0.15_250
0.944,0.05_0.01_1.1_0.15_500
0.254,0.05_0.01_1.1_0.3_250
0.475,0.05_0.01_1.1_0.3_500
0.092,0.05_0.01_1.1_0.4_250
0.16,0.05_0.01_1.1_0.4_500
0.046,0.05_0.01_1.1_0.5_250
0.036,0.05_0.01_1.1_0.5_500
0.0600000000000001,0.05_0.01_1.1_0.6_250
0.102,0.05_0.01_1.1_0.6_500
0.151,0.05_0.01_1.1_0.7_250
0.334,0.05_0.01_1.1_0.7_500
0.39,0.05_0.01_1.1_0.85_250
0.822,0.05_0.01_1.1_0.85_500
0.927,0.05_0.01_2_0.15_250
0.999,0.05_0.01_2_0.15_500
0.506,0.05_0.01_2_0.3_250
0.818,0.05_0.01_2_0.3_500
0.181,0.05_0.01_2_0.4_250
0.268,0.05_0.01_2_0.4_500
0.044,0.05_0.01_2_0.5_250
0.038,0.05_0.01_2_0.5_500
0.116,0.05_0.01_2_0.6_250
0.202,0.05_0.01_2_0.6_500
0.418,0.05_0.01_2_0.7_250
0.711,0.05_0.01_2_0.7_500
0.867,0.05_0.01_2_0.85_250
0.996,0.05_0.01_2_0.85_500
,0.05_0.1_0.5_0.15_250
,0.05_0.1_0.5_0.15_500
,0.05_0.1_0.5_0.3_250
0.753,0.05_0.1_0.5_0.3_500
0.303,0.05_0.1_0.5_0.4_250
0.344,0.05_0.1_0.5_0.4_500
,0.05_0.1_0.5_0.5_250
0.098,0.05_0.1_0.5_0.5_500
0.215,0.05_0.1_0.5_0.6_250
0.306,0.05_0.1_0.5_0.6_500
0.536,0.05_0.1_0.5_0.7_250
0.882,0.05_0.1_0.5_0.7_500
0.855,0.05_0.1_0.5_0.85_250
0.998,0.05_0.1_0.5_0.85_500
,0.05_0.1_1.1_0.15_250
1,0.05_0.1_1.1_0.15_500
0.914,0.05_0.1_1.1_0.3_250
0.997,0.05_0.1_1.1_0.3_500
0.544,0.05_0.1_1.1_0.4_250
0.818,0.05_0.1_1.1_0.4_500
0.159,0.05_0.1_1.1_0.5_250
0.101,0.05_0.1_1.1_0.5_500
0.656,0.05_0.1_1.1_0.6_250
0.913,0.05_0.1_1.1_0.6_500
0.989,0.05_0.1_1.1_0.7_250
1,0.05_0.1_1.1_0.7_500
0.997,0.05_0.1_1.1_0.85_250
1,0.05_0.1_1.1_0.85_500
1,0.05_0.1_2_0.15_250
1,0.05_0.1_2_0.15_500
0.998,0.05_0.1_2_0.3_250
1,0.05_0.1_2_0.3_500
0.867,0.05_0.1_2_0.4_250
0.986,0.05_0.1_2_0.4_500
0.093,0.05_0.1_2_0.5_250
0.08,0.05_0.1_2_0.5_500
0.973,0.05_0.1_2_0.6_250
0.998,0.05_0.1_2_0.6_500
1,0.05_0.1_2_0.7_250
1,0.05_0.1_2_0.7_500
1,0.05_0.1_2_0.85_250
1,0.05_0.1_2_0.85_500
0.873,0.2_0.01_0.5_0.15_250
0.988,0.2_0.01_0.5_0.15_500
0.344,0.2_0.01_0.5_0.3_250
0.597,0.2_0.01_0.5_0.3_500
0.103,0.2_0.01_0.5_0.4_250
0.159,0.2_0.01_0.5_0.4_500
0.046,0.2_0.01_0.5_0.5_250
0.042,0.2_0.01_0.5_0.5_500
0.122,0.2_0.01_0.5_0.6_250
0.157,0.2_0.01_0.5_0.6_500
0.265,0.2_0.01_0.5_0.7_250
0.524,0.2_0.01_0.5_0.7_500
0.595,0.2_0.01_0.5_0.85_250
0.931,0.2_0.01_0.5_0.85_500
0.997,0.2_0.01_1.1_0.15_250
1,0.2_0.01_1.1_0.15_500
0.66,0.2_0.01_1.1_0.3_250
0.938,0.2_0.01_1.1_0.3_500
0.195,0.2_0.01_1.1_0.4_250
0.379,0.2_0.01_1.1_0.4_500
0.035,0.2_0.01_1.1_0.5_250
0.036,0.2_0.01_1.1_0.5_500
0.174,0.2_0.01_1.1_0.6_250
0.336,0.2_0.01_1.1_0.6_500
0.592,0.2_0.01_1.1_0.7_250
0.877,0.2_0.01_1.1_0.7_500
0.953,0.2_0.01_1.1_0.85_250
1,0.2_0.01_1.1_0.85_500
1,0.2_0.01_2_0.15_250
1,0.2_0.01_2_0.15_500
0.916,0.2_0.01_2_0.3_250
0.999,0.2_0.01_2_0.3_500
0.372,0.2_0.01_2_0.4_250
0.624,0.2_0.01_2_0.4_500
0.045,0.2_0.01_2_0.5_250
0.032,0.2_0.01_2_0.5_500
0.281,0.2_0.01_2_0.6_250
0.5,0.2_0.01_2_0.6_500
0.779,0.2_0.01_2_0.7_250
0.978,0.2_0.01_2_0.7_500
0.999,0.2_0.01_2_0.85_250
1,0.2_0.01_2_0.85_500
1,0.2_0.1_0.5_0.15_250
1,0.2_0.1_0.5_0.15_500
0.978,0.2_0.1_0.5_0.3_250
1,0.2_0.1_0.5_0.3_500
0.535,0.2_0.1_0.5_0.4_250
0.799,0.2_0.1_0.5_0.4_500
0.0610000000000001,0.2_0.1_0.5_0.5_250
0.0570000000000001,0.2_0.1_0.5_0.5_500
0.582,0.2_0.1_0.5_0.6_250
0.854,0.2_0.1_0.5_0.6_500
0.994,0.2_0.1_0.5_0.7_250
1,0.2_0.1_0.5_0.7_500
1,0.2_0.1_0.5_0.85_250
1,0.2_0.1_0.5_0.85_500
1,0.2_0.1_1.1_0.15_250
1,0.2_0.1_1.1_0.15_500
1,0.2_0.1_1.1_0.3_250
1,0.2_0.1_1.1_0.3_500
0.951,0.2_0.1_1.1_0.4_250
0.998,0.2_0.1_1.1_0.4_500
0.065,0.2_0.1_1.1_0.5_250
0.05,0.2_0.1_1.1_0.5_500
