prop_exp,prev_ne,risk,SE_exp,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.2,0.05,2,0.15,1,250,0.95,0.15,0.8,0.12,0.92,0.130434782608696,0.941176470588235,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
0.2,0.05,2,0.3,1,250,0.95,0.3,0.8,0.24,0.89,0.269662921348315,0.928571428571428,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
0.2,0.05,2,0.4,0.571,250,0.95,0.4,0.8,0.32,0.87,0.367816091954023,0.916666666666667,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
0.2,0.05,2,0.5,0.102,250,0.95,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
0.2,0.05,2,0.6,0.901,250,0.95,0.6,0.8,0.48,0.83,0.578313253012048,0.875,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
0.2,0.05,2,0.7,1,250,0.95,0.7,0.8,0.56,0.81,0.691358024691358,0.833333333333333,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
0.2,0.05,2,0.85,1,250,0.95,0.85,0.8,0.68,0.78,0.871794871794872,0.666666666666666,0.5,0.8,0.4,0.85,0.470588235294118,0.9,0.99,0.98,0.99,0.98
