Power,combination
1,0.2_0.05_2_0.15
1,0.2_0.05_2_0.3
0.571,0.2_0.05_2_0.4
0.102,0.2_0.05_2_0.5
0.901,0.2_0.05_2_0.6
1,0.2_0.05_2_0.7
1,0.2_0.05_2_0.85
