prop_exp,prev_ne,risk,SE_exp,power
0.1,0.1,0.5,0.3,0.272
0.1,0.1,0.5,0.4,0.097
0.1,0.1,0.5,0.5,0.053
0.1,0.1,0.5,0.6,0.086
0.1,0.1,0.5,0.75,0.29
0.1,0.1,0.5,0.9,0.582
0.1,0.1,0.9,0.15,0.935
0.1,0.1,0.9,0.3,0.478
0.1,0.1,0.9,0.4,0.123
0.1,0.1,0.9,0.5,0.0629999999999999
0.1,0.1,0.9,0.6,0.13
0.1,0.1,0.9,0.75,0.591
0.1,0.1,0.9,0.9,0.915
0.1,0.1,1.1,0.15,0.979
0.1,0.1,1.1,0.3,0.553
0.1,0.1,1.1,0.4,0.191
0.1,0.1,1.1,0.5,0.048
0.1,0.1,1.1,0.6,0.157
0.1,0.1,1.1,0.75,0.693
0.1,0.1,1.1,0.9,0.978
0.1,0.1,2,0.15,1
0.1,0.1,2,0.3,0.861
0.1,0.1,2,0.4,0.32
0.1,0.1,2,0.5,0.0520000000000001
0.1,0.1,2,0.6,0.413
0.1,0.1,2,0.75,0.965
0.1,0.1,2,0.9,1
