prop_exp,prev_ne,risk,SE_exp,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.01,0.1,0.5,0.4,0.295,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.9,0.95,0.9
0.01,0.1,0.5,0.5,0.264,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.9,0.95,0.9
0.01,0.1,0.5,0.6,0.248,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.9,0.95,0.9
0.01,0.1,0.5,0.7,0.244,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.9,0.95,0.9
0.01,0.1,0.5,0.85,0.268,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.9,0.95,0.9
0.01,0.1,0.9,0.15,0.437,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,0.9,0.3,0.294,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,0.9,0.4,0.236,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,0.9,0.5,0.204,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,0.9,0.6,0.162,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,0.9,0.7,0.152,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,0.9,0.85,0.234,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.91,0.86,0.91,0.86
0.01,0.1,1.1,0.15,0.513,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,1.1,0.3,0.367,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,1.1,0.4,0.198,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,1.1,0.5,0.139,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,1.1,0.6,0.142,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,1.1,0.7,0.183,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,1.1,0.85,0.246,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.15,0.418,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.3,0.162,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.4,0.094,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.5,0.073,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.6,0.156,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.7,0.294,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.01,0.1,2,0.85,0.638,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.9,0.85,0.9,0.85
0.1,0.01,0.5,0.15,0.908,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.5,0.3,0.438,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.5,0.4,0.138,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.5,0.5,0.032,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.5,0.6,0.0510000000000001,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.5,0.7,0.182,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.5,0.85,0.535,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.995,0.99,0.995,0.99
0.1,0.01,0.9,0.15,0.957,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,0.9,0.3,0.485,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,0.9,0.4,0.138,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,0.9,0.5,0.037,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,0.9,0.6,0.114,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,0.9,0.7,0.365,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,0.9,0.85,0.812,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.991,0.986,0.991,0.986
0.1,0.01,1.1,0.15,0.977,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,1.1,0.3,0.534,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,1.1,0.4,0.138,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,1.1,0.5,0.035,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,1.1,0.6,0.144,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,1.1,0.7,0.486,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,1.1,0.85,0.921,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.15,1,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.3,0.733,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.4,0.169,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.5,0.068,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.6,0.486,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.7,0.945,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.01,2,0.85,1,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.985,0.99,0.985
0.1,0.05,0.5,0.15,0.883,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.5,0.3,0.408,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.5,0.4,0.162,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.5,0.5,0.074,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.5,0.6,0.076,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.5,0.7,0.224,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.5,0.85,0.557,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.975,0.95,0.975,0.95
0.1,0.05,0.9,0.15,0.933,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,0.9,0.3,0.47,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,0.9,0.4,0.16,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,0.9,0.5,0.0540000000000001,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,0.9,0.6,0.11,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,0.9,0.7,0.397,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,0.9,0.85,0.834,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.955,0.93,0.955,0.93
0.1,0.05,1.1,0.15,0.977,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.925,0.95,0.925
0.1,0.05,1.1,0.3,0.519,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.95,0.925,0.95,0.925
