prop_exp,prev_ne,risk,bias_mis,sd_mis,rmse_mis,bias_single,sd_single,rmse_single,power,SE_exp,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,0.5,0.0506974002910821,0.404674614373631,0.407637103771483,-0.00240802239821603,0.137987995816944,0.137940004619609,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,0.5,0.0105042444750342,0.210206374474407,0.210363666781591,-0.00598517015151118,0.0755290070542827,0.0757281225004412,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,0.5,0.0518511370887067,0.360319028864451,0.36385232330803,0.0694184281607291,0.14931580178934,0.164595964785398,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,0.5,0.0108123866884519,0.214218809787022,0.21438450614259,0.0643904714470097,0.0843224954407037,0.106062744483057,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,0.5,0.0285051334625349,0.321781062339219,0.322880862953804,0.156112304257084,0.168444344614579,0.22960003326624,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,0.5,0.0149168912199648,0.215423376502445,0.215831734358594,0.141838127682521,0.0968821529361076,0.171740559771013,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,1.2,0.225117344126715,0.861555782018734,0.890063989717059,0.0276595253024357,0.27038532603289,0.271661859025765,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,1.2,0.0860721803036062,0.42452117996055,0.432950845044884,0.00875729844010098,0.165367158730893,0.165516286707715,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,1.2,0.228935426803591,0.857086146850344,0.886720641524369,0.191009880276542,0.304586565457123,0.359395293853952,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,1.2,0.0932787591108741,0.46419966251869,0.473251278135672,0.171448800541676,0.182327732169704,0.250209611572794,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,1.2,0.296639321065262,1.49789982798463,1.52625524653767,0.393259712400409,0.36967306854586,0.539606079309487,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,1.2,0.104633613316916,0.416948665193144,0.429674919273504,0.338901961964713,0.223646733186451,0.40598323022908,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,2,0.334623388971445,1.31663189959107,1.35785082093303,0.0428842538230243,0.433229741117011,0.43513145117962,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,2,0.128981832784176,0.663446002933555,0.675541820613696,0.0180155874344803,0.264689028027047,0.265169347148109,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,2,0.315383330148418,1.33352058761034,1.36965890839966,0.325825233279734,0.484959535377061,0.584048497852682,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,2,0.214742377991535,0.744525077265272,0.774517631814565,0.31825936969066,0.315932260712571,0.448332919337285,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,2,0.520723063520594,1.66548585328095,1.74419660395088,0.622992201456496,0.582124549763013,0.852437332313035,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.01,2,0.195751140083267,0.656070856383446,0.684336940747035,0.584986951300754,0.347332530371316,0.680241854019317,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,0.5,0.00711494363741794,0.0922301794186727,0.0924582176584028,-7.84107336244122e-05,0.0426490410116238,0.0426277832728269,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
