PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.89,0.87,0.9,0.88,1,1,1.89488526367871
0.93,0.85,0.93,0.91,1,1,1.96593906276749
0.87,0.85,1,0.92,1,1,2.01976302824638
0.91,0.86,0.96,0.85,1,1,2.12134323619775
0.91,0.85,0.96,0.84,1,1,2.16158839790409
0.95,0.85,0.97,0.86,1,1,2.18069033459623
0.9,0.86,0.97,0.88,1,1,2.06288210354284
0.93,0.82,0.94,0.83,1,1,2.21832567489725
0.93,0.85,0.98,0.94,1,1,2.00310568018243
0.96,0.82,0.92,0.87,1,1,2.11176984898717
0.88,0.81,0.98,0.92,1,1,2.04927991379524
0.92,0.85,0.96,0.86,1,1,2.12552405688114
0.9,0.89,0.97,0.87,1,1,2.03956668682929
0.93,0.83,0.95,0.95,1,0.98,1.93165429053963
0.93,0.83,0.95,0.86,1,1,2.14844713783632
0.92,0.91,0.95,0.92,1,1,1.893669514785
0.92,0.88,0.97,0.93,1,1,1.95219093183285
0.94,0.84,0.95,0.93,1,1,1.98950241156177
0.91,0.89,0.98,0.93,1,1,1.94754137492043
0.87,0.92,0.95,0.91,1,0.98,1.82870277793986
0.9,0.89,0.97,0.91,1,1,1.95706579753792
0.96,0.89,0.95,0.89,1,1,2.02211598741753
0.94,0.88,0.97,0.9,1,0.98,2.01159692582079
0.89,0.83,0.95,0.91,1,1,1.99128715667585
0.94,0.82,0.97,0.94,1,1,2.0368177995892
0.88,0.88,0.96,0.93,1,0.98,1.871648378942
0.86,0.91,0.98,0.89,1,1,1.94667730415829
0.9,0.85,0.93,0.92,1,1,1.91367054135159
0.9,0.82,0.99,0.91,1,1,2.0984414352196
0.89,0.88,0.98,0.9,1,1,2.00015967118747
0.9,0.86,0.95,0.88,1,1,2.02202741804605
0.92,0.89,0.99,0.9,1,1,2.03739869733953
0.86,0.87,0.96,0.87,1,1,2.00485329929919
0.95,0.86,0.97,0.81,1,1,2.28893250145825
0.9,0.85,0.95,0.93,0.98,1,1.9506916853234
0.87,0.85,0.93,0.92,1,1,1.88164360842288
0.91,0.91,0.96,0.89,1,1,1.96043070949437
0.94,0.85,0.9,0.93,1,1,1.87784452691887
0.95,0.91,0.96,0.86,1,1,2.0656985713092
0.91,0.86,0.92,0.91,1,0.98,1.88977417558199
0.92,0.81,0.98,0.92,1,1,2.09323299742307
0.91,0.82,0.96,0.95,0.98,1,1.98225231943096
0.86,0.81,0.97,0.92,1,1,2.00699421166245
0.99,0.85,0.95,0.89,1,1,2.11452849069262
0.96,0.79,0.93,0.9,1,1,2.11130383377584
0.89,0.89,0.94,0.91,1,1,1.88844196766203
0.88,0.86,0.97,0.93,1,1,1.93751468170073
0.92,0.89,0.99,0.88,1,0.98,2.05690063534926
0.92,0.85,0.97,0.96,1,1,1.93428453680263
0.92,0.88,0.98,0.9,1,1,2.03216273246955
0.96,0.87,0.95,0.93,1,1,1.96890634390718
0.87,0.86,0.97,0.92,1,0.98,1.92562036023579
0.91,0.83,0.95,0.86,1,1,2.12533962454018
0.97,0.92,0.97,0.88,1,1,2.04968874539401
0.91,0.85,0.93,0.93,1,1,1.9047347653342
0.88,0.85,0.92,0.88,1,1,1.95302228923495
0.96,0.88,0.94,0.89,1,1,2.01671584249918
0.91,0.87,0.97,0.92,1,1,1.97517379632843
0.91,0.9,0.91,0.91,1,1,1.83843088992328
0.9,0.86,0.97,0.9,1,0.98,1.9974757587223
0.93,0.86,0.95,0.92,1,1,1.97113997113997
0.93,0.86,0.94,0.96,1,1,1.87487730170181
0.89,0.89,0.97,0.9,1,1,1.96646650443207
0.95,0.82,0.95,0.88,1,1,2.14033087311535
0.88,0.79,0.95,0.93,1,1,1.99642676650841
0.94,0.86,0.99,0.92,1,1,2.06010819091388
0.9,0.84,0.98,0.86,1,1,2.16121229515594
0.89,0.88,0.98,0.95,1,1,1.90230086317552
0.9,0.89,0.93,0.95,1,1,1.80647543850752
0.94,0.8,0.96,0.9,1,1,2.1354874960777
0.91,0.85,0.95,0.88,1,0.98,2.02485422165977
0.95,0.89,0.94,0.94,1,1,1.89389728509253
0.92,0.86,0.92,0.86,1,1,2.02604230417271
0.91,0.82,0.97,0.9,1,1,2.09094595060905
0.92,0.91,0.97,0.88,1,1,2.01094721089577
0.91,0.82,0.97,0.88,1,1,2.13687491091934
0.94,0.82,0.95,0.91,0.98,1,2.07925472253023
0.91,0.85,0.96,0.91,1,1,2.00417549900693
0.93,0.83,0.99,0.96,1,0.98,1.98853005403203
0.89,0.88,0.96,0.9,1,1,1.96072639378494
0.95,0.87,0.96,0.94,1,1,1.95806729652469
0.88,0.9,0.95,0.9,1,1,1.90328709861296
0.95,0.88,0.99,0.86,1,1,2.17332309304546
0.93,0.81,0.97,0.91,1,0.98,2.08232518931478
0.9,0.86,0.97,0.91,1,1,1.99895942805855
0.93,0.86,0.97,0.9,1,1,2.0522867603321
0.91,0.87,0.97,0.85,1,1,2.12627109598995
0.95,0.87,0.96,0.92,1,1,1.99782283470181
0.92,0.83,0.97,0.88,1,1,2.13208618888143
0.95,0.84,0.97,0.92,1,1,2.06063086510874
0.9,0.88,0.99,0.94,1,1,1.95028232752637
0.9,0.85,0.97,0.9,1,1,2.03449073667111
0.94,0.84,0.91,0.87,1,1,2.03621954725932
0.93,0.87,0.97,0.94,1,1,1.95650185862472
0.9,0.86,0.95,0.87,0.98,1,2.06227526784073
0.91,0.87,0.95,0.94,0.98,1,1.91478347105238
0.93,0.89,0.94,0.85,1,1,2.05507544463073
0.9,0.84,0.97,0.93,1,1,1.98627280685193
0.96,0.85,0.94,0.93,1,0.98,1.95573466695799
0.87,0.86,0.94,0.87,1,1,1.98965178001924
0.94,0.85,0.99,0.95,1,1,2.01259528979455
0.9,0.84,0.98,0.95,1,1,1.96559391236546
0.9,0.93,0.97,0.86,1,1,2.00235737892132
0.96,0.84,0.96,0.88,1,1,2.140288613238
0.95,0.92,0.92,0.91,1,1,1.87333385014872
0.93,0.87,0.96,0.85,1,1,2.1279905023269
0.94,0.95,0.93,0.91,1,1,1.84418889719937
0.96,0.84,0.99,0.9,1,1,2.15584007117771
0.95,0.88,0.97,0.84,0.98,1,2.19774780457892
0.94,0.86,0.97,0.91,1,1,2.04179837916756
0.88,0.85,0.93,0.85,0.98,1,2.05831094220863
0.94,0.86,0.92,0.82,1,1,2.14194433017962
0.91,0.89,0.96,0.93,1,1,1.90955071079992
0.89,0.8,0.91,0.91,0.98,1,1.97159210261319
0.89,0.9,0.96,0.88,1,1,1.97328054458484
0.91,0.89,0.97,0.92,1,0.98,1.92717237540873
0.91,0.91,0.94,0.89,1,1,1.92142778373036
0.92,0.8,0.95,0.86,1,1,2.18740796017623
0.83,0.85,0.96,0.9,1,1,1.93804381841133
0.94,0.86,0.93,0.92,1,1,1.94255623260363
0.87,0.83,0.95,0.93,1,1,1.92868473058323
0.88,0.82,0.97,0.89,1,1,2.07986919317624
0.92,0.85,0.96,0.94,1,1,1.95397897558444
0.97,0.91,0.96,0.96,1,1,1.8891667265059
0.9,0.84,0.95,0.9,1,1,2.00878670631688
0.96,0.83,0.96,0.9,1,1,2.11039775188372
0.88,0.91,0.93,0.9,1,1,1.85143200623734
0.87,0.85,0.95,0.86,1,1,2.04760062516104
0.93,0.81,0.93,0.88,1,1,2.09132816947599
0.93,0.8,0.93,0.88,1,1,2.10743976748489
0.88,0.8,0.97,0.9,1,1,2.08852791581836
0.94,0.82,0.99,0.93,1,1,2.09792662432767
0.89,0.84,0.95,0.92,1,1,1.95637274760401
0.92,0.89,0.96,0.94,1,1,1.90098541864043
0.93,0.84,0.97,0.88,1,1,2.12736904572363
