Power,combination
0.26,0.2_0.01_1.2_0.4445_0.5555_200_200_100
0.044,0.2_0.01_1.2_0.5_0.5_200_200_100
0.207,0.2_0.01_1.2_0.545_0.454_200_200_100
0.349,0.2_0.01_2_0.4445_0.5555_200_200_100
0.043,0.2_0.01_2_0.5_0.5_200_200_100
0.243,0.2_0.01_2_0.545_0.454_200_200_100
0.992,0.2_0.1_1.2_0.4445_0.5555_200_200_100
0.045,0.2_0.1_1.2_0.5_0.5_200_200_100
0.956,0.2_0.1_1.2_0.545_0.454_200_200_100
0.999,0.2_0.1_2_0.4445_0.5555_200_200_100
0.069,0.2_0.1_2_0.5_0.5_200_200_100
0.975,0.2_0.1_2_0.545_0.454_200_200_100
