Power,combination
0.869,0.05_0.01_1.2_0.3_0.5_100_100_50_0
0.738,0.05_0.01_1.2_0.3_0.5_100_100_50_0.2
0.629,0.05_0.01_1.2_0.3_0.5_100_100_50_0.4
0.996,0.05_0.01_1.2_0.3_0.5_200_200_100_0
0.957,0.05_0.01_1.2_0.3_0.5_200_200_100_0.2
0.931,0.05_0.01_1.2_0.3_0.5_200_200_100_0.4
1,0.05_0.01_1.2_0.3_0.5_300_300_150_0
0.995,0.05_0.01_1.2_0.3_0.5_300_300_150_0.2
0.986,0.05_0.01_1.2_0.3_0.5_300_300_150_0.4
0.34,0.05_0.01_1.2_0.4_0.5_100_100_50_0
0.254,0.05_0.01_1.2_0.4_0.5_100_100_50_0.2
0.188,0.05_0.01_1.2_0.4_0.5_100_100_50_0.4
0.567,0.05_0.01_1.2_0.4_0.5_200_200_100_0
0.424,0.05_0.01_1.2_0.4_0.5_200_200_100_0.2
0.35,0.05_0.01_1.2_0.4_0.5_200_200_100_0.4
0.786,0.05_0.01_1.2_0.4_0.5_300_300_150_0
0.549,0.05_0.01_1.2_0.4_0.5_300_300_150_0.2
0.474,0.05_0.01_1.2_0.4_0.5_300_300_150_0.4
0.0470000000000001,0.05_0.01_1.2_0.5_0.5_100_100_50_0
0.0520000000000001,0.05_0.01_1.2_0.5_0.5_100_100_50_0.2
0.0600000000000001,0.05_0.01_1.2_0.5_0.5_100_100_50_0.4
0.0540000000000001,0.05_0.01_1.2_0.5_0.5_200_200_100_0
0.038,0.05_0.01_1.2_0.5_0.5_200_200_100_0.2
0.0540000000000001,0.05_0.01_1.2_0.5_0.5_200_200_100_0.4
0.046,0.05_0.01_1.2_0.5_0.5_300_300_150_0
0.05,0.05_0.01_1.2_0.5_0.5_300_300_150_0.2
0.0540000000000001,0.05_0.01_1.2_0.5_0.5_300_300_150_0.4
0.321,0.05_0.01_1.2_0.6_0.5_100_100_50_0
0.2,0.05_0.01_1.2_0.6_0.5_100_100_50_0.2
0.166,0.05_0.01_1.2_0.6_0.5_100_100_50_0.4
0.545,0.05_0.01_1.2_0.6_0.5_200_200_100_0
0.33,0.05_0.01_1.2_0.6_0.5_200_200_100_0.2
0.259,0.05_0.01_1.2_0.6_0.5_200_200_100_0.4
0.72,0.05_0.01_1.2_0.6_0.5_300_300_150_0
0.518,0.05_0.01_1.2_0.6_0.5_300_300_150_0.2
0.348,0.05_0.01_1.2_0.6_0.5_300_300_150_0.4
0.841,0.05_0.01_1.2_0.7_0.5_100_100_50_0
0.549,0.05_0.01_1.2_0.7_0.5_100_100_50_0.2
0.441,0.05_0.01_1.2_0.7_0.5_100_100_50_0.4
0.99,0.05_0.01_1.2_0.7_0.5_200_200_100_0
0.841,0.05_0.01_1.2_0.7_0.5_200_200_100_0.2
0.653,0.05_0.01_1.2_0.7_0.5_200_200_100_0.4
0.999,0.05_0.01_1.2_0.7_0.5_300_300_150_0
0.95,0.05_0.01_1.2_0.7_0.5_300_300_150_0.2
0.861,0.05_0.01_1.2_0.7_0.5_300_300_150_0.4
0.964,0.05_0.01_2_0.3_0.5_100_100_50_0
0.834,0.05_0.01_2_0.3_0.5_100_100_50_0.2
0.785,0.05_0.01_2_0.3_0.5_100_100_50_0.4
0.999,0.05_0.01_2_0.3_0.5_200_200_100_0
0.993,0.05_0.01_2_0.3_0.5_200_200_100_0.2
0.977,0.05_0.01_2_0.3_0.5_200_200_100_0.4
1,0.05_0.01_2_0.3_0.5_300_300_150_0
0.999,0.05_0.01_2_0.3_0.5_300_300_150_0.2
0.997,0.05_0.01_2_0.3_0.5_300_300_150_0.4
