PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.87,0.86,0.28,0.25,1.17152674027637
0.87,0.86,0.37,0.28,1.25351995844759
0.92,0.91,0.26,0.15,1.33188546919498
0.88,0.84,0.3,0.19,1.35028658790095
0.9,0.8,0.22,0.18,1.29669262578261
0.84,0.87,0.33,0.23,1.25017426914142
0.83,0.86,0.28,0.27,1.10466736242143
0.9,0.88,0.29,0.25,1.19493895405193
0.85,0.81,0.29,0.28,1.16074689439774
0.88,0.86,0.29,0.22,1.25087258815724
0.84,0.82,0.29,0.28,1.14394972262711
0.88,0.9,0.26,0.28,1.07059826869848
0.87,0.87,0.23,0.29,1.02679184395036
0.83,0.86,0.31,0.25,1.18322227809614
0.86,0.85,0.31,0.31,1.1178345357246
0.87,0.85,0.24,0.19,1.22838795400239
0.86,0.85,0.32,0.19,1.3542678595229
0.88,0.87,0.28,0.27,1.13806247366686
0.9,0.87,0.28,0.25,1.18845156071987
0.87,0.87,0.27,0.23,1.18255561924693
0.91,0.8,0.24,0.26,1.17893472978683
0.83,0.81,0.34,0.27,1.23782782427812
0.9,0.86,0.26,0.24,1.18409344118403
0.87,0.86,0.37,0.25,1.30914756805876
0.88,0.89,0.28,0.2,1.24477264512942
0.89,0.83,0.2,0.26,1.07400937422153
0.83,0.8,0.18,0.27,0.998801440287894
0.87,0.88,0.26,0.28,1.07734568831505
0.78,0.83,0.35,0.28,1.17534416275937
0.86,0.84,0.39,0.27,1.31160431551559
0.9,0.87,0.29,0.31,1.10616856011406
0.87,0.88,0.32,0.36,1.0469858731181
0.85,0.84,0.32,0.27,1.19772154923271
0.85,0.88,0.28,0.21,1.20822030391083
0.91,0.82,0.32,0.26,1.28553405932221
0.84,0.91,0.35,0.19,1.32181851833046
0.81,0.86,0.32,0.31,1.08511580956037
0.88,0.76,0.25,0.21,1.30735329724518
0.87,0.82,0.24,0.27,1.11005826457883
0.89,0.9,0.24,0.28,1.05007286296355
0.89,0.88,0.31,0.19,1.33328392422767
0.87,0.87,0.3,0.25,1.19336441292372
0.9,0.81,0.35,0.29,1.27546191208601
0.88,0.86,0.37,0.27,1.27982867604382
0.79,0.92,0.39,0.28,1.16817287007926
0.91,0.89,0.36,0.21,1.37932620288088
0.9,0.85,0.28,0.31,1.10701961822474
0.89,0.88,0.33,0.33,1.11657354852934
0.91,0.88,0.41,0.19,1.51688994943336
0.93,0.87,0.22,0.23,1.15679332076796
0.84,0.83,0.3,0.27,1.16760024961287
0.89,0.9,0.28,0.24,1.17160544950989
0.93,0.82,0.35,0.22,1.43562074370447
0.86,0.78,0.33,0.25,1.3166217448446
0.88,0.87,0.27,0.23,1.19129464108496
