Power,combination
0.893,0.2_0.01_2_1.6_100_100_50
0.855,0.2_0.01_2_1.6_100_100_50
0.998,0.2_0.01_2_1.6_200_200_100
0.992,0.2_0.01_2_1.6_200_200_100
0.988,0.2_0.01_2_1.6_200_200_100
1,0.2_0.01_2_1.6_300_300_150
1,0.2_0.01_2_1.6_300_300_150
0.998,0.2_0.01_2_1.6_300_300_150
1,0.2_0.1_0.5_0.4_100_100_50
1,0.2_0.1_0.5_0.4_100_100_50
1,0.2_0.1_0.5_0.4_100_100_50
1,0.2_0.1_0.5_0.4_200_200_100
1,0.2_0.1_0.5_0.4_200_200_100
1,0.2_0.1_0.5_0.4_200_200_100
1,0.2_0.1_0.5_0.4_300_300_150
1,0.2_0.1_0.5_0.4_300_300_150
1,0.2_0.1_0.5_0.4_300_300_150
0.788,0.2_0.1_0.5_0.8_100_100_50
0.759,0.2_0.1_0.5_0.8_100_100_50
0.728,0.2_0.1_0.5_0.8_100_100_50
0.983,0.2_0.1_0.5_0.8_200_200_100
0.971,0.2_0.1_0.5_0.8_200_200_100
0.967,0.2_0.1_0.5_0.8_200_200_100
0.999,0.2_0.1_0.5_0.8_300_300_150
0.997,0.2_0.1_0.5_0.8_300_300_150
0.998,0.2_0.1_0.5_0.8_300_300_150
0.0540000000000001,0.2_0.1_0.5_1_100_100_50
0.0570000000000001,0.2_0.1_0.5_1_100_100_50
0.067,0.2_0.1_0.5_1_100_100_50
0.034,0.2_0.1_0.5_1_200_200_100
0.0520000000000001,0.2_0.1_0.5_1_200_200_100
0.0550000000000001,0.2_0.1_0.5_1_200_200_100
0.042,0.2_0.1_0.5_1_300_300_150
0.053,0.2_0.1_0.5_1_300_300_150
0.0520000000000001,0.2_0.1_0.5_1_300_300_150
0.804,0.2_0.1_0.5_1.2_100_100_50
0.768,0.2_0.1_0.5_1.2_100_100_50
0.752,0.2_0.1_0.5_1.2_100_100_50
0.966,0.2_0.1_0.5_1.2_200_200_100
0.976,0.2_0.1_0.5_1.2_200_200_100
0.956,0.2_0.1_0.5_1.2_200_200_100
0.994,0.2_0.1_0.5_1.2_300_300_150
0.991,0.2_0.1_0.5_1.2_300_300_150
0.994,0.2_0.1_0.5_1.2_300_300_150
1,0.2_0.1_0.5_1.6_100_100_50
1,0.2_0.1_0.5_1.6_100_100_50
1,0.2_0.1_0.5_1.6_100_100_50
1,0.2_0.1_0.5_1.6_200_200_100
1,0.2_0.1_0.5_1.6_200_200_100
1,0.2_0.1_0.5_1.6_200_200_100
1,0.2_0.1_0.5_1.6_300_300_150
1,0.2_0.1_0.5_1.6_300_300_150
1,0.2_0.1_0.5_1.6_300_300_150
1,0.2_0.1_1.2_0.4_100_100_50
1,0.2_0.1_1.2_0.4_100_100_50
1,0.2_0.1_1.2_0.4_100_100_50
1,0.2_0.1_1.2_0.4_200_200_100
1,0.2_0.1_1.2_0.4_200_200_100
1,0.2_0.1_1.2_0.4_200_200_100
1,0.2_0.1_1.2_0.4_300_300_150
1,0.2_0.1_1.2_0.4_300_300_150
1,0.2_0.1_1.2_0.4_300_300_150
0.933,0.2_0.1_1.2_0.8_100_100_50
0.932,0.2_0.1_1.2_0.8_100_100_50
0.929,0.2_0.1_1.2_0.8_100_100_50
0.998,0.2_0.1_1.2_0.8_200_200_100
1,0.2_0.1_1.2_0.8_200_200_100
0.997,0.2_0.1_1.2_0.8_200_200_100
1,0.2_0.1_1.2_0.8_300_300_150
1,0.2_0.1_1.2_0.8_300_300_150
1,0.2_0.1_1.2_0.8_300_300_150
0.0550000000000001,0.2_0.1_1.2_1_100_100_50
0.0629999999999999,0.2_0.1_1.2_1_100_100_50
0.0620000000000001,0.2_0.1_1.2_1_100_100_50
0.0560000000000001,0.2_0.1_1.2_1_200_200_100
0.048,0.2_0.1_1.2_1_200_200_100
0.0580000000000001,0.2_0.1_1.2_1_200_200_100
0.044,0.2_0.1_1.2_1_300_300_150
0.041,0.2_0.1_1.2_1_300_300_150
0.0590000000000001,0.2_0.1_1.2_1_300_300_150
0.926,0.2_0.1_1.2_1.2_100_100_50
0.906,0.2_0.1_1.2_1.2_100_100_50
0.895,0.2_0.1_1.2_1.2_100_100_50
0.998,0.2_0.1_1.2_1.2_200_200_100
0.999,0.2_0.1_1.2_1.2_200_200_100
0.988,0.2_0.1_1.2_1.2_200_200_100
1,0.2_0.1_1.2_1.2_300_300_150
1,0.2_0.1_1.2_1.2_300_300_150
1,0.2_0.1_1.2_1.2_300_300_150
1,0.2_0.1_1.2_1.6_100_100_50
1,0.2_0.1_1.2_1.6_100_100_50
1,0.2_0.1_1.2_1.6_100_100_50
1,0.2_0.1_1.2_1.6_200_200_100
1,0.2_0.1_1.2_1.6_200_200_100
1,0.2_0.1_1.2_1.6_200_200_100
1,0.2_0.1_1.2_1.6_300_300_150
1,0.2_0.1_1.2_1.6_300_300_150
1,0.2_0.1_1.2_1.6_300_300_150
1,0.2_0.1_2_0.4_100_100_50
1,0.2_0.1_2_0.4_100_100_50
1,0.2_0.1_2_0.4_100_100_50
1,0.2_0.1_2_0.4_200_200_100
1,0.2_0.1_2_0.4_200_200_100
1,0.2_0.1_2_0.4_200_200_100
1,0.2_0.1_2_0.4_300_300_150
1,0.2_0.1_2_0.4_300_300_150
1,0.2_0.1_2_0.4_300_300_150
0.981,0.2_0.1_2_0.8_100_100_50
0.969,0.2_0.1_2_0.8_100_100_50
0.977,0.2_0.1_2_0.8_100_100_50
1,0.2_0.1_2_0.8_200_200_100
1,0.2_0.1_2_0.8_200_200_100
0.998,0.2_0.1_2_0.8_200_200_100
1,0.2_0.1_2_0.8_300_300_150
1,0.2_0.1_2_0.8_300_300_150
1,0.2_0.1_2_0.8_300_300_150
0.0610000000000001,0.2_0.1_2_1_100_100_50
0.0560000000000001,0.2_0.1_2_1_100_100_50
0.0620000000000001,0.2_0.1_2_1_100_100_50
0.041,0.2_0.1_2_1_200_200_100
0.053,0.2_0.1_2_1_200_200_100
0.053,0.2_0.1_2_1_200_200_100
0.035,0.2_0.1_2_1_300_300_150
0.048,0.2_0.1_2_1_300_300_150
0.053,0.2_0.1_2_1_300_300_150
0.962,0.2_0.1_2_1.2_100_100_50
0.95,0.2_0.1_2_1.2_100_100_50
0.915,0.2_0.1_2_1.2_100_100_50
1,0.2_0.1_2_1.2_200_200_100
0.998,0.2_0.1_2_1.2_200_200_100
0.996,0.2_0.1_2_1.2_200_200_100
1,0.2_0.1_2_1.2_300_300_150
1,0.2_0.1_2_1.2_300_300_150
1,0.2_0.1_2_1.2_300_300_150
1,0.2_0.1_2_1.6_100_100_50
1,0.2_0.1_2_1.6_100_100_50
1,0.2_0.1_2_1.6_100_100_50
1,0.2_0.1_2_1.6_200_200_100
1,0.2_0.1_2_1.6_200_200_100
1,0.2_0.1_2_1.6_200_200_100
1,0.2_0.1_2_1.6_300_300_150
1,0.2_0.1_2_1.6_300_300_150
1,0.2_0.1_2_1.6_300_300_150
