PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.84,0.84,0.96,0.86,1,1,2.06516822687147
0.8,0.8,1,0.94,1,1,2.03224891449019
0.86,0.9,0.94,0.88,1,1,1.93058846112028
0.8,0.82,0.96,0.92,1,1,1.97048831777939
0.84,0.8,0.96,0.96,1,0.96,1.93262520579956
0.9,0.82,0.96,0.92,1,1,2.02299913667726
0.76,0.86,0.92,0.82,1,1,1.99085702701333
0.74,0.84,0.98,0.82,0.96,1,2.12126621898976
0.74,0.88,0.98,0.94,1,1,1.87043675394137
0.88,0.9,0.94,0.8,1,1,2.07263214477692
0.88,0.88,0.96,0.84,1,1,2.06631060514538
0.84,0.9,0.98,0.84,1,0.96,2.03006881686815
0.82,0.76,0.96,0.96,1,1,1.9936496221718
0.86,0.88,0.98,0.9,0.96,1,1.99491019246002
0.88,0.9,0.94,0.9,0.96,1,1.91408468383951
0.7,0.92,0.98,0.9,1,1,1.86211360723729
0.8,0.9,0.98,0.86,1,1,1.99857325827708
0.82,0.92,0.96,0.86,1,1,1.94982883952932
0.84,0.9,0.98,0.88,1,1,1.98742243049114
0.88,0.84,0.94,0.8,1,1,2.16032080895492
0.88,0.8,0.88,0.84,1,1,2.03365049413594
0.84,0.76,0.98,0.86,1,1,2.2195464916515
0.84,0.88,0.96,0.88,0.92,1,1.98623592526831
0.78,0.88,1,0.84,0.96,1,2.0864324827003
0.96,0.8,0.98,0.86,1,1,2.22560442251846
0.74,0.88,0.92,0.82,1,1,1.95304732409175
0.82,0.88,0.98,0.9,1,1,1.97077240906853
0.86,0.88,0.96,0.84,1,1,2.05552761630766
0.78,0.8,0.9,0.88,1,1,1.94548440630455
0.76,0.82,1,0.9,1,1,2.05113627671721
0.86,0.9,0.94,0.88,1,1,1.93058846112028
0.9,0.82,0.9,0.9,1,1,1.95196778011262
0.88,0.9,0.96,0.92,0.96,1,1.91714076442816
0.8,0.88,0.94,0.92,1,0.96,1.84455450706428
0.88,0.78,0.92,0.84,1,1,2.13778027192564
0.9,0.76,0.94,0.88,1,1,2.14109211317064
0.86,0.82,0.94,0.94,1,1,1.93641608379839
0.84,0.9,0.94,0.96,1,1,1.80552270584568
0.82,0.88,0.98,0.94,1,1,1.9102576739312
0.74,0.9,0.94,0.88,1,1,1.86876641829211
0.82,0.88,0.98,0.92,1,1,1.94004325526136
0.8,0.84,0.96,0.86,0.96,1,2.04720056978925
0.86,0.84,0.98,0.9,1,1,2.04291569777817
0.86,0.9,0.98,0.86,1,1,2.02998340014649
0.78,0.86,0.96,0.84,1,1,2.03943777467423
0.82,0.92,0.96,0.94,1,1,1.83294722317167
0.88,0.86,0.94,0.84,1,1,2.05847473673271
0.9,0.78,0.98,0.9,1,1,2.14746187057347
0.86,0.9,0.98,0.94,1,1,1.90682531893385
0.78,0.8,0.96,0.92,0.96,1,1.98935488968173
0.88,0.84,0.96,0.82,1,1,2.15949003591007
0.88,0.82,0.98,0.9,1,0.96,2.05744307749438
